,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Time
0,0.01,0.1,0.0002,1,5000,20.0,0.493,0.6938137274913845,0.0001634759,0.0023047327995300293,0.011402680557966234,0.06390774,0.014757482,0.03286536,0.15090789,0.5015031,0.015639443,0.521136,0.48338813,0.0091932025,0.0012430402,0.011711451,0.0073077697,7786575.652171076
1,0.01,0.1,0.0002,3,5000,200.0,0.4944,0.6944571638129738,0.0003832264,0.024645239114761353,0.01904506939053536,0.04445089,0.010689486,0.021201964,0.1132126,0.4803796,0.0034752598,0.4845458,0.47618443,0.0062369998,0.0007917276,0.0076962435,0.004668511,7786623.553649042
2,0.01,0.1,0.0002,8,5000,2000.0,0.5056,0.693084770147014,2.6911932e-05,0.0003940463066101074,0.005205627834796905,2.912936e-08,6.624823e-09,1.5862714e-08,7.515249e-08,0.50520563,3.1487378e-08,0.5052057,0.5052056,3.997655e-09,2.2211104e-10,4.4502646e-09,3.568473e-09,7786705.905355731
3,0.01,0.1,0.002,1,5000,20.0,0.4938,0.6946026894669453,0.00046903582,0.011891115456819534,0.017951027989387514,0.1295521,0.019686371,0.07667374,0.2039109,0.5151212,0.026471807,0.54738235,0.48215553,0.02105754,0.0012757876,0.023950068,0.018600417,7786749.754505109
4,0.01,0.1,0.002,3,5000,200.0,0.4898,0.6933886932846469,0.00013974626,0.006186097860336304,0.009927460819482804,0.12335557,0.009471187,0.08623789,0.14574224,0.48758194,0.018616443,0.5215744,0.4660602,0.030037642,0.005488014,0.042942215,0.023044446,7786796.46619387
5,0.01,0.1,0.002,8,5000,2000.0,0.4944,0.6933419227777474,3.326906e-05,0.01135939359664917,0.005745775949954987,3.7366252e-08,8.501813e-09,1.9600433e-08,9.7684044e-08,0.49425423,3.6641442e-08,0.49425435,0.4942541,5.1244133e-09,2.9081992e-10,5.7364846e-09,4.5357678e-09,7786919.134768478
6,0.01,0.1,0.02,1,5000,20.0,0.4962,0.6936429161480532,8.400578e-05,0.004948788322508335,0.0069273990154266355,0.23523715,0.0028730032,0.22928244,0.25125033,0.4779861,0.044049643,0.50005734,0.38424188,0.2826119,0.012142051,0.28867504,0.25627333,7786965.056552583
7,0.01,0.1,0.02,3,5000,200.0,0.5116,0.6930409928797464,5.4028595e-05,0.0016904090298339725,0.005991129642724992,0.23492016,0.0016104882,0.22298189,0.23833837,0.44745377,0.14262874,0.5819851,0.17267402,0.23222996,0.07232013,0.27465105,0.08054933,7787004.675992118
8,0.01,0.1,0.02,8,5000,2000.0,0.5056,0.6933695273455971,0.00030044513,0.011958539485931396,0.017534224796295166,2.0889251e-08,4.7532245e-09,1.104866e-08,5.4457537e-08,0.51753426,4.8097764e-08,0.5175343,0.51753414,2.865434e-09,1.622647e-10,3.2270677e-09,2.5647746e-09,7787062.880167427
9,0.01,0.01,0.0002,1,5000,20.0,0.4944,0.6935598206865863,0.00012490508,0.0023649930953979492,0.009098917531967163,0.05687053,0.012547579,0.029487366,0.13574487,0.50417304,0.0075074905,0.51318794,0.4950815,0.0081037115,0.0008174634,0.009652287,0.0064840275,7787118.725400272
10,0.01,0.01,0.0002,3,5000,200.0,0.4912,0.6937587118597146,0.00015673977,0.0007533431053161621,0.010791589826345444,0.048994705,0.010223475,0.02641086,0.108325675,0.5061035,0.011468389,0.52054197,0.49152324,0.006971261,0.00041767745,0.007964333,0.0061309193,7787168.330769887
11,0.01,0.01,0.0002,8,5000,2000.0,0.5056,0.6931595603830668,0.00013540087,0.006119966506958008,0.011726630234718323,1.14349215e-08,2.597492e-09,6.234759e-09,2.9968078e-08,0.5117266,4.2634113e-08,0.51172674,0.5117265,1.5695998e-09,8.6263253e-11,1.7528118e-09,1.3959116e-09,7787221.944844199
12,0.01,0.01,0.002,1,5000,20.0,0.4954,0.6938538676381285,0.00021313422,0.0031280517578125,0.012277739596366882,0.12790278,0.020307755,0.07557168,0.19999136,0.50060135,0.015430147,0.5204432,0.48296076,0.020707868,0.0015561314,0.024235873,0.017797858,7787270.381825747
13,0.01,0.01,0.002,3,5000,200.0,0.5056,0.6940033711638551,0.0006357799,0.01945430040359497,0.025054180502891543,0.11975977,0.0062093767,0.08758674,0.1312494,0.52134305,0.009569425,0.53419834,0.50630003,0.028416645,0.0034492363,0.036349375,0.022514995,7787317.288233532
14,0.01,0.01,0.002,8,5000,2000.0,0.4944,0.6934195102854137,5.4448723e-05,0.012929081916809082,0.007342683291435241,1.4733273e-08,3.3970353e-09,7.847712e-09,3.9019707e-08,0.49265736,3.588195e-08,0.4926574,0.49265724,2.0213573e-09,1.3685701e-10,2.3569597e-09,1.7702761e-09,7787371.057637932
15,0.01,0.01,0.02,1,5000,20.0,0.5044,0.6933977764307685,0.00023662638,0.0007200728869065642,0.01088017790913582,0.23542877,0.0021303091,0.22350027,0.23943335,0.3560869,0.21449974,0.77207077,0.14876148,0.15931563,0.03802905,0.20768002,0.09012406,7787419.458448299
16,0.01,0.01,0.02,3,5000,200.0,0.5056,0.6930712154433433,6.572814e-05,0.0025218725204467773,0.008113044774532318,0.23253538,0.00016072522,0.23029582,0.2331373,0.50829035,0.0,0.50829035,0.50829035,0.23253801,0.0,0.23253804,0.23253804,7787468.389773342
17,0.01,0.01,0.02,8,5000,2000.0,0.5056,0.6930913794640271,5.5104996e-05,0.001871347427368164,0.007460056161880494,1.3272897e-08,3.0114837e-09,7.096448e-09,3.443932e-08,0.5074601,4.198317e-08,0.5074602,0.50745994,1.8209317e-09,9.658341e-11,2.0088753e-09,1.6389122e-09,7787554.341140164
18,0.01,0.001,0.0002,1,5000,20.0,0.49,0.6936654293428176,0.00013108765,0.0004258155822753906,0.009451298260688782,0.05400812,0.012169979,0.027043963,0.12773827,0.50676507,0.011243509,0.5226393,0.49477366,0.0076717054,0.00085585046,0.009812227,0.006137268,7787613.422703908
19,0.01,0.001,0.0002,3,5000,200.0,0.5056,0.6937968171901083,0.0006051392,0.019328832626342773,0.024928823018074028,0.043834895,0.0099412305,0.021858651,0.107691504,0.5252663,0.002342951,0.529059,0.52179974,0.0061083813,0.00051463867,0.00713863,0.005009953,7787658.216848327
20,0.01,0.001,0.0002,8,5000,2000.0,0.5056,0.6931175863902284,9.230665e-05,0.004073381423950195,0.009669270360469818,1.0133537e-08,2.3049878e-09,5.348733e-09,2.647615e-08,0.5096693,4.894912e-08,0.50966936,0.5096692,1.3905488e-09,7.6816616e-11,1.5472719e-09,1.2311496e-09,7787738.286930073
21,0.01,0.001,0.002,1,5000,20.0,0.498,0.6943134951931735,0.00046699954,0.01001042127609253,0.016139484357833862,0.13129917,0.01947776,0.077352606,0.20239262,0.515317,0.0277644,0.5488988,0.48578602,0.021960126,0.0015354338,0.026059924,0.019225642,7787792.023891278
22,0.01,0.001,0.002,3,5000,200.0,0.5066,0.6933046366957863,0.00019548037,0.00507509708404541,0.010940866899490356,0.12835203,0.003945852,0.10631246,0.13565587,0.49218264,0.013793468,0.5110279,0.47352648,0.036233705,0.0022919674,0.041742038,0.031440854,7787838.704821396
23,0.01,0.001,0.002,8,5000,2000.0,0.5056,0.6931082315782018,4.6201144e-06,0.0034229159355163574,0.002152526271343231,1.10896075e-08,2.5232985e-09,5.971281e-09,2.916049e-08,0.5021525,4.4529877e-08,0.5021526,0.50215244,1.5221795e-09,8.7748066e-11,1.7111906e-09,1.3412477e-09,7787932.319093271
24,0.01,0.001,0.02,1,5000,20.0,0.4942,0.6939716403265198,0.00041234036,0.004641507286578417,0.01668315920829773,0.23492818,0.0025026998,0.22900833,0.25240147,0.5597624,0.22471371,0.8262441,0.19264445,0.21120578,0.06243028,0.28866485,0.14014934,7787980.95550245
25,0.01,0.001,0.02,3,5000,200.0,0.5056,0.6932961779190463,6.8513975e-05,0.0004304051399230957,0.006032029688358306,0.23431191,0.0009845325,0.23038244,0.23545387,0.6212537,0.14764827,0.8364215,0.5015644,0.19452398,0.05069712,0.23545387,0.11439517,7788027.370666278
26,0.01,0.001,0.02,8,5000,2000.0,0.5056,0.6933753562280734,0.00030456868,0.012055158615112305,0.017655527555942536,1.1772056e-08,2.698453e-09,6.4828436e-09,3.047598e-08,0.5176555,5.1951524e-08,0.5176556,0.51765543,1.6149195e-09,1.0029733e-10,1.856052e-09,1.4305856e-09,7788072.4262598
27,0.001,0.1,0.0002,1,5000,20.0,0.49,0.6937437227761929,0.00012216135,0.0006124973297119141,0.008707429039478302,0.10147424,0.019164614,0.05544397,0.1934388,0.50427425,0.0063494695,0.5134376,0.49653527,0.015197474,0.0012718132,0.018149195,0.012623937,7788201.463028243
28,0.001,0.1,0.0002,3,5000,200.0,0.493,0.693767603367218,0.00019256838,0.0006410479545593262,0.01099106974005699,0.039946288,0.0087231845,0.020708164,0.09825535,0.506542,0.012911448,0.52694464,0.494841,0.0055850195,0.0003422104,0.0063518197,0.0049009277,7788260.989947378
29,0.001,0.1,0.0002,8,5000,2000.0,0.5056,0.6931355404755556,0.00011340617,0.00512385368347168,0.010724160838127139,0.04318583,0.0073628775,0.02512432,0.07679321,0.51107144,4.2898817e-05,0.51113015,0.5110169,0.006661085,0.00036574493,0.0074003045,0.0059725004,7788307.077587359
30,0.001,0.1,0.002,1,5000,20.0,0.4938,0.693825371324715,0.00022425553,0.0015597664751112461,0.01166056809425354,0.14267664,0.022034237,0.08634292,0.22246264,0.50164986,0.014442264,0.5274139,0.48527497,0.023183234,0.0019482184,0.02842154,0.020021161,7788379.812351939
31,0.001,0.1,0.002,3,5000,200.0,0.498,0.6933145904004095,0.0001332285,0.0038719773292541504,0.009683631199598312,0.1268946,0.020096308,0.0761672,0.20515753,0.5046795,0.013574509,0.5233882,0.48244166,0.020165231,0.001050902,0.022098726,0.018297285,7788428.555671869
32,0.001,0.1,0.002,8,5000,2000.0,0.4922,0.6935045405645506,8.7533066e-05,0.0012288093566894531,0.007421691036224365,0.12828557,0.0018707087,0.11252771,0.13195853,0.5100681,0.011275028,0.5195914,0.49574813,0.04068358,0.00464844,0.050243523,0.031587403,7788478.241262014
33,0.001,0.1,0.02,1,5000,20.0,0.502,0.6931276540230102,9.882785e-05,0.003850876819342375,0.007397704219818115,0.2385143,0.005536924,0.2037055,0.251428,0.5393673,0.20922655,0.90107256,0.31284323,0.12329301,0.053530153,0.22959039,0.067735575,7788535.846424195
34,0.001,0.1,0.02,3,5000,200.0,0.4988,0.6932921620602875,0.0001358428,0.0035560817923396826,0.009015477937459946,0.23446299,0.0013286924,0.22419453,0.23637432,0.4037223,0.2243512,0.73971087,0.05106614,0.13424009,0.048339188,0.21148632,0.04763072,7788577.47352835
35,0.001,0.1,0.02,8,5000,2000.0,0.5056,0.6931962684730649,2.1272619e-05,0.0016842484474182129,0.003915092849731446,0.23803073,0.0008282441,0.23441593,0.24144474,0.5245767,0.015601218,0.5521697,0.5082578,0.26241794,0.009410488,0.28057274,0.24953951,7788627.073125961
36,0.001,0.01,0.0002,1,5000,20.0,0.4968,0.6936437829080608,0.0001464993,0.002215743064880371,0.009941069960594177,0.09851616,0.01994078,0.051709652,0.1977272,0.5057805,0.010065682,0.52151257,0.49212286,0.014612785,0.001472004,0.018185586,0.012119952,7788744.236915722
37,0.001,0.01,0.0002,3,5000,200.0,0.493,0.6940147882600066,0.00019290298,0.011747390031814575,0.01196395773291588,0.039173905,0.008541576,0.021831628,0.09578401,0.49247494,0.011976295,0.5113703,0.48232135,0.0054664356,0.00030597462,0.0060368665,0.004803366,7788802.071358575
38,0.001,0.01,0.0002,8,5000,2000.0,0.4944,0.6931708505639427,9.929279e-07,0.006586164236068726,0.0009955420434474946,0.043654274,0.007868615,0.024315728,0.08184998,0.49906287,1.136957e-06,0.49906465,0.4990613,0.006561286,0.0003722847,0.007355016,0.005831248,7788850.123502487
39,0.001,0.01,0.002,1,5000,20.0,0.491,0.6934449298630312,0.00018365144,0.00018860120326280594,0.01092017589211464,0.14361247,0.021187406,0.08536917,0.21324074,0.5071565,0.017886482,0.5364208,0.48796618,0.024208546,0.0021987285,0.029575858,0.01991537,7788926.186657054
40,0.001,0.01,0.002,3,5000,200.0,0.5008,0.6944409693343079,0.00047234158,0.016640538349747658,0.018311860221624378,0.12621151,0.020155607,0.076522425,0.20725045,0.48599008,0.021089159,0.52464,0.46632832,0.020020911,0.001070184,0.02210579,0.017959585,7788975.107800286
41,0.001,0.01,0.002,8,5000,2000.0,0.4882,0.6934090926737012,4.2064094e-05,0.003918945789337158,0.0058978465497493745,0.12471179,0.004054846,0.10198077,0.13157497,0.5013579,0.008168434,0.5114007,0.49468333,0.03667015,0.0033988652,0.04515588,0.030923283,7789024.53938656
42,0.001,0.01,0.02,1,5000,20.0,0.5048,0.6931478667871567,0.00021577673,0.0015536199789494276,0.01139285672903061,0.2380853,0.0021873417,0.22664322,0.24184988,0.55490726,0.28381994,0.9340324,0.1851518,0.108800195,0.030074898,0.16304016,0.06174724,7789077.256652424
43,0.001,0.01,0.02,3,5000,200.0,0.5038,0.6931201765998067,8.61879e-05,0.0015254055615514517,0.006912958967685699,0.2345209,0.001304469,0.22730489,0.23685254,0.53092307,0.21044551,0.6995455,0.10597757,0.13001093,0.024740955,0.16175129,0.073961966,7789116.527321586
44,0.001,0.01,0.02,8,5000,2000.0,0.5008,0.6932557998037433,7.843601e-05,0.00010889768600463867,0.005842689484357833,0.2376603,0.00094460463,0.2319199,0.23993252,0.5684125,0.092553854,0.76235765,0.4970366,0.24509254,0.025143808,0.26543978,0.18577614,7789168.555290332
45,0.001,0.001,0.0002,1,5000,20.0,0.4974,0.6937482946316837,0.00018716147,0.0005262494087219238,0.010740766125917435,0.09327568,0.019196514,0.048425462,0.18109989,0.5050381,0.01180287,0.5204219,0.48828965,0.013927355,0.0015426963,0.0171689,0.011025981,7789286.158502088
46,0.001,0.001,0.0002,3,5000,200.0,0.4922,0.6936981739799286,0.00013087057,0.0032750964164733887,0.009739020997285843,0.038788524,0.008451723,0.02085424,0.0952105,0.5025873,0.01088083,0.5200353,0.4921846,0.0054236026,0.0003211448,0.0061065946,0.0047808136,7789345.214880831
47,0.001,0.001,0.0002,8,5000,2000.0,0.5056,0.6931927569839127,0.00016556073,0.007368266582489014,0.01297758414745331,0.04513285,0.0071555986,0.026368778,0.073249705,0.51310307,9.3357994e-07,0.51310456,0.51310134,0.0071290648,0.00037334027,0.007836153,0.0064679123,7789390.182544727
48,0.001,0.001,0.002,1,5000,20.0,0.4946,0.6936893216745781,0.00020499696,0.0013453364372253418,0.01141928170323372,0.13830267,0.021799322,0.0845655,0.21903811,0.5052246,0.018061308,0.52754515,0.4863599,0.022263212,0.00152729,0.025136326,0.018629106,7789449.067233978
49,0.001,0.001,0.002,3,5000,200.0,0.5086,0.6933260213398275,0.00033206993,0.007666660938411951,0.016004683357477185,0.12845583,0.019924862,0.076568775,0.20607167,0.50545806,0.018134328,0.5206053,0.47080398,0.02060159,0.0010746361,0.022681413,0.018743573,7789492.412065389
50,0.001,0.001,0.002,8,5000,2000.0,0.5056,0.6934411312497952,0.00034014758,0.013065814971923828,0.018667141234874722,0.12669781,0.0056731547,0.10598232,0.13489969,0.5219795,4.2454354e-05,0.5220691,0.5218882,0.035668533,0.0026111507,0.04109153,0.029800596,7789536.854834557
51,0.001,0.001,0.02,1,5000,20.0,0.4944,0.6932244451404034,6.417647e-05,0.007148202043026686,0.006488844680786133,0.2378726,0.0025104734,0.22085032,0.24208388,0.65181506,0.14413871,0.8526697,0.47540158,0.1495772,0.05107527,0.21876743,0.090770446,7789584.389409146
52,0.001,0.001,0.02,3,5000,200.0,0.509,0.693040332680902,0.0001933407,0.0009530090028420091,0.010447594457864761,0.23528625,0.0015361431,0.22305027,0.23739666,0.5331463,0.25874746,0.8277925,0.044613503,0.12060854,0.03918181,0.17049024,0.04178667,7789623.845281321
53,0.001,0.001,0.02,8,5000,2000.0,0.5056,0.6931124140205919,1.5448213e-05,0.0021371841430664062,0.003463348174095154,0.23768921,0.0006926536,0.23512909,0.23942699,0.53349924,0.009725263,0.5559565,0.5174247,0.24858914,0.002298532,0.25278667,0.24493532,7789667.864335797
54,0.0001,0.1,0.0002,1,5000,20.0,0.5084,0.6940091952984014,0.00027280758,0.00918071810156107,0.013282833731174469,0.15119234,0.026091939,0.07816435,0.22426598,0.47202653,0.016316561,0.49161777,0.44468156,0.025613694,0.0042480133,0.03189533,0.018317437,7789895.066374255
55,0.0001,0.1,0.0002,3,5000,200.0,0.4962,0.6935931005704415,0.0001465691,0.00042372941970825195,0.009741127246618271,0.06762344,0.0139499735,0.03824039,0.14756556,0.5069403,0.011600154,0.5242889,0.49720147,0.009646062,0.00053643266,0.010808602,0.008566256,7789987.891393723
56,0.0001,0.1,0.0002,8,5000,2000.0,0.5056,0.6935097204751458,0.00028504428,0.011066675186157227,0.016665836429595952,0.04653242,0.0099404175,0.025702607,0.10879237,0.5169484,0.0039409404,0.52195185,0.5122281,0.006538269,0.00035450328,0.0072937896,0.005877746,7790033.856329907
57,0.0001,0.1,0.002,1,5000,20.0,0.514,0.6935954856087879,0.0006871824,0.011075850576162338,0.021107490813732144,0.19141993,0.028643217,0.09357197,0.23650073,0.5713292,0.11683956,0.78941894,0.44885546,0.039671194,0.009965729,0.052380465,0.025035767,7790121.139760919
58,0.0001,0.1,0.002,3,5000,200.0,0.4946,0.693417542570294,0.00021434927,0.0012261944357305765,0.011486313796043396,0.1352263,0.021244897,0.08090944,0.2153052,0.50464576,0.01574544,0.5312381,0.48512632,0.021517511,0.0011336408,0.023791473,0.019436352,7790178.532771445
59,0.0001,0.1,0.002,8,5000,2000.0,0.4948,0.6936204901215564,0.00018477124,0.002755105495452881,0.010527091950178147,0.12717117,0.019109804,0.07738673,0.20075834,0.5087879,0.01334751,0.5284582,0.49572602,0.020739306,0.0010742777,0.022682363,0.018946271,7790223.495756226
60,0.0001,0.1,0.02,1,5000,20.0,0.5036,0.6977212468428774,0.002811851,0.040624070912599564,0.04850700491666794,0.2541053,0.008315041,0.23101209,0.28194478,0.42588243,0.16755632,0.5454774,0.08045654,0.24633771,0.081123754,0.28867513,0.07422382,7790269.765054
61,0.0001,0.1,0.02,3,5000,200.0,0.497,0.6932415574390773,0.00022223663,0.004747247323393822,0.010854597282409669,0.23563994,0.0016279316,0.22601655,0.23825814,0.45813435,0.22157282,0.7188609,0.050457887,0.12812622,0.039509673,0.1812267,0.04796861,7790313.073778938
62,0.0001,0.1,0.02,8,5000,2000.0,0.4956,0.6930975770606718,3.332037e-05,0.0033153891563415527,0.004459763556718826,0.23438996,0.0010745951,0.22900026,0.23639557,0.47737193,0.108559035,0.64782715,0.34427446,0.14177011,0.01271455,0.16695802,0.11512598,7790353.280729302
63,0.0001,0.01,0.0002,1,5000,20.0,0.4966,0.6938492668537803,0.00018743558,0.002477931557223201,0.011214006501436235,0.15515913,0.02614561,0.0832329,0.22435944,0.5074934,0.015759705,0.52787566,0.48354158,0.02786871,0.0068522394,0.044411324,0.020947859,7790669.875025462
64,0.0001,0.01,0.0002,3,5000,200.0,0.4898,0.6935445091730286,0.00014065581,0.0006120204925537109,0.009225561213493346,0.06937142,0.0142606115,0.038838007,0.15373524,0.5051176,0.011136138,0.52272713,0.49533743,0.009922427,0.0005457483,0.01102387,0.008834228,7790762.14071252
65,0.0001,0.01,0.0002,8,5000,2000.0,0.5056,0.6933432953097517,7.1019436e-05,0.0012947916984558105,0.006895216190814972,0.045160774,0.009654679,0.025054099,0.10642382,0.5069614,0.005114248,0.51317096,0.50075114,0.0063374387,0.0003369083,0.007030329,0.005730367,7790806.419508397
