,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Time
0,0.01,0.1,0.0002,1,1000,20.0,0.4996,0.6959227135565671,0.0010008919,0.0332193486392498,0.02722370147705078,0.06464848,0.0152606405,0.03235927,0.16387863,0.49451718,0.023162372,0.53258854,0.46810073,0.009238805,0.001077677,0.011338324,0.007115059,7806455.576135338
1,0.01,0.1,0.0002,3,1000,200.0,0.5056,0.6935063051653979,0.00013773021,0.004029810428619385,0.009630320763587951,0.011633351,0.002821017,0.00552975,0.029820288,0.51002747,0.0066254786,0.51737034,0.5017982,0.0015952082,0.00015827447,0.001975083,0.0012984945,7806465.580429004
2,0.01,0.1,0.0002,8,1000,2000.0,0.5056,0.6930856389229534,4.0209736e-05,0.0007526874542236328,0.00636794970035553,2.203178e-08,5.046264e-09,1.1996709e-08,5.8801245e-08,0.5063679,4.6348166e-08,0.50636804,0.50636786,3.0226597e-09,1.8871697e-10,3.4051537e-09,2.6048113e-09,7806476.182567731
3,0.01,0.1,0.002,1,1000,20.0,0.4882,0.6978794653149938,0.0017768593,0.04067883640527725,0.03359499680995941,0.13467303,0.02270361,0.0745403,0.21842846,0.49876463,0.030500554,0.5300325,0.44502124,0.021988114,0.0022154206,0.025889166,0.017470038,7806487.950113209
4,0.01,0.1,0.002,3,1000,200.0,0.4938,0.6955455119034212,0.00077010586,0.020857466384768486,0.01960439633727074,0.121306814,0.023255836,0.06124094,0.21831676,0.50403726,0.024240859,0.54252994,0.4673571,0.018252676,0.0018519248,0.021705247,0.014344183,7806497.060221004
5,0.01,0.1,0.002,8,1000,2000.0,0.4944,0.6936274431648096,0.0001200215,0.01648542284965515,0.01087556413412094,2.0233978e-08,4.6741415e-09,1.0923204e-08,5.4635606e-08,0.48912448,3.8385053e-08,0.48912454,0.48912436,2.7755147e-09,1.8623206e-10,3.1914824e-09,2.3547897e-09,7806507.597446325
6,0.01,0.1,0.02,1,1000,20.0,0.4986,0.6945062079162578,0.00046396046,0.021933194249868393,0.01864878087043762,0.23574501,0.0037089027,0.21737674,0.25018588,0.49741176,0.26841447,0.9530017,0.08597791,0.1978866,0.10704735,0.28836215,0.039857756,7806518.055252216
7,0.01,0.1,0.02,3,1000,200.0,0.4998,0.698105878156542,0.0013334363,0.023111572489142418,0.023252955347299577,0.24195498,0.0061677145,0.1736122,0.25738317,0.597841,0.15470754,0.91381025,0.49999738,0.24458703,0.07825236,0.28867513,0.07905524,7806530.920988688
8,0.01,0.1,0.02,8,1000,2000.0,0.4944,0.6944367582714241,0.00042757211,0.026004761457443237,0.02039375650882721,2.9100102e-08,6.6204597e-09,1.6015678e-08,7.486535e-08,0.4796062,3.682887e-08,0.47960633,0.47960615,3.990103e-09,2.234117e-10,4.4733692e-09,3.536245e-09,7806547.301836579
9,0.01,0.01,0.0002,1,1000,20.0,0.5044,0.6959480026973928,0.0011367426,0.0335923507809639,0.027650950002670288,0.062314697,0.0159179,0.030777393,0.15989397,0.5006605,0.026521906,0.5359334,0.47820526,0.0089179585,0.0014731397,0.011687745,0.0067244563,7806562.811058496
