,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Time
0,0.01,0.1,0.0002,1,1000,20.0,0.5002,0.6958975304079331,0.0009128025,0.031985003501176834,0.025832365041971207,0.07070132,0.015792884,0.037513174,0.16765946,0.492836,0.023157656,0.51926684,0.46182284,0.010193135,0.0012054398,0.012783806,0.008181073,7799090.290912328
1,0.01,0.1,0.0002,3,1000,200.0,0.4874,0.6985878667714954,0.0014550707,0.041215937584638596,0.033067940562963485,0.02350733,0.008028883,0.0108309975,0.079179354,0.48890874,0.0112440325,0.50281,0.47178036,0.003288515,0.00080969906,0.005112057,0.0022771545,7799100.24934469
2,0.01,0.1,0.0002,8,1000,2000.0,0.4944,0.6935496742561047,9.434699e-05,0.015264034271240234,0.009650441974401474,4.064844e-08,9.2793355e-09,2.1688942e-08,1.0830567e-07,0.49034953,3.256234e-08,0.49034965,0.49034947,5.5797944e-09,3.3006622e-10,6.343349e-09,4.8870055e-09,7799118.192683355
3,0.01,0.1,0.002,1,1000,20.0,0.499,0.6971862045550408,0.0012703532,0.03398668020963669,0.02896132481098175,0.12532364,0.020640982,0.07237358,0.21033186,0.51840174,0.031901356,0.55072075,0.4753537,0.020199658,0.0017479464,0.024376782,0.016711896,7799127.275177614
4,0.01,0.1,0.002,3,1000,200.0,0.4968,0.6941333251490238,0.00038648897,0.013604344800114632,0.01535912388563156,0.12021157,0.02089193,0.06666996,0.18734445,0.49542,0.013847477,0.5075616,0.46921298,0.02037282,0.0033515,0.026206909,0.014840317,7799135.80325929
5,0.01,0.1,0.002,8,1000,2000.0,0.5056,0.6931085218221479,4.5298834e-06,0.0034776926040649414,0.002131373333930969,2.5838212e-08,5.9089658e-09,1.35802445e-08,7.008179e-08,0.5021314,4.4838046e-08,0.50213146,0.5021313,3.5474623e-09,2.2054182e-10,4.022695e-09,3.0649292e-09,7799147.304756194
6,0.01,0.1,0.02,1,1000,20.0,0.486,0.6991748609180877,0.0016779343,0.042362798005342484,0.03366924101114273,0.2341296,0.0039932984,0.21010688,0.2543088,0.7918269,0.17151034,0.95291746,0.50000006,0.14554878,0.093774214,0.28867513,0.044825274,7799157.788584759
7,0.01,0.1,0.02,3,1000,200.0,0.487,0.697424742386851,0.0014713275,0.02845858968794346,0.02991210431456566,0.24384561,0.005940432,0.20291798,0.26950073,0.58091116,0.1622036,0.91700345,0.5,0.24834615,0.080969706,0.28867513,0.076371625,7799171.177805502
8,0.01,0.1,0.02,8,1000,2000.0,0.4944,0.6946703426982097,0.0005241858,0.028145670890808105,0.02254698989391327,3.3450704e-08,7.584777e-09,1.807082e-08,8.607483e-08,0.477453,4.499134e-08,0.4774531,0.47745287,4.589745e-09,2.441551e-10,5.0945115e-09,4.1596295e-09,7799189.214751089
9,0.01,0.01,0.0002,1,1000,20.0,0.4982,0.6953593663571247,0.0006594111,0.027078991755843163,0.021790484613180162,0.061670862,0.013303016,0.03140395,0.14331296,0.4967926,0.020776195,0.51963574,0.47052446,0.008818265,0.00084396714,0.010972015,0.00751572,7799200.04307639
10,0.01,0.01,0.0002,3,1000,200.0,0.5022,0.6937003163876388,0.0002897355,0.017913103103637695,0.013924686449766159,0.017034898,0.004645064,0.0078082923,0.065133326,0.48711163,0.012267701,0.507335,0.47438428,0.0023225085,0.00031216652,0.0030218503,0.0018235551,7799208.442099114
11,0.01,0.01,0.0002,8,1000,2000.0,0.4944,0.6937968710442776,0.00017929505,0.01886671781539917,0.013270848089456557,1.4903472e-08,3.3884295e-09,8.0061e-09,3.9355005e-08,0.48672915,3.847463e-08,0.48672926,0.4867291,2.043816e-09,1.13217075e-10,2.2672106e-09,1.8152583e-09,7799218.796312458
12,0.01,0.01,0.002,1,1000,20.0,0.4928,0.6959862014024742,0.0010375116,0.026908084750175476,0.02523288308978081,0.11485679,0.022565562,0.06122044,0.20089051,0.5018677,0.025374899,0.5328805,0.45914108,0.017990723,0.0024954367,0.023270573,0.01396433,7799230.551699397
13,0.01,0.01,0.002,3,1000,200.0,0.5056,0.6933775022557617,0.00017829702,0.006754577159881592,0.012354888176918028,0.12512428,0.02262895,0.0641779,0.18695992,0.5143801,0.0018167085,0.516717,0.51218927,0.01701456,0.0028142286,0.021943608,0.01210883,7799240.385558654
14,0.01,0.01,0.002,8,1000,2000.0,0.4944,0.6934298221358804,5.7434183e-05,0.013162046670913696,0.007540292882919311,1.6983753e-08,3.8615275e-09,9.376099e-09,4.443263e-08,0.49245968,3.970754e-08,0.4924598,0.49245963,2.3319593e-09,1.3358e-10,2.6425222e-09,2.0703967e-09,7799252.96772757
15,0.01,0.01,0.02,1,1000,20.0,0.4992,0.6951855597885729,0.00068580697,0.017617708072066307,0.01853790405392647,0.2371602,0.0049837334,0.21858893,0.25779882,0.750431,0.19970423,0.92964876,0.50000006,0.16283862,0.102136225,0.28867513,0.06556439,7799262.305887633
16,0.01,0.01,0.02,3,1000,200.0,0.4924,0.6942054062843234,0.00035667344,0.02272278070449829,0.01739532520771027,0.237036,0.003166959,0.23168194,0.25067005,0.5051724,0.019279318,0.53277755,0.4721461,0.274684,0.021749588,0.28855288,0.23168194,7799273.360328931
17,0.01,0.01,0.02,8,1000,2000.0,0.5056,0.6931320152615615,5.233092e-07,0.004868745803833008,0.0007237500309944154,1.6278182e-08,3.7026653e-09,8.691981e-09,4.341132e-08,0.5007237,4.4529877e-08,0.50072384,0.50072366,2.2351558e-09,1.2759838e-10,2.5211568e-09,1.977205e-09,7799285.457574472
