,lr,weight_decay,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
0,0.01,0.1,1,250,20.0,0.5026,0.7103567236353983,0.010169489,0.07451745122671127,0.07860423524677754,0.032440644,0.009618664,0.0171999,0.095834576,0.8168995,0.23558836,1.0,0.42897287,0.17260887,0.21235043,0.45077688,0.0,0 days 00:02:09.658339,7684705.011975416
1,0.01,0.1,3,250,200.0,0.5022,0.7243265837993355,0.0181022,0.08556380867958069,0.09480373567491769,0.066543356,0.027482204,0.022076335,0.19437471,0.6454854,0.36822137,0.95226717,0.105777144,0.2230957,0.06840453,0.34322122,0.14715824,0 days 00:01:44.402167,7684809.586214766
2,0.01,0.1,8,250,2000.0,0.505,0.6980003523007929,0.0024833758,0.03848886117339134,0.04460561854243279,0.3255398,0.00805276,0.2874318,0.35346016,0.66184527,0.048947234,0.7245976,0.6043731,0.39906135,0.01702543,0.4252288,0.37969077,0 days 00:04:00.973799,7685050.729244662
3,0.01,0.01,1,250,20.0,0.5034,0.7110014852665502,0.010733383,0.07115159183740616,0.07898744942843915,0.036987565,0.013923905,0.016385276,0.10919647,0.8881756,0.15356615,1.0,0.6087368,0.16121192,0.19972512,0.45490566,0.0,0 days 00:02:07.509714,7685178.397376719
4,0.01,0.01,3,250,200.0,0.5036,0.7225847427309705,0.01757269,0.079344242811203,0.08984934181571005,0.06637562,0.030445963,0.019104257,0.22263454,0.6053428,0.4034585,0.9529484,0.049742848,0.21845922,0.06941282,0.3277227,0.14488165,0 days 00:02:06.349891,7685304.909243051
5,0.01,0.01,8,250,2000.0,0.4944,0.7223030274388473,0.015113028,0.11576218158006668,0.1101618841946125,0.38725638,0.0082840985,0.3705004,0.4279638,0.448351,0.026893077,0.4730975,0.3990139,0.44869238,0.006121498,0.4558466,0.4405285,0 days 00:04:35.815762,7685580.87857355
6,0.01,0.001,1,250,20.0,0.5006,0.7117380725604059,0.010823007,0.07324579358100891,0.07946528927385807,0.037891004,0.014483699,0.013046462,0.12926006,0.8755231,0.13733253,1.0,0.6528772,0.20932432,0.17740056,0.43019554,0.0,0 days 00:02:38.192432,7685739.244723672
7,0.01,0.001,3,250,200.0,0.5018,0.721544796857636,0.016724618,0.08343590050935745,0.09233727788627148,0.07045594,0.029323654,0.015704302,0.2077004,0.60573834,0.36774042,0.97555447,0.12552908,0.24195863,0.09222587,0.32787174,0.10932355,0 days 00:02:02.883592,7685862.321757564
8,0.01,0.001,8,250,2000.0,0.5034,0.6966631398020043,0.001654233,0.03488728031516075,0.03315697001218796,0.3703653,0.012179715,0.32278013,0.40018162,0.50373507,0.029049197,0.5491443,0.47388688,0.3992343,0.012444715,0.41274664,0.37983093,0 days 00:04:21.036020,7686123.530288626
9,0.001,0.1,1,250,20.0,0.5112,0.7053201316478275,0.007989847,0.06109987571835518,0.0680899509459734,0.029829742,0.009831585,0.0132102035,0.091991246,0.6467778,0.41922268,1.0,0.085864194,0.14397852,0.13974544,0.3853482,0.0,0 days 00:02:37.011770,7686280.709946349
10,0.001,0.1,3,250,200.0,0.5088,0.7424254283603626,0.029764181,0.10678005963563919,0.11623028412386774,0.03619179,0.016909774,0.009920841,0.1310893,0.5779174,0.45717278,1.0,7.610622e-05,0.11717963,0.15021107,0.36348104,0.0,0 days 00:01:58.022194,7686398.895648379
11,0.001,0.1,8,250,2000.0,0.5102,0.7145039531930862,0.0118972855,0.08002634346485138,0.08642094665765762,0.06399446,0.032921966,0.016827125,0.18030305,0.8503825,0.17177342,1.0,0.5775671,0.16248122,0.1445976,0.3455314,0.0,0 days 00:02:28.940954,7686548.004423702
12,0.001,0.01,1,250,20.0,0.5112,0.7035777011562881,0.0071420907,0.05727965384721756,0.06378079058229923,0.033019923,0.010903621,0.015704716,0.10495939,0.5651912,0.4088267,0.9506113,0.06495191,0.24782932,0.058437727,0.33658078,0.16949518,0 days 00:02:35.709226,7686703.875682913
13,0.001,0.01,3,250,200.0,0.5048,0.7443294195684124,0.031587355,0.1084592267870903,0.11713001999631524,0.03832293,0.015451235,0.012735049,0.12499541,0.53571576,0.45307222,1.0,1.4680716e-06,0.09252446,0.17742816,0.45334902,0.0,0 days 00:01:48.542066,7686812.581943294
14,0.001,0.01,8,250,2000.0,0.5092,0.708578083005527,0.00892382,0.06566637754440308,0.07329889123439788,0.058090027,0.024634665,0.019304104,0.14992662,0.8059988,0.23234342,0.9981779,0.45024663,0.1731096,0.1807787,0.42530042,0.008090626,0 days 00:02:20.307738,7686953.059910668
15,0.001,0.001,1,250,20.0,0.5086,0.7022732880750067,0.0061888834,0.05511045455932617,0.061795828151702877,0.035403814,0.012519598,0.012218515,0.1218569,0.6391374,0.37073997,0.99976933,0.1577088,0.24735627,0.15441485,0.40094948,0.0005380623,0 days 00:02:41.868037,7687115.088339809
16,0.001,0.001,3,250,200.0,0.5068,0.7410578973059273,0.029762298,0.10514302551746368,0.11357037261128425,0.035428423,0.013421908,0.00914218,0.11109051,0.5410398,0.45607474,1.0,1.5018315e-06,0.08217125,0.16316868,0.4193798,0.0,0 days 00:01:46.147922,7687221.399585913
17,0.001,0.001,8,250,2000.0,0.5078,0.7067739779221842,0.008429566,0.05975426360964775,0.07134600491523742,0.068227544,0.031973876,0.01887737,0.17627028,0.7968536,0.20207554,0.97998667,0.5341923,0.24253967,0.13980165,0.4336583,0.08948804,0 days 00:02:33.281880,7687374.844474754
18,0.0001,0.1,1,250,20.0,0.507,0.6973486691122105,0.0026966524,0.03488500416278839,0.04118403772115707,0.15555115,0.05174322,0.03572587,0.33209938,0.55119133,0.18772277,0.8227111,0.2883559,0.4350661,0.03495911,0.4703362,0.3666814,0 days 00:04:46.265258,7687661.271528181
19,0.0001,0.1,3,250,200.0,0.5056,0.7223430357052305,0.017416364,0.08641138672828674,0.09393628037422895,0.013841144,0.006846569,0.004597317,0.07374699,0.59979117,0.49162215,1.0,1.6327009e-12,0.0006645441,0.0014700257,0.005991266,0.0,0 days 00:02:35.333486,7687816.768628485
20,0.0001,0.1,8,250,2000.0,0.5042,0.7402511253777709,0.027508909,0.10808966308832169,0.11323208931535482,0.044790335,0.028738916,0.006417178,0.23074368,0.62521774,0.3544164,1.0,0.18870346,0.2219776,0.18956733,0.4320809,0.0,0 days 00:02:18.895999,7687955.833035207
21,0.0001,0.01,1,250,20.0,0.5034,0.69568771759091,0.002573536,0.029478982090950012,0.04061072798371315,0.13044192,0.0436789,0.03976898,0.2731338,0.4538696,0.1780812,0.66156685,0.23413253,0.4445616,0.03519228,0.4869213,0.39303735,0 days 00:03:50.193081,7688186.186959154
22,0.0001,0.01,3,250,200.0,0.5084,0.718612459966806,0.015090863,0.08147409558296204,0.0901955393254757,0.014041194,0.006325363,0.005730262,0.051489655,0.5996892,0.49153882,1.0,1.625278e-12,0.0007271193,0.001631028,0.006830071,0.0,0 days 00:01:36.344650,7688282.687974891
23,0.0001,0.01,8,250,2000.0,0.5044,0.7411970855042526,0.0279633,0.10734213888645172,0.11382580765858293,0.04103302,0.024721105,0.0068931784,0.20317692,0.64260316,0.36202535,1.0,0.08385877,0.19823183,0.18601084,0.43033633,0.0,0 days 00:01:50.442120,7688393.293465306
24,0.0001,0.001,1,250,20.0,0.5104,0.6957770235595863,0.0022421784,0.02073218673467636,0.034260269975662234,0.14718337,0.056286935,0.044031467,0.28637663,0.48809966,0.1729926,0.6813116,0.28771743,0.46418253,0.016915442,0.4990049,0.43865442,0 days 00:03:49.447376,7688622.902050775
25,0.0001,0.001,3,250,200.0,0.508,0.7199002162383891,0.015790474,0.08216787129640579,0.09212485670745371,0.012513448,0.0053312797,0.005427073,0.047172833,0.5999299,0.49173573,1.0,2.4920621e-12,0.00010409264,0.0002529307,0.0011991602,0.0,0 days 00:01:44.384758,7688727.450660968
26,0.0001,0.001,8,250,2000.0,0.505,0.7455904082653959,0.032211103,0.11079800873994827,0.11402266770377754,0.04109294,0.021933766,0.0085543515,0.17815943,0.66073924,0.3432608,1.0,0.20825973,0.22805926,0.18553998,0.39499897,0.0,0 days 00:01:56.501851,7688844.112690202
