,lr,weight_decay,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
0,0.01,0.1,1,1000,20.0,0.4902,0.6969931219477407,0.0011377148,0.032844461500644684,0.02672827985882759,0.023200668,0.010042604,0.0073209163,0.085269086,0.8999342,0.0798779,0.99730766,0.77725774,0.18434682,0.13286354,0.35552132,0.012034502,0 days 00:06:49.202878,7689253.49191804
1,0.01,0.1,3,1000,200.0,0.491,0.6984630772769171,0.0017095421,0.03479921445250511,0.0334178863286972,0.033873636,0.020793054,0.008238747,0.15118746,0.66657823,0.08393493,0.8254083,0.58799815,0.30544046,0.045407772,0.38097972,0.24454856,0 days 00:07:08.699528,7689682.361309663
2,0.01,0.1,8,1000,2000.0,0.4944,0.7000734043951229,0.0029676666,0.05962596833705902,0.05215605121850967,0.15388413,0.0027610543,0.15116192,0.17868976,0.5519395,0.03267574,0.59340537,0.4885612,0.28971073,0.013105553,0.30832687,0.25788888,0 days 00:12:17.950296,7690420.476127986
3,0.01,0.01,1,1000,20.0,0.488,0.6976936183921388,0.0013014084,0.03248415142297745,0.028870942574739454,0.037303552,0.0140566565,0.013062373,0.108018994,0.8437116,0.10341458,0.99998015,0.68502647,0.2777047,0.14534262,0.414405,5.650471e-05,0 days 00:07:36.216630,7690876.853765679
4,0.01,0.01,3,1000,200.0,0.493,0.6977867773002869,0.0016033499,0.03217654675245285,0.03134787801504135,0.033543866,0.02074928,0.008400609,0.14849445,0.6666357,0.1016476,0.7689245,0.532812,0.30631006,0.06030727,0.41192263,0.22802156,0 days 00:06:01.536640,7691238.5458762
5,0.01,0.01,8,1000,2000.0,0.4942,0.7027014174067224,0.003917708,0.06227424740791321,0.056674364149570465,0.31878883,0.009293493,0.28468123,0.34646446,0.51722777,0.035310183,0.5699941,0.45627514,0.399809,0.010440052,0.41005394,0.37638626,0 days 00:12:37.609181,7691996.311552523
6,0.01,0.001,1,1000,20.0,0.4872,0.6974889615781809,0.0012705284,0.03759097307920456,0.029618387830257414,0.03595177,0.01445018,0.013386714,0.113008775,0.7203421,0.18970937,0.949999,0.4888801,0.35507202,0.10521537,0.45260093,0.22359668,0 days 00:06:43.551967,7692400.0239219
7,0.01,0.001,3,1000,200.0,0.4964,0.6965405471907602,0.0011490368,0.02569362334907055,0.027231476098299026,0.03363514,0.020241058,0.009202183,0.14043511,0.6843122,0.08414211,0.78345805,0.5583352,0.29000297,0.042276207,0.36126578,0.24697359,0 days 00:06:54.083395,7692814.26610035
8,0.01,0.001,8,1000,2000.0,0.4938,0.6966699117884831,0.0014810197,0.040153730660676956,0.03512515279650688,0.2331687,0.008273793,0.19663082,0.2760568,0.5246955,0.030046783,0.5727237,0.49720496,0.32662666,0.005542882,0.3359081,0.3184233,0 days 00:11:23.665160,7693498.086569602
9,0.001,0.1,1,1000,20.0,0.4948,0.6967065406219648,0.0010784476,0.03239704668521881,0.025422077161073683,0.023014657,0.0073996633,0.011344346,0.07721076,0.7287567,0.16787495,0.9992501,0.5267428,0.33907804,0.17587863,0.48971286,0.0019902952,0 days 00:07:17.655369,7693935.902590537
10,0.001,0.1,3,1000,200.0,0.4948,0.7040751030361849,0.0042864378,0.05350492522120476,0.05231939128637314,0.026655158,0.010975292,0.009809543,0.09789807,0.70814455,0.19809403,0.99999666,0.44685563,0.30356142,0.16000676,0.46594927,1.4268778e-05,0 days 00:05:46.995826,7694283.060605279
11,0.001,0.1,8,1000,2000.0,0.4876,0.6966109951184634,0.001061759,0.024815697222948074,0.0242310752928257,0.02866039,0.018563585,0.00828953,0.13047159,0.6653962,0.0912567,0.8326761,0.5772499,0.31289402,0.08039916,0.43385494,0.21493249,0 days 00:06:51.555019,7694694.778777486
12,0.001,0.01,1,1000,20.0,0.495,0.6960794893754405,0.00094486866,0.02744116261601448,0.023550468623638153,0.02379561,0.00788116,0.012558701,0.086742274,0.6959237,0.12066876,0.8946298,0.51392734,0.39552015,0.05798048,0.45591077,0.3061369,0 days 00:07:53.710962,7695168.649825135
