,lr,p_dropout,layers,n_MC_inference,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,1,50,250,20.0,0.7122,0.565677610382978,0.0136052845,0.08324871957302094,0.07006179285623257,0.06842452977888852,0.033820317239261995,0.00038998981956516165,0.20323734065165708,0.9999589883455863,0.0004676048050511786,1.0,0.9946684849262237,0.0002870815825524407,0.0032732336352118007,0.03732060551643374,0.0,0 days 00:00:19.639357,1303325.6168964
1,0.01,0.1,1,200,250,20.0,0.703,0.5631981033305061,0.014580803,0.0833713635802269,0.07876696317918722,0.07795624734128026,0.03649532563864463,0.0022516936997944285,0.1863350475817927,0.9999081203424479,0.0006361302208819279,1.0,0.9950000000025006,0.0012961190195612787,0.008973721361938232,0.07053367989832966,0.0,0 days 00:00:45.736251,1303371.398115206
2,0.01,0.1,1,500,250,20.0,0.7124,0.5647001385024619,0.013210493,0.07808291912078857,0.06490322064288084,0.06964814625946246,0.03459029305960624,0.0019752007097955863,0.16795262815273765,0.9999704364626885,0.00020924337487267488,1.0,0.9980000004973495,0.000660399406270363,0.004674142986402978,0.04467660515564198,0.0,0 days 00:01:56.802703,1303488.263686179
3,0.01,0.1,3,50,250,200.0,0.7288,0.5803077357847815,0.040168468,0.055790312588214874,0.027068054652250477,0.07532826892019005,0.03958315342446127,3.1236328046022815e-06,0.20892482414498842,0.9965488831263324,0.008151335554578082,1.0,0.9433561784029006,0.021046608894228463,0.044091297801768285,0.19218929871733165,0.0,0 days 00:00:17.402127,1303505.724595497
4,0.01,0.1,3,200,250,200.0,0.7118,0.5821173450267877,0.04377017,0.07371565699577332,0.06912495834962462,0.05447568934918722,0.03514010367859844,8.275894816413237e-06,0.16985149615122458,0.9997480385131562,0.0009866056847414456,1.0,0.9955951325222849,0.0035543537181311896,0.01391778593965877,0.06213829990589844,9.455765457438892e-39,0 days 00:00:51.029369,1303556.791488316
5,0.01,0.1,3,500,250,200.0,0.733,0.5739540119539189,0.016168155,0.04788604751229286,0.026007464992527457,0.06793844873273258,0.03019085931732621,0.0010966619000836628,0.15042789498321724,0.9954745961668401,0.004002258562223223,1.0,0.9853057376742363,0.04916085372350688,0.03482133183054866,0.10855205419993248,0.0,0 days 00:01:59.608705,1303676.456891882
6,0.01,0.1,8,50,250,2000.0,0.634,0.6397457662475198,0.057693236,0.06194479763507843,0.07613151094440937,0.16391333418853837,0.07123467798400804,1.4853477478027338e-06,0.3698908032691355,0.7818870846356998,0.2256301586208102,1.0,0.4798955047130585,0.13217800433893928,0.07510571920245983,0.2829454544588345,0.0,0 days 00:00:26.863076,1303703.877593574
7,0.01,0.1,8,200,250,2000.0,0.6152,0.6283701330472874,0.0513988,0.16078270971775055,0.16802281102962915,0.3038124944001026,0.06138628872408451,0.07049238578816366,0.4644725829965234,0.7855367680080213,0.0685910028878592,0.8968210625648498,0.6598418014061218,0.38318613555865866,0.05764140001616494,0.46182562020231255,0.2681503157788682,0 days 00:01:03.568845,1303767.975291268
8,0.01,0.1,8,500,250,2000.0,0.527,1.0004165097462647,0.15708385,0.34308430552482605,0.3455748005596561,0.3239197951503042,0.03947687730205265,0.006291866813947838,0.40576653039760563,0.8795409233583042,0.021207247593735917,0.9160000000246161,0.8159897353687053,0.3238847858230959,0.02393915860405339,0.3874793868261671,0.27738781516137134,0 days 00:02:21.452416,1303909.9262828
9,0.01,0.3,1,50,250,20.0,0.7162,0.5653512658944793,0.01957278,0.07957138121128082,0.07099846566297238,0.08819954487130324,0.04314346342842588,0.0039337870055170965,0.22173779306926106,0.99452510542056,0.011260180570131997,1.0,0.9512911272048951,0.02841136857662363,0.05382124901722797,0.19415810657456026,0.0,0 days 00:00:16.374576,1303926.354690229
