,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.1,1,250,20.0,0.7132,0.5624911447019838,0.013010572,0.08154834061861038,0.06489715024508659,0.07234809451456377,0.032925972921209995,0.0013179270916672196,0.1684761405470719,0.9997727968977353,0.0009045386976632834,1.0,0.9950011302842904,0.0032050799452652983,0.012760071718005576,0.07051773361319379,0.0
1,0.01,0.1,0.1,3,250,200.0,0.7246,0.5965895704159008,0.042847987,0.0655331015586853,0.04555155512545498,0.05182393404567012,0.027386905620376302,0.0008712744956007792,0.15613248270644303,0.9964137754560664,0.005555161519875144,1.0,0.9762469233572483,0.03214197299046991,0.04180740521565274,0.1350665046964227,0.0
2,0.01,0.1,0.1,8,250,2000.0,0.5088,0.6922343518070249,0.087761074,0.0004335911071393639,0.23092778098859018,0.03286353471707921,0.01711927342856614,0.009626180648426958,0.2070580447118098,0.5075144855217812,0.0035397216355299165,0.51978545114398,0.5004273980929471,0.04481880674949064,0.019695075252708156,0.09069482480194524,0.009526278088416018
3,0.01,0.1,0.3,1,250,20.0,0.7226,0.5598737571807074,0.017467888,0.06895917654037476,0.061170151066557814,0.0867171832670077,0.041299743469921844,0.014891895563506435,0.20251751203426102,0.9993842331709769,0.001738429651207829,1.0,0.9911862071603537,0.007656099320964508,0.02038434961161953,0.08769579221815814,0.0
4,0.01,0.1,0.3,3,250,200.0,0.729,0.5597757336683998,0.01834513,0.05149046704173088,0.036515778152375784,0.08649437881918234,0.03397997992728604,0.009408700080191078,0.17162950688883122,0.9925286087978346,0.008700884833119859,1.0,0.9561965081840753,0.057352505136122396,0.04527296272498333,0.1735143152575613,7.034055923204783e-42
5,0.01,0.1,0.3,8,250,2000.0,0.5104,0.6927301082446046,0.08793313,0.000582575798034668,0.2294421929804248,0.06229852108958644,0.013732462332243643,0.032779582874748005,0.1593084574618577,0.5069532094414418,0.004508820828276397,0.5185704825818539,0.49248032823204996,0.06451115718122771,0.0139902078722125,0.10009327301682422,0.03628613723231323
6,0.01,0.1,0.5,1,250,20.0,0.721,0.5768108649882644,0.028472852,0.09810727834701538,0.09939878023542588,0.10796758134929688,0.05535133956117129,0.03127199286900276,0.238925127570909,0.9714264250143281,0.021319172157683013,1.0,0.9114773354679346,0.13872489505277802,0.05496201683931664,0.24822844439992578,7.164286612912126e-13
7,0.01,0.1,0.5,3,250,200.0,0.715,0.557754187297623,0.013618931,0.05129801481962204,0.05253216924794142,0.12052127197642712,0.03274464478277845,0.03182625434956774,0.20749513898239758,0.9873883123438628,0.013264845769039807,1.0,0.9434853376659555,0.08630192397866004,0.060500159692801536,0.2254562556312559,1.6323478844599087e-11
8,0.01,0.1,0.5,8,250,2000.0,0.4944,0.6929012026054802,0.087939374,0.022425202652812004,0.23176244899608317,0.04511825725850125,0.011855186556376867,0.030869384753075896,0.21898286062261865,0.4874815885155247,0.0032316367778903125,0.4948685395717621,0.4743756002187729,0.04421764107261694,0.008544526263368494,0.06999204143368527,0.031082063828136594
9,0.01,0.01,0.1,1,250,20.0,0.7108,0.5672112313230522,0.014784505,0.07809364795684814,0.06944422858931248,0.06902819086345197,0.02848413316021505,0.0007305854057873178,0.16810010005071546,0.999923320088127,0.0006158147361551337,1.0,0.99500211461258,0.0010817033342486809,0.008687136005678458,0.07050385156096532,0.0
