,lr,weight_decay,layers,n_ensembles,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
0,0.001,0.01,3,5,1000,20.0,0.7286,0.5454590915962015,0.0054668253,0.04319845885038376,0.030894093134776993,0.02606594,0.0070104157,0.0007636788,0.041905455,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:09:21.006512,964425.234919684
1,0.001,0.01,3,20,1000,20.0,0.7296,0.5450861327788682,0.005041354,0.03892592340707779,0.027856427411512775,0.026252894,0.006585508,0.000787883,0.04235546,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:09:08.366126,964973.736924181
2,0.001,0.01,3,50,1000,20.0,0.7264,0.5451914605604319,0.0053927316,0.03793668746948242,0.028803375027851505,0.02654568,0.007203735,0.0012353278,0.044643648,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:09:38.860593,965552.737259882
