,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,0.1,1,1000,20.0,0.4966,0.6954314933036098,0.00078710134,0.020405925810337067,0.022299699306488036,0.009222680774475935,0.008449590575294302,0.0,0.05297448488082679,0.7620822409484359,0.30926432369192564,0.999835130572319,0.13198507510125637,0.14045404975478,0.12089629457511367,0.3413163139006673,0.0007696081009090359,0 days 00:00:35.653001,7886183.43503587
1,0.01,0.1,0.1,3,1000,200.0,0.487,0.6959540656448912,0.00071128446,0.026483163237571716,0.016900042939186094,0.004931374985561558,0.010497134107905117,0.0007292858050976909,0.08190113361149601,0.49666454438979807,0.014343647414227861,0.5412627449631691,0.4894631253182888,0.021964133251028944,0.0420645092771974,0.12754215330846735,0.0009135057611334457,0 days 00:00:32.934781,7886216.390631396
2,0.01,0.1,0.1,8,1000,2000.0,0.4942,0.6931971682430036,3.010236e-06,0.007238149642944336,0.0016701165020465852,0.006199070235006636,0.004989590666355003,0.0043132380699909155,0.05039401451545827,0.49834220011876185,0.00045152874202756654,0.49939017310738565,0.4957502447068691,0.005567264637474057,0.0026799552234172954,0.035625728995068176,0.004445173939921849,0 days 00:00:38.710455,7886255.423303075
3,0.01,0.1,0.3,1,1000,20.0,0.4848,0.695201481761048,0.0005777832,0.02220098115503788,0.020167326605319974,0.01880308810990257,0.010769539996596003,0.0003067386718813895,0.07335517233245707,0.7662336951805667,0.20080348564951356,0.9879916095733643,0.3437235009127835,0.2762146917021019,0.1107548494064779,0.4033828758887783,0.03758553149352019,0 days 00:00:29.759620,7886285.201544489
4,0.01,0.1,0.3,3,1000,200.0,0.4944,0.6932517416375494,1.3571678e-05,0.009271204471588135,0.003672063225507736,0.002011551538869363,0.00030745278008429783,0.001673401829644946,0.021672701660347838,0.4963099584671168,0.00013749261390072392,0.49667980074882506,0.4960263048112392,0.0020084430210373662,8.126634569619035e-05,0.002268352564102454,0.0017817496067329807,0 days 00:00:29.135184,7886314.357480936
5,0.01,0.1,0.3,8,1000,2000.0,0.4944,0.6934766614072598,6.61436e-05,0.013534456491470337,0.007933803898096085,0.018752715535010456,0.011132671760907343,0.01001909211069407,0.06933699996701047,0.4920970463129123,0.0016933292264794339,0.49645112052559853,0.4836275212466717,0.021799945198130624,0.01409507301789141,0.07016114676920289,0.010562309277960044,0 days 00:00:40.578278,7886355.260890827
6,0.01,0.1,0.5,1,1000,20.0,0.4992,0.6937461599030575,0.0002609787,0.005535231903195381,0.011862436163425444,0.018172931132219215,0.0098713385056436,0.0,0.07373788145075173,0.9314444820360782,0.026233269368117425,0.974982731193304,0.872578147072345,0.1536287795160525,0.05137513088048091,0.28078696271601283,0.07367254436938361,0 days 00:00:32.681034,7886387.960801468
7,0.01,0.1,0.5,3,1000,200.0,0.4944,0.6932367252479702,1.0440151e-05,0.008820146322250366,0.0032220856547355648,0.001119914605492052,0.0011582539423910171,0.000831859726914096,0.026594846528354706,0.4967986265072544,0.00048415581810281553,0.49917649641633033,0.4943029050529069,0.002361462072248273,0.00657312650734848,0.03551689781716517,0.0008627168314746793,0 days 00:00:28.839545,7886416.82104453
8,0.01,0.1,0.5,8,1000,2000.0,0.5036,0.693157668780196,2.0544736e-05,0.006868869066238403,0.0035993349969387057,0.06148388512670351,0.00585214156394976,0.042490638129494274,0.08607103737362914,0.49898383096770316,0.004505881864166542,0.5108264238387347,0.48815824165940286,0.061616758883241335,0.006492245477204485,0.07795673996384506,0.04810336339832757,0 days 00:00:45.135898,7886462.282065613
9,0.01,0.01,0.1,1,1000,20.0,0.501,0.6944144332062746,0.0005719141,0.023095309734344482,0.019967972564697265,0.00977278051823297,0.007162220082223198,0.000588524989127903,0.046845048029555816,0.9003765323607635,0.13224100671254915,0.9999913495779037,0.6146166371554136,0.11261676877761372,0.07028084255185253,0.23915703634819782,2.9425324273448625e-05,0 days 00:00:30.202016,7886492.503059624
