,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,0.1,1,5000,20.0,0.4934,0.6934615633334311,0.00015454384,0.001437062630429864,0.009539660179615021,0.004810633996557096,0.0025471225985488157,0.0009734207175449034,0.028706165466932124,0.3883353393644547,0.3744620054320003,0.9034484397782944,0.0029605438784346917,0.15235985251140502,0.0903653037172738,0.31899752936119796,0.007172878252374501,0 days 00:00:58.801417,7983147.067292234
1,0.01,0.1,0.1,3,5000,200.0,0.5056,0.6931226585338409,3.4012064e-05,0.0017833113670349121,0.00380997633934021,0.0020765618838295163,0.0025374989070703004,0.00034090119432389997,0.01573907222132263,0.5223585077367563,0.04272315290555222,0.6272508531063795,0.5003474825620651,0.03387606829926484,0.06492515880383713,0.19293548522792645,0.0003897929101232991,0 days 00:00:47.751538,7983194.84004286
2,0.01,0.1,0.1,8,5000,2000.0,0.495,0.6932419627573531,1.8816945e-05,0.009458482265472412,0.003939266550540925,0.02259771000385357,0.016625739723568997,4.715766909317213e-05,0.08459667196271548,0.4875173307081645,0.00731882101682253,0.5067420228011906,0.4686102448762932,0.08623821555069536,0.01904180174531925,0.12782926677742856,0.039225383303241546,0 days 00:00:57.441702,7983252.620859961
3,0.01,0.1,0.3,1,5000,20.0,0.4986,0.6934643997649367,9.7911856e-05,0.0044831461273133755,0.00794283428788185,0.006896802614153691,0.004185851426466201,0.00046204752882787856,0.033667625954272966,0.27606686081073323,0.12620635589023455,0.49387049795128407,0.10841152747394517,0.22429986784216138,0.07036576500668937,0.334461130267214,0.10014395238947393,0 days 00:00:44.564718,7983297.204510791
4,0.01,0.1,0.3,3,5000,200.0,0.5058,0.6930721647360432,6.3575324e-05,0.0011827318230643868,0.007300960463285447,0.003891474820458752,0.00512484045956002,0.000128548134843087,0.03355775548203348,0.45057409369151663,0.14601422867543865,0.5780094277858734,0.1442758195659553,0.1019858118408958,0.07356751575263455,0.23489222628734308,0.015695934422701924,0 days 00:01:13.775369,7983371.000897873
5,0.01,0.1,0.3,8,5000,2000.0,0.5054,0.6931141466816435,1.0607536e-05,0.002351701259613037,0.0032475106060504914,0.0038272969206969193,0.0025729877505818667,0.0029967737776840976,0.03571089277243706,0.5032879605109876,0.00028604611201064775,0.5041630692780018,0.5025540886819363,0.003635694630266194,0.00016674018419345687,0.004059707138130791,0.003241981164483292,0 days 00:01:04.150269,7983435.492598123
6,0.01,0.1,0.5,1,5000,20.0,0.5076,0.6930387980503468,5.210446e-05,0.0008962168940342963,0.006572231775522232,0.003491674139265568,0.0027806041627937332,0.00012708585879444786,0.021117694946285712,0.2999822671166735,0.14518668640069898,0.5039217540249229,0.034601521727054205,0.1684613604490456,0.07332248409758718,0.31023593797697796,0.07252926050836228,0 days 00:00:55.548141,7983491.059699618
7,0.01,0.1,0.5,3,5000,200.0,0.5056,0.6930849238237126,4.204045e-05,0.0009042620658874512,0.006504906153678894,0.004241154401222585,0.0002288633258290101,0.003682835470842121,0.01576288165887145,0.5064527618438004,0.0002774388644849212,0.5071452356874943,0.5057097725570202,0.004226591493885905,0.00015753792429152173,0.0046317388920823765,0.0038597137981781584,0 days 00:00:52.699476,7983543.779638568
8,0.01,0.1,0.5,8,5000,2000.0,0.4944,0.6934255675666987,3.2001193e-05,0.011058807373046875,0.005458747541904449,0.01893617406431271,0.004030054417645647,0.011315737797383678,0.043182145613326256,0.49453901748015333,0.0013831779709486114,0.49789216607809067,0.49018669858574865,0.019010916376091366,0.0038779622475572234,0.04126115787355501,0.01330152035187979,0 days 00:00:55.815969,7983599.935377665
9,0.01,0.01,0.1,1,5000,20.0,0.4972,0.693604280056689,0.00043806017,0.005978771951049566,0.0168448425590992,0.007454359240362604,0.003289935004310343,0.0014968425654963526,0.031034862135496444,0.510697160381746,0.28003331926792324,0.9673706895112991,0.0935438727820292,0.1849852290502363,0.057702762496395686,0.2606249361596432,0.05465095426312055,0 days 00:00:47.394374,7983647.349234035
10,0.01,0.01,0.1,3,5000,200.0,0.5056,0.6930907544304362,4.115429e-05,0.0008415579795837402,0.0064413675308227555,0.0018107952091287324,0.00018051899527597083,0.0012906741894221033,0.005588030538006889,0.5064316789146799,0.00018377218529258126,0.5068239027261734,0.5050053123384715,0.0019771610681426815,0.0017546623696073247,0.02166522561734951,0.0015016926788460453,0 days 00:00:54.279906,7983701.650336189
11,0.01,0.01,0.1,8,5000,2000.0,0.506,0.693095445055701,7.581891e-06,0.0028748512268066406,0.0027245873868465423,0.005841606766450842,0.00183193885245347,0.004770426304388903,0.03603174343032786,0.5027423262630517,0.0004083223283900946,0.5040823493897915,0.5017910991609097,0.005753592616615916,0.00030454793251828753,0.00671761437882152,0.005048848990331917,0 days 00:01:17.377385,7983779.3680313
12,0.01,0.01,0.3,1,5000,20.0,0.5074,0.6931779873409639,0.00011336527,0.0031779399141669273,0.007944616132974624,0.006398159018214494,0.00560799782327884,0.0006850495992401155,0.048488127620148216,0.2113378592099136,0.10167363314737612,0.3556193080544472,0.008515832725156542,0.17078959006746008,0.08374943367575934,0.3360885480616217,0.034404503429477054,0 days 00:00:57.243109,7983836.630776398
13,0.01,0.01,0.3,3,5000,200.0,0.5056,0.693223299223713,3.6355643e-05,9.906291961669922e-05,0.005501648652553558,0.0035942524266991014,0.0019025863833246031,0.0019416515277739129,0.020456940299089475,0.5037448774876334,0.005859610213420182,0.519934348409297,0.46801509173273187,0.03459337815415888,0.05251507046041595,0.16450175545767273,0.002152207775547409,0 days 00:00:46.140052,7983882.791763564
14,0.01,0.01,0.3,8,5000,2000.0,0.5056,0.6930778028151162,1.931998e-05,0.0012720227241516113,0.00432893726825714,0.010577410028559537,0.005107971915325683,0.006355394461168049,0.045171036591071946,0.5042949630248612,0.000960322381159485,0.5079951113462449,0.5016401243768632,0.011397469816497786,0.006326749754894843,0.03677700988485585,0.006797124739016514,0 days 00:01:28.941614,7983972.073629048
15,0.01,0.01,0.5,1,5000,20.0,0.504,0.6932531180335058,8.4635125e-05,0.0036476789973676205,0.006886388295888901,0.006330897283182216,0.005600370406637731,0.0004830757350585793,0.0342513829167968,0.358774706169101,0.20805115052445258,0.6312442287430167,0.028497643208252158,0.1972038860126286,0.1221689077788839,0.3918349106415552,0.06775329767086369,0 days 00:01:02.031260,7984034.124472464
16,0.01,0.01,0.5,3,5000,200.0,0.5056,0.6930855427584768,2.7699516e-05,0.0003234744071960449,0.0052771629691123955,0.002031831578400139,0.0020282983749641322,0.0011467094131397508,0.032774367530092455,0.5046079520043543,0.0021289722272072025,0.5103944785892963,0.49726444494212046,0.01915208921104751,0.020743063680367928,0.07754597229178996,0.001123085665229107,0 days 00:00:44.532717,7984078.677851049
17,0.01,0.01,0.5,8,5000,2000.0,0.5056,0.6930950571863072,8.300989e-05,0.0035303831100463867,0.009129586219787598,0.01152176815435289,0.0010263838119354083,0.009349829917225862,0.037731114964758186,0.5091995648558323,0.0008439978762508161,0.5115035833418369,0.5071296137571335,0.011500020138802483,0.0006450302360592434,0.01409416152885149,0.009796748304232656,0 days 00:01:07.457799,7984146.476122988
18,0.01,0.001,0.1,1,5000,20.0,0.5016,0.6933473451582206,0.00014671581,0.001475529745221138,0.009904009276628494,0.005313920153263528,0.0030670272337945544,0.000887686700552626,0.023664012180851117,0.4738898040953127,0.3330821633080296,0.9578904299438,0.01869315640655259,0.17522815618849247,0.059210480831330375,0.28209174670834913,0.0449470007816658,0 days 00:01:00.493329,7984206.989357786
19,0.01,0.001,0.1,3,5000,200.0,0.5056,0.6930885270933521,4.8825234e-05,0.0014175772666931152,0.007017501556873322,0.002674196132456307,0.00017145897957307856,0.0020362802839498854,0.003306087275435411,0.5070262810404484,0.0002001125128155293,0.5075168934464455,0.5064370170235634,0.0026901499014089173,0.00017888047635023982,0.00324749872830137,0.0021459977934484534,0 days 00:01:00.707422,7984267.717963051
20,0.01,0.001,0.1,8,5000,2000.0,0.5056,0.6931303272524847,6.0426068e-05,0.0021854639053344727,0.007786630463600158,0.007158722023092991,0.0056138587578338,0.004776014687472052,0.05077441789042823,0.5077422963518363,0.0007664802106747798,0.5102932943403721,0.5040829142928124,0.007558266646445844,0.0068523962313338516,0.036353777020040154,0.005152193966719451,0 days 00:01:08.979468,7984337.038225283
21,0.01,0.001,0.3,1,5000,20.0,0.5006,0.6935993809910458,7.035155e-05,0.0021448074840009212,0.006822983068227768,0.005607550551774673,0.005724165455324179,0.0,0.04382393136279871,0.24105474777463382,0.12036577131390461,0.4556076568365097,0.07692829593830539,0.1791529763191982,0.07160715141684314,0.28296737369247416,0.05056531068006527,0 days 00:00:58.733461,7984395.791481057
22,0.01,0.001,0.3,3,5000,200.0,0.5056,0.6930943562774325,2.891602e-05,0.00021195411682128906,0.005388317573070523,0.004258422177624799,0.00014454384335125788,0.003607796827781782,0.004736545718642861,0.5054526383934113,0.0003033859924087286,0.5064130634069443,0.5047746419906616,0.0042365736470126,0.00019936002541930464,0.005695751937568568,0.0035633923178105143,0 days 00:00:49.463923,7984445.276667977
23,0.01,0.001,0.3,8,5000,2000.0,0.506,0.6931155644921064,4.131517e-06,0.003589332103729248,0.0020113872826099397,0.0037625517611337513,0.002459033764782744,0.0029254919126273887,0.03560847882145279,0.5020415330322888,0.0003479450942875896,0.5047442591190339,0.5013833950459957,0.0038197410844136174,0.0027909708074451292,0.03531691120503677,0.0028991870276452473,0 days 00:01:02.486490,7984508.103752275
24,0.01,0.001,0.5,1,5000,20.0,0.505,0.6934544188915324,0.00015971655,0.005412876605987549,0.011064991497993469,0.006294050113436465,0.0031875996330977575,0.0014416018518762438,0.02298874321002545,0.48395693368217546,0.14848658865434086,0.6947839050367475,0.1835949933016673,0.2624667996592344,0.04601808974175032,0.3325231888182535,0.15913003442223136,0 days 00:00:52.359401,7984560.483438744
25,0.01,0.001,0.5,3,5000,200.0,0.5056,0.6930863054604713,2.7410775e-05,0.0003479123115539551,0.005252202785015108,0.0018391088274664917,0.00029420952800229583,0.0015899103819478147,0.016037905760795546,0.5052720384368531,0.00023138435455356568,0.5070890265703202,0.504870340526104,0.002114003502478242,0.0024693395110728343,0.027416483770412718,0.0016599286013041174,0 days 00:00:54.266877,7984614.7732159
26,0.01,0.001,0.5,8,5000,2000.0,0.4956,0.6931795819421611,3.1281277e-06,0.006479471921920776,0.0014069549322128295,0.0213254562193657,0.004396454615783154,0.012168653137036911,0.04548173194289288,0.49921237387336226,0.0014778538950694004,0.5036091333627701,0.49605354651808736,0.021897477040050285,0.004809265204704072,0.0397134760955418,0.014012700795776876,0 days 00:01:25.658346,7984700.779139589
27,0.001,0.1,0.1,1,5000,20.0,0.4962,0.6942420522631865,0.0006235027,0.020910456776618958,0.020246216803789137,0.03140882103645847,0.02165360710207311,0.00173141781615025,0.14616938329537468,0.9203769838912006,0.06941620713303699,0.9999900823831558,0.7852072199382348,0.2004809319880959,0.13808653717455066,0.3836218466630725,4.525038515762542e-05,0 days 00:01:02.002417,7984762.802314487
28,0.001,0.1,0.1,3,5000,200.0,0.5084,0.6934070437650816,0.0003187416,0.0049140616320073605,0.013686285078525543,0.010963583179409616,0.005138781777836934,0.0015373703561289982,0.037391676450618784,0.5897634736178295,0.30291629571918255,0.8881849247962237,0.06512227814746438,0.23320693884611385,0.047678458156789824,0.3056975259251855,0.13116590829844757,0 days 00:00:54.361696,7984817.18621177
