,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,0.1,1,250,20.0,0.5028,0.7060533679388258,0.0070935804,0.06747080385684967,0.06994254956841468,0.03337281930359793,0.01922879671588826,0.0036417427644274943,0.12555317839122485,0.9330594590435447,0.08562552603188858,0.9999993377923966,0.7304423400049399,0.15413296959769504,0.1287866113844606,0.40927840072969407,6.528315169717194e-06,0 days 00:00:26.490869,7936205.399889277
1,0.01,0.1,0.1,3,250,200.0,0.4944,0.6933046650777119,2.4436376e-05,0.010521024465560913,0.00492644248008728,0.0007821846120130663,0.0007461379213740138,0.000541141592392357,0.024847358092094797,0.4950656158557306,5.026191857721569e-05,0.4951926670968533,0.49489231511950493,0.0007266991077911274,4.0322958401558024e-05,0.0008233667372080953,0.0006430656148503959,0 days 00:00:26.794862,7936232.215387903
2,0.01,0.1,0.1,8,250,2000.0,0.4936,0.6933063553138777,3.3635497e-05,0.011257588863372803,0.005660029762983322,0.009948934883949576,0.01316916632997949,0.0030264177564951382,0.061676475771601125,0.4943888900761421,0.001139982043751204,0.49867742374539376,0.4931605933606625,0.010404178992073434,0.013472982656025144,0.05050561353130459,0.0030965428788685585,0 days 00:00:35.504517,7936268.046855063
3,0.01,0.1,0.3,1,250,20.0,0.5076,0.6992343122396067,0.0037678345,0.04287616163492203,0.050917762833833695,0.04124702014199852,0.01935743470850258,0.006380667617575582,0.13211563351511404,0.8157353120777744,0.18396919570271145,0.9980277147889137,0.4589925335710495,0.2715440579031154,0.1276357729236717,0.45896323204759737,0.019135806881931776,0 days 00:00:26.124373,7936294.190410022
4,0.01,0.1,0.3,3,250,200.0,0.4996,0.6941702592439875,0.0007701878,0.015424132347106934,0.016463572430610654,0.01710340601042694,0.03674564765756912,0.001808228680619169,0.20294364094892595,0.5464236591674382,0.112383308606984,0.8082801702618599,0.48707392108161,0.053889882521214356,0.09925494618004563,0.25741409914543445,0.001926896210838125,0 days 00:00:26.072772,7936320.283290008
5,0.01,0.1,0.3,8,250,2000.0,0.4962,0.6932114446156137,2.6731357e-05,0.010371565818786621,0.004827134811878204,0.0239026628695656,0.01052588909188724,0.015400014987463793,0.08062805969637964,0.49544733603871777,0.0021120162874965634,0.5016091690957546,0.4914811909198761,0.024223866187776878,0.011695937838275484,0.07329091816810843,0.016654213026735,0 days 00:00:35.483637,7936356.102220193
6,0.01,0.1,0.5,1,250,20.0,0.5008,0.6983241692626809,0.002746108,0.03458382934331894,0.04183319337368011,0.04112836336175912,0.024172790702592654,8.993849488458629e-05,0.1380025240116474,0.7934723341785235,0.24259817405070563,0.9722126308362931,0.2600036852863328,0.2637097496450883,0.08770501092208899,0.4427067703873596,0.10842014597291842,0 days 00:00:27.371139,7936383.492094677
7,0.01,0.1,0.5,3,250,200.0,0.4976,0.6963555010399208,0.0013736573,0.027143649756908417,0.026799692779779432,0.09673474918901445,0.04077345135999805,0.0060049136710763965,0.2437513070709627,0.5462220734243856,0.11278061907396365,0.7227029287323795,0.27520046454247526,0.4238377066425217,0.016084538747076882,0.45654277834330825,0.39121759703726433,0 days 00:00:26.573774,7936410.086516762
8,0.01,0.1,0.5,8,250,2000.0,0.5058,0.6931080612275331,0.00025300332,0.009765679016709328,0.014398520582914354,0.10373464984527923,0.008933400354766145,0.07297526817735545,0.13668790969239022,0.5146959643193447,0.007634765208532856,0.5397291924804449,0.49704562480561437,0.1033070728353453,0.00980945847589714,0.13182674593372934,0.08192920487219343,0 days 00:00:36.803731,7936447.224857736
9,0.01,0.01,0.1,1,250,20.0,0.5024,0.7088124475448347,0.008137388,0.06930258125066757,0.07472784766554832,0.029252056104504244,0.01653317776813093,0.003181237710524942,0.10083724291745512,0.9916839710077336,0.012560701317963267,0.9999999976158143,0.9434025516454131,0.04689043452405055,0.057181838291079916,0.19261929396308772,2.4462478889980705e-08,0 days 00:00:27.635398,7936474.879557188
