,lr,weight_decay,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time
0,0.01,0.1,1,5000,20.0,0.7322,0.555259642692615,0.014237781,0.07022448629140854,0.063348278081022,0.04102409,0.017409561,0.0028167258,0.0717299,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:06:40.549780
1,0.01,0.1,3,5000,200.0,0.7362,0.5266231755606295,0.0016349381,0.025472886860370636,0.020356731161452632,0.032820247,0.013562886,0.00026818897,0.08727842,0.99999416,5.6677573e-06,0.9999997,0.9999714,2.637612e-05,2.5355559e-05,0.00012788219,1.3061444e-06,0 days 00:09:47.534473
2,0.01,0.1,8,5000,2000.0,0.514,0.7124604984673709,0.10831123,0.17537133395671844,0.2000303110163433,0.27446356,0.025271071,0.18015046,0.323661,0.74656457,0.024589632,0.7765645,0.7265645,0.2821208,0.023477668,0.30121636,0.25347745,0 days 00:09:46.833483
3,0.01,0.01,1,5000,20.0,0.7266,0.5521289975704337,0.01351001,0.07354602962732315,0.0651418852653129,0.049473528,0.017775903,0.014923443,0.16206853,0.9797793,0.024412451,1.0,0.9499998,0.09042955,0.109175734,0.2236068,0.0,0 days 00:06:47.744382
4,0.01,0.01,3,5000,200.0,0.7388,0.5296810737235886,0.0021587,0.03994683176279068,0.031945187414042446,0.047146216,0.011040411,0.0148792965,0.09250268,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:08:26.719637
5,0.01,0.01,8,5000,2000.0,0.5074,0.7356142575287041,0.11735388,0.1645195037126541,0.21991578018774818,0.2532313,0.014583167,0.23006411,0.30568412,0.6927091,0.020077351,0.7027091,0.6527091,0.25606743,0.01408785,0.28413457,0.24905066,0 days 00:08:19.887867
6,0.01,0.001,1,5000,20.0,0.728,0.5521779883997634,0.013195478,0.07218503952026367,0.06430256541033814,0.045415197,0.018435836,0.0047896607,0.14259534,0.9800078,0.02458002,1.0,0.95,0.0894078,0.109925166,0.2236068,0.0,0 days 00:06:51.763254
7,0.01,0.001,3,5000,200.0,0.7396,0.53303419385726,0.0044046505,0.04389707371592522,0.03690178335250894,0.059926275,0.016972555,0.020901026,0.09865724,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:08:02.090033
8,0.01,0.001,8,5000,2000.0,0.5164,0.6875363694147317,0.098119974,0.16967052221298218,0.21312076954951115,0.28315866,0.012700631,0.22908254,0.3072538,0.61600655,0.005549047,0.61877036,0.6049512,0.2874346,0.009396201,0.3061546,0.28275463,0 days 00:08:25.181476
9,0.001,0.1,1,5000,20.0,0.7294,0.5587331224571963,0.015553264,0.07427170127630234,0.06864322197397779,0.0211992,0.005735854,0.0025724832,0.038167335,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:10:32.175596
10,0.001,0.1,3,5000,200.0,0.7376,0.5253911176613794,0.0025222548,0.01846080645918846,0.0200835126203725,0.03030991,0.015989935,0.00087508094,0.08399759,0.9999971,5.428702e-06,1.0,0.99997103,1.0680622e-05,1.7912605e-05,8.886233e-05,0.0,0 days 00:06:30.808268
11,0.001,0.1,8,5000,2000.0,0.726,0.5844967064607498,0.045516144,0.10340187698602676,0.10532528510203192,0.13131718,0.044534504,0.06399273,0.2309937,0.999669,0.0005983822,0.9999999,0.99758303,0.0014529079,0.002684259,0.010808829,3.7318412e-07,0 days 00:07:35.847676
12,0.001,0.01,1,5000,20.0,0.7294,0.5603574855217347,0.01588316,0.0772581696510315,0.0693836219604833,0.023430191,0.0056068036,0.0020367443,0.038995758,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:10:34.645297
