,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,ROCAUC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.1,0.1,0.05,1,1000,20.0,0.5754,,0.6727107224958462,0.09070604,0.13785570859909058,0.20437949853052922,0.19635546,0.02646096,0.108942226,0.2328805,0.6384112,0.022824612,0.6769273,0.6117331,0.037597883,0.008481688,0.05496908,0.025037177
1,0.1,0.1,0.05,3,1000,200.0,,,,,,,,,,,,,,,,,,
2,0.1,0.1,0.05,8,1000,2000.0,0.4944,,0.7023232058858406,0.10516866,0.06772053241729736,0.25469370600094626,2.1352415e-09,1.1777214e-09,8.5408003e-10,2.143872e-08,0.43788242,3.4810608e-08,0.4378825,0.43788233,2.2767752e-10,1.8307276e-11,2.7485153e-10,1.966615e-10
3,0.1,0.1,0.1,1,1000,20.0,0.6004,,0.6721218909153739,0.09077562,0.06684722006320953,0.1675901670258267,0.0474961,0.021558719,0.014722721,0.12060594,0.51285046,0.07183736,0.5763869,0.37833998,0.005827935,0.0025398964,0.011589587,0.0033091162
4,0.1,0.1,0.1,3,1000,200.0,0.5628,,0.683205408640074,0.095553346,0.03074106015264988,0.21432564324250053,0.00033671886,0.00018284733,8.494068e-05,0.0011590344,0.52880454,0.045616623,0.60707617,0.486357,3.830286e-05,1.5588887e-05,7.024175e-05,2.0816424e-05
5,0.1,0.1,0.1,8,1000,2000.0,0.5056,,0.6937000502217003,0.1007031,0.01756143569946289,0.2351847776543124,4.601082e-11,3.952888e-11,1.0073706e-11,4.4298185e-10,0.5231333,9.666392e-07,0.52313447,0.52313215,4.4829526e-12,1.7908214e-12,7.596446e-12,2.5320353e-12
6,0.1,0.1,0.2,1,1000,20.0,0.5162,,0.6991120606294356,0.103528954,0.08409518003463745,0.2275066170941813,0.21316387,0.030448813,0.10199478,0.23961592,0.41982588,0.12825087,0.5436489,0.15508369,0.13075024,0.09454723,0.23958434,0.027296681
7,0.1,0.1,0.2,3,1000,200.0,0.5074,,3.0917422046049263,2.3879929,0.3684844672679901,0.30221855919631163,0.0021737134,0.003906416,1.9451396e-05,0.052492093,0.25535348,0.31433612,0.66302407,8.8664234e-07,0.00016250691,0.00020096231,0.0005242143,8.8664154e-07
8,0.1,0.1,0.2,8,1000,2000.0,0.5056,,0.6930849294756631,0.10036231,0.00047451257705688477,0.23827923672308748,3.541889e-06,1.7769826e-06,1.4277002e-06,2.0519738e-05,0.5051154,3.5592965e-08,0.50511545,0.5051153,3.806161e-07,2.3898865e-08,4.4042594e-07,3.3665304e-07
9,0.1,0.01,0.05,1,1000,20.0,0.5792,,0.6728911364212873,0.08831198,0.04676501452922821,0.17992663693537542,0.037682086,0.022091068,0.009013479,0.13737392,0.55183345,0.07611725,0.6573479,0.43889225,0.004585362,0.0022449144,0.008106657,0.0020122828
