,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
49,0.001,0.001,0.1,3,1000,200.0,0.7152,0.5774439022392389,0.03419846,0.08339836448431015,0.11142687770088741,0.06632154,0.019210625,0.02566654,0.112737246,0.6575835,0.04688663,0.7152911,0.58269256,0.007517597,0.0009337842,0.009154515,0.005588335
50,0.001,0.001,0.1,8,1000,2000.0,0.5364,0.6875489462515161,0.0975932,0.03152870014309883,0.21418023601879904,0.032548692,0.018996801,0.009435729,0.13794594,0.53609467,0.016598977,0.5616354,0.5104024,0.0035805486,0.001639362,0.007344996,0.0021059115
51,0.001,0.001,1.0,1,1000,20.0,0.7334,0.6218106428090292,0.0640024,0.15656201541423798,0.16141334361543486,0.21080698,0.015579624,0.1032001,0.22532947,0.9898534,0.0019456263,0.99336106,0.9857749,0.010040575,0.0019061705,0.014024195,0.006595019
52,0.001,0.001,1.0,3,1000,200.0,0.7216,0.5519389419770147,0.016787332,0.05276622995734215,0.07019661151280235,0.16828734,0.045273975,0.061685313,0.21722376,0.94223595,0.050151,0.9956992,0.87136626,0.015875919,0.0091196215,0.03328492,0.0042609237
53,0.001,0.001,1.0,8,1000,2000.0,0.7348,0.5393102100584184,0.009101129,0.060652509331703186,0.060741129678465226,0.1648732,0.056061853,0.022111868,0.21349323,0.9896921,0.004234348,0.9947711,0.98183066,0.008089892,0.0029572092,0.013766578,0.004482613
54,0.0001,0.1,0.01,1,1000,20.0,0.5544,0.6772247703887161,0.09360891,0.11324325203895569,0.18580066860427688,0.21406761,0.022635108,0.12889321,0.24084985,0.7425375,0.2082822,0.9737484,0.36702165,0.037367232,0.006820056,0.051766533,0.025571287
55,0.0001,0.1,0.01,3,1000,200.0,0.7368,0.5658064297317906,0.030415796,0.07502992451190948,0.06897046236207316,0.12735207,0.032308955,0.035332404,0.18646103,0.9202872,0.0890818,0.99856204,0.7872628,0.007079459,0.0048890715,0.014049523,0.0014336706
56,0.0001,0.1,0.01,8,1000,2000.0,0.623,0.7279744886840406,0.14632414,0.09944584220647812,0.09741233311237375,0.029427052,0.014125881,0.010030676,0.11616948,0.5832409,0.07479589,0.62271124,0.4329849,0.0034602415,0.0010106007,0.0055800118,0.0021444126
57,0.0001,0.1,0.1,1,1000,20.0,0.5844,0.6992336889636739,0.108953334,0.1615511029958725,0.17507691376616785,0.2278208,0.01949458,0.12504555,0.28049165,0.6248653,0.3508134,0.97353894,0.01130962,0.087279476,0.1023377,0.28867513,0.011182422
58,0.0001,0.1,0.1,3,1000,200.0,0.735,0.55461470624313,0.023114523,0.061136651784181595,0.050609175698064064,0.13013205,0.025220696,0.043770242,0.17413577,0.96011204,0.058792714,0.9983077,0.8456994,0.0058613354,0.0049236002,0.015730305,0.0016891897
59,0.0001,0.1,0.1,8,1000,2000.0,0.7298,0.536495636230735,0.009419378,0.04321805015206337,0.05258257233535478,0.09980973,0.035521682,0.022716096,0.15223274,0.7854801,0.034382533,0.8089323,0.717004,0.014784277,0.0017299722,0.018020319,0.0117395185
