,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,ROCAUC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
55,0.001,0.1,0.05,3,1000,200.0,0.7322,,0.5383693360884722,0.0095491335,0.02965371124446392,0.027919731191895704,0.065548204,0.01621698,0.0261119,0.10275127,0.88300073,0.052660875,0.9401617,0.78833574,0.0060141482,0.00068984606,0.0073133474,0.0047484115
56,0.001,0.1,0.05,8,1000,2000.0,0.5056,,0.6932754335486928,0.1004797,0.0098799467086792,0.23631896748652292,0.0073497696,0.0062075905,0.0021870087,0.077474646,0.5154773,0.00012328375,0.51560533,0.5153079,0.00069062423,0.00015256857,0.0010683142,0.00052514515
57,0.001,0.1,0.1,1,1000,20.0,0.5662,,0.7030582010374291,0.10663865,0.06520203500986099,0.216428310085438,0.24969082,0.031520832,0.16054446,0.28867513,0.45892715,0.10568964,0.54362243,0.25024143,0.19248717,0.11831944,0.28867513,0.0393495
58,0.001,0.1,0.1,3,1000,200.0,0.7216,,0.5506935279801469,0.014356671,0.021335233002901077,0.021370732701919772,0.08224251,0.020073665,0.038116198,0.12770848,0.84572977,0.05080007,0.9156623,0.77031994,0.0093555655,0.00078667974,0.010993084,0.0076783756
59,0.001,0.1,0.1,8,1000,2000.0,0.7344,,0.537933331146265,0.010020251,0.029255781322717667,0.027259501454211573,0.115504384,0.050322354,0.016155144,0.18139851,0.9136253,0.012411367,0.9213338,0.88814414,0.012616178,0.0021727923,0.01776764,0.009999813
60,0.001,0.1,0.2,1,1000,20.0,0.477,,0.7165243820676858,0.11359222,0.17774559557437897,0.17985599122752974,0.22610801,0.016413065,0.13893893,0.24277203,0.4931319,0.39384148,0.96359664,0.01958705,0.042998977,0.01505209,0.06697413,0.01920708
61,0.001,0.1,0.2,3,1000,200.0,0.7176,,0.5482471874347898,0.014188769,0.024936659261584282,0.03653995280673335,0.13227603,0.038324665,0.04899251,0.1918747,0.86342305,0.04459177,0.9171522,0.7843548,0.0178845,0.0035753543,0.025318617,0.012594917
62,0.001,0.1,0.2,8,1000,2000.0,0.7324,,0.5404522142388177,0.011055113,0.042940642684698105,0.03441694572602937,0.12716246,0.04350156,0.02071864,0.1796326,0.87525743,0.021599215,0.8955414,0.83779186,0.016506119,0.0029936633,0.021527681,0.010827757
63,0.001,0.01,0.05,1,1000,20.0,0.4598,,0.6968438241974058,0.10165008,0.0480356402695179,0.21128739037623237,0.24708432,0.02338311,0.15104486,0.28851247,0.5356829,0.21540467,0.9232012,0.25521904,0.19071941,0.1206673,0.28867513,0.029307108
64,0.001,0.01,0.05,3,1000,200.0,0.7194,,0.5694034839125847,0.025689505,0.05928406864404678,0.0656944506142063,0.047295097,0.0191723,0.00415283,0.104825765,0.8570658,0.09766219,0.9998535,0.73380965,0.0035212245,0.0018407189,0.0058553824,0.00014648831
65,0.001,0.01,0.05,8,1000,2000.0,0.5076,,0.7036066045461683,0.10514518,0.07329939305782318,0.22536728517522642,0.013702249,0.010316715,0.0038100728,0.1324768,0.5793016,0.004334594,0.58542603,0.574832,0.0013484297,0.00033093223,0.0019849679,0.0008124374
66,0.001,0.01,0.1,1,1000,20.0,0.5304,,0.6674062316832107,0.08924945,0.13011884689331055,0.19839046025385684,0.22984402,0.019876698,0.14187576,0.27776057,0.8722973,0.09897196,0.97912526,0.7370543,0.06599199,0.062843814,0.20087388,0.020443212
67,0.001,0.01,0.1,3,1000,200.0,0.7244,,0.5523600989591865,0.012722302,0.05287870764732361,0.023450456077955463,0.06463059,0.01807586,0.016540637,0.12001812,0.89036363,0.08139414,0.98684776,0.76509744,0.005376601,0.0020987114,0.008524742,0.0020609754
68,0.001,0.01,0.1,8,1000,2000.0,0.7286,,0.5377463556216749,0.009065785,0.04549961909651756,0.04675152642780522,0.10381055,0.034919787,0.0099028945,0.15254617,0.9000669,0.00090783846,0.90137863,0.89855146,0.010219779,0.00087004644,0.012103361,0.008629769
69,0.001,0.01,0.2,1,1000,20.0,0.512,,0.714354021874044,0.114962086,0.09351687133312225,0.18708423151185344,0.24234812,0.03208876,0.113289885,0.2877979,0.41291568,0.11603854,0.5,0.21135998,0.1929083,0.11837516,0.28867513,0.027677026
70,0.001,0.01,0.2,3,1000,200.0,0.7288,,0.5468924799608997,0.015446744,0.049307629466056824,0.040355021741591196,0.104757376,0.020935664,0.03840383,0.14799432,0.8911253,0.06696872,0.9721483,0.7898893,0.010343752,0.002884077,0.014769773,0.005300471
71,0.001,0.01,0.2,8,1000,2000.0,0.5516,,0.665795580723056,0.08463109,0.0789443701505661,0.1899525261770708,0.11441379,0.032233242,0.041438937,0.19329642,0.52188295,0.057250418,0.5885213,0.4331202,0.014924377,0.0042427527,0.024488956,0.009681357
72,0.001,0.001,0.05,1,1000,20.0,0.6282,,0.6686311641502554,0.08872278,0.09816814213991165,0.19347835548629594,0.17918234,0.03731081,0.08180323,0.26176646,0.6863873,0.13308121,0.94771624,0.548204,0.03261397,0.013268331,0.06602775,0.017936038
73,0.001,0.001,0.05,3,1000,200.0,0.7344,,0.5399442263126735,0.009268494,0.03553387522697449,0.030451981386147242,0.06442285,0.017046383,0.01679321,0.104497045,0.888982,0.08262428,0.9617547,0.7388417,0.0056456164,0.0013422542,0.008462414,0.003722117
74,0.001,0.001,0.05,8,1000,2000.0,0.7368,,0.5348492110751,0.0068203635,0.04090119153261185,0.025613814903400638,0.08484831,0.026062012,0.025536537,0.13125396,0.8799447,0.04348813,0.9132185,0.798663,0.008583016,0.0014042847,0.011286913,0.0062255007
75,0.001,0.001,0.1,1,1000,20.0,0.7348,,0.5880885832775786,0.045792885,0.10601325333118439,0.1059954150449259,0.17005731,0.029690292,0.061420254,0.21204898,0.977565,0.03275254,0.99759114,0.91216266,0.0069565414,0.005685133,0.01952852,0.0024030546
76,0.001,0.001,0.1,3,1000,200.0,0.6512,,0.6316042432582164,0.06810453,0.11468389630317688,0.16186012816538645,0.043838646,0.016801955,0.013465367,0.100508496,0.6646738,0.051370565,0.7525704,0.5993107,0.0051442604,0.0015184871,0.0084237605,0.0028489544
77,0.001,0.001,0.1,8,1000,2000.0,0.5178,,0.7061671824696156,0.106192835,0.08634547889232635,0.22776983414103819,0.007984542,0.031138629,0.0013941521,0.28867513,0.59313697,6.716706e-05,0.59320337,0.59305453,0.00044215695,8.613302e-05,0.0006012563,0.00029499253
78,0.001,0.001,0.2,1,1000,20.0,0.5302,,0.7002559419067711,0.104407266,0.1322207748889923,0.21602849093785115,0.2491309,0.012986673,0.21357755,0.28657606,0.3863108,0.13998094,0.5,0.19920263,0.22791186,0.0793628,0.28867513,0.08715319
79,0.001,0.001,0.2,3,1000,200.0,0.6692,,0.5941807049566401,0.04458009,0.08066871017217636,0.12194263590683768,0.06830599,0.018871734,0.028105807,0.12016814,0.6844371,0.1388815,0.8530307,0.49299437,0.007336863,0.0009273931,0.00924692,0.0054277447
80,0.001,0.001,0.2,8,1000,2000.0,0.7212,,0.5600426248025678,0.02175374,0.07605151832103729,0.08430826024001073,0.14620058,0.052115537,0.021494087,0.21007675,0.7534866,0.0053861365,0.75927615,0.744411,0.023038194,0.0033609117,0.027963994,0.015856694
