,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Time
0,0.01,0.1,0.0002,1,1000,20.0,0.7376,0.5389683580351355,0.0066673215,0.037223104387521744,0.0277118286248071,0.06972349,0.017761556,0.008295311,0.10486757,0.9505237,0.06336188,0.999608,0.8451201,0.0029911452,0.003122501,0.007983929,0.0003918619,7074403.261951997
1,0.01,0.1,0.0002,3,1000,200.0,0.7252,0.5482856877580718,0.015461952,0.036511149257421494,0.030223910904839432,0.026375227,0.010090422,0.0067366846,0.047757912,0.7975544,0.05459469,0.8472762,0.6948316,0.003045117,0.00041220788,0.003932507,0.002394738,7074411.995777598
2,0.01,0.1,0.0002,8,1000,2000.0,0.5056,0.6931294402694165,0.100373864,0.004723191261291504,0.23910025844683475,6.462887e-08,3.5172675e-08,2.6973423e-08,5.7021225e-07,0.5008576,4.4838046e-08,0.50085765,0.5008575,6.87732e-09,3.8983475e-10,7.645574e-09,6.043854e-09,7074433.140609329
3,0.01,0.1,0.002,1,1000,20.0,0.7364,0.5443062662492921,0.009803866,0.0442335344851017,0.030056304448447924,0.10455603,0.024530737,0.015995612,0.14714597,0.98566616,0.026583996,0.99916166,0.9317013,0.0025685083,0.0029735498,0.009284753,0.0008376451,7074444.489971494
4,0.01,0.1,0.002,3,1000,200.0,0.7254,0.5452733667267078,0.014889311,0.046760041266679764,0.048047519311472574,0.12403456,0.05724921,0.010389384,0.19220555,0.9489826,0.073664546,0.9980742,0.8068341,0.0088059185,0.008564717,0.026164232,0.0019221351,7074460.589045633
5,0.01,0.1,0.002,8,1000,2000.0,0.4944,0.6933488209649087,0.10046721,0.011478722095489502,0.24045294154991936,2.8056785e-08,1.514228e-08,1.11445635e-08,2.4053926e-07,0.49410325,3.5592965e-08,0.49410334,0.49410316,2.9864675e-09,1.8344368e-10,3.3836645e-09,2.6176894e-09,7074468.407895662
6,0.01,0.1,0.02,1,1000,20.0,0.7346,0.5510430609348139,0.018529013,0.06020798161625862,0.052767881892226434,0.20057192,0.04448266,0.059041727,0.260425,0.9930548,0.0038561076,0.9967745,0.9833203,0.006882564,0.00378455,0.016403766,0.0032151074,7074476.154686951
7,0.01,0.1,0.02,3,1000,200.0,0.7318,0.5458383409736087,0.012971044,0.05109319090843201,0.04472907250390927,0.17745985,0.07902343,0.01368027,0.2493137,0.9888949,0.005299478,0.99382806,0.9755102,0.010955211,0.005149303,0.023897246,0.006133969,7074484.304299716
8,0.01,0.1,0.02,8,1000,2000.0,0.4944,0.6936468514761908,0.1006054,0.01675364375114441,0.241562654210232,2.3061363e-08,1.2593978e-08,9.352342e-09,2.1291486e-07,0.48883268,3.802462e-08,0.48883277,0.48883256,2.4566362e-09,1.6693827e-10,2.8301501e-09,2.1275632e-09,7074491.157363223
9,0.01,0.01,0.0002,1,1000,20.0,0.736,0.5438711255773409,0.007874939,0.04234175384044647,0.03308688096215556,0.07061381,0.018862009,0.006399754,0.111061245,0.9438169,0.07818246,0.9996687,0.8002489,0.003083766,0.0033238332,0.00867441,0.0003311786,7074500.397673675
10,0.01,0.01,0.0002,3,1000,200.0,0.7268,0.5653977179221958,0.030903235,0.05171763896942139,0.04919924228377713,0.008910362,0.004571726,0.0013907631,0.019704131,0.8545417,0.033642653,0.9043091,0.80527335,0.0009156533,8.286751e-05,0.0011167651,0.0007706163,7074512.537434252
11,0.01,0.01,0.0002,8,1000,2000.0,0.4944,0.6931471805599454,0.10038059,0.0055999755859375,0.23926845135798286,0.2886751,0.0,0.28867513,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513,7074519.337947842
12,0.01,0.01,0.002,1,1000,20.0,0.7408,0.5413325063309541,0.008308391,0.03786110877990723,0.025325712374947768,0.095597915,0.023733592,0.014267869,0.13909812,0.99822766,0.0017147529,0.9993235,0.9938549,0.0011540783,0.00048224666,0.0024368872,0.0006760679,7074529.724791683
13,0.01,0.01,0.002,3,1000,200.0,0.7132,0.5648220690925292,0.024047848,0.06413737684488297,0.05269132500903288,0.12405647,0.061188933,0.00983981,0.20706049,0.98531,0.022549601,0.99772775,0.93902636,0.0056930436,0.004593608,0.016108127,0.0022670955,7074542.321069803
14,0.01,0.01,0.002,8,1000,2000.0,0.4944,0.6931471805599454,0.10038059,0.0055999755859375,0.23926845135798286,0.2886751,0.0,0.28867513,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513,7074549.133774541
15,0.01,0.01,0.02,1,1000,20.0,0.7358,0.5446587621993212,0.013773952,0.049356017261743546,0.045558774400852424,0.20346032,0.05477231,0.06157537,0.27519754,0.98645526,0.015292508,0.9970981,0.9491727,0.013137458,0.014551129,0.048306335,0.0028935138,7074560.448181496
16,0.01,0.01,0.02,3,1000,200.0,0.7306,0.551307486023147,0.016860463,0.05552877485752106,0.05097556228151153,0.18008499,0.08238694,0.009776232,0.25408432,0.98942095,0.0044946615,0.99427783,0.9780572,0.010447973,0.004378121,0.021466479,0.0056895227,7074568.957391935
17,0.01,0.01,0.02,8,1000,2000.0,0.4944,0.6935818310646027,0.10057475,0.015771299600601196,0.24134853860845396,1.8872695e-08,1.0160144e-08,7.950095e-09,1.5762907e-07,0.48983142,3.6735276e-08,0.4898315,0.48983133,2.0109634e-09,1.1794281e-10,2.2668087e-09,1.8002244e-09,7074577.798171119
18,0.01,0.001,0.0002,1,1000,20.0,0.736,0.5331524569185668,0.006387118,0.032516222447156906,0.024498295116774538,0.064412884,0.016548319,0.01138045,0.09681964,0.9439771,0.059964977,0.99965745,0.84652525,0.0033473696,0.0025785712,0.006852508,0.00034242828,7074591.312933643
19,0.01,0.001,0.0002,3,1000,200.0,0.7366,0.5527250389914116,0.022064468,0.02829749882221222,0.026480040295318034,0.0065478133,0.003279799,0.00071825815,0.0128732715,0.83381605,0.06617852,0.9182919,0.7670304,0.00058763556,0.00011750992,0.00078363024,0.00041084315,7074603.770284348
20,0.01,0.001,0.0002,8,1000,2000.0,0.4944,0.6935562636243542,0.10056276,0.015365123748779297,0.24126091395726035,1.5856878e-08,8.675581e-09,6.399565e-09,1.531695e-07,0.49024194,4.255329e-08,0.49024206,0.49024186,1.687133e-09,9.84738e-11,1.8996038e-09,1.5020943e-09,7074615.114696699
21,0.01,0.001,0.002,1,1000,20.0,0.7368,0.544911562657955,0.010064168,0.03755979612469673,0.026193969004951217,0.10123312,0.025432922,0.014955764,0.14263454,0.99895996,0.00014183723,0.9992495,0.9986049,0.0010389369,0.00014153693,0.0013931537,0.00074993016,7074629.259576355
22,0.01,0.001,0.002,3,1000,200.0,0.7164,0.5577365532174399,0.017513085,0.053286224603652954,0.03876046066077033,0.11752595,0.058256168,0.006434616,0.194088,0.9879665,0.01868331,0.9983074,0.9487451,0.00460409,0.0038543902,0.013418172,0.0016897337,7074642.179390273
23,0.01,0.001,0.002,8,1000,2000.0,0.4944,0.6933499194674074,0.10046771,0.011535286903381348,0.24045783699860407,1.4249799e-08,7.7527496e-09,6.054531e-09,1.2461018e-07,0.4940794,4.0480302e-08,0.4940795,0.49407932,1.5185223e-09,1.0913286e-10,1.7975991e-09,1.3162997e-09,7074651.052456817
24,0.01,0.001,0.02,1,1000,20.0,0.7262,0.5544585792351295,0.018581256,0.05458315089344978,0.051142437992594936,0.20041496,0.0505936,0.054360446,0.2665874,0.99330515,0.0028641853,0.9969531,0.9864164,0.006642182,0.0028194499,0.013400313,0.003037599,7074660.815508866
25,0.01,0.001,0.02,3,1000,200.0,0.727,0.541947402215851,0.011218455,0.03605375438928604,0.047029098491906916,0.18354057,0.077494614,0.010485829,0.2547787,0.9881909,0.007464276,0.99534416,0.9715816,0.011616423,0.007245696,0.027621971,0.004634224,7074670.320518318
26,0.01,0.001,0.02,8,1000,2000.0,0.5056,0.6930982977407277,0.10036362,0.002650439739227295,0.23868932441582508,1.9647027e-08,1.0689322e-08,8.2465395e-09,1.7658408e-07,0.5029695,3.820526e-08,0.50296956,0.50296944,2.0957067e-09,1.3758829e-10,2.3923719e-09,1.7981624e-09,7074688.399579437
27,0.001,0.1,0.0002,1,1000,20.0,0.739,0.5592947279960577,0.023301864,0.07336454093456268,0.06871493919303248,0.12782341,0.027004125,0.026215151,0.16950585,0.9451964,0.070849486,0.9986027,0.8215509,0.0058972635,0.0050757723,0.0132246865,0.0013953499,7074714.326769649
28,0.001,0.1,0.0002,3,1000,200.0,0.7328,0.5419915315124364,0.00873281,0.03729097172617912,0.04033385078942011,0.04535936,0.015052752,0.014981616,0.08248388,0.878875,0.069451764,0.94989073,0.7708902,0.004442095,0.00075242005,0.0058768233,0.003163289,7074725.594850924
29,0.001,0.1,0.0002,8,1000,2000.0,0.728,0.5652164367187265,0.03092367,0.051961399614810944,0.04275702327180534,0.05879779,0.025825169,1.3296432e-05,0.09472037,0.8370757,0.0013405947,0.8386089,0.8347699,0.0067974934,0.00077404495,0.008443194,0.005471903,7074743.600308566
30,0.001,0.1,0.002,1,1000,20.0,0.7318,0.6078800422199612,0.057842214,0.129446342587471,0.12849804890265296,0.1848666,0.02968132,0.06148669,0.2205509,0.9699302,0.049471766,0.9963782,0.8701409,0.008074803,0.005493226,0.020482015,0.0036087318,7074756.963546826
31,0.001,0.1,0.002,3,1000,200.0,0.7318,0.5422204463466078,0.008303904,0.03902736306190491,0.03569465582927296,0.12283252,0.04249787,0.034243856,0.1804818,0.9495547,0.09533609,0.99802065,0.758554,0.007063871,0.008291916,0.02561208,0.0019754241,7074771.393028466
32,0.001,0.1,0.002,8,1000,2000.0,0.7334,0.538567528618005,0.008753204,0.03879741206765175,0.038574173220326344,0.12760259,0.042843897,0.00018984929,0.16484801,0.9258916,0.0016293423,0.92772436,0.921868,0.01522904,0.0016608927,0.019458147,0.01255397,7074787.530830701
33,0.001,0.1,0.02,1,1000,20.0,0.722,0.6232839817727,0.066184774,0.1418096274137497,0.14819176854004693,0.22226802,0.019204823,0.09270396,0.24233201,0.9873783,0.0044397633,0.9934803,0.976541,0.012444267,0.0043138466,0.022915004,0.0064772926,7074794.927819657
34,0.001,0.1,0.02,3,1000,200.0,0.7362,0.5394080652530611,0.008757758,0.04183752089738846,0.04029890980159471,0.19241944,0.07183089,0.034889434,0.2630269,0.9172172,0.14846343,0.99353665,0.6182852,0.057841096,0.09855515,0.25534317,0.0064217034,7074806.540954728
35,0.001,0.1,0.02,8,1000,2000.0,0.723,0.549426814485369,0.01478281,0.04948853328824043,0.05007127857436499,0.17801283,0.05883011,0.0005882583,0.23594943,0.9920864,0.0024443935,0.99606377,0.98783225,0.007845258,0.002406724,0.012020577,0.00392077,7074814.981386406
36,0.001,0.01,0.0002,1,1000,20.0,0.7394,0.5571326384274036,0.023422753,0.07440979033708572,0.0696743452828152,0.13238774,0.028168347,0.029009111,0.18260461,0.90929705,0.10753423,0.9987148,0.725121,0.00823227,0.006401157,0.020034805,0.0012835424,7074838.057823172
