,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Time
0,0.01,0.1,0.0002,1,250,20.0,0.7274,0.5590059199705454,0.016070308,0.04593616724014282,0.04586128777524064,0.08928129,0.023095379,0.009288418,0.13307762,0.9688711,0.03805647,0.99952507,0.9120822,0.0031636273,0.003112837,0.007994017,0.00047470073,7147454.646324636
1,0.01,0.1,0.0002,3,250,200.0,0.7164,0.6148601146581323,0.06816082,0.059703975915908813,0.06340420809236894,0.025913201,0.013407927,0.0058173346,0.058196366,0.72126466,0.04680077,0.77077556,0.64653045,0.003395055,0.0006120493,0.004627238,0.0024552033,7147458.0810412
2,0.01,0.1,0.0002,8,250,2000.0,0.4944,0.693354935308021,0.10046998,0.01162603497505188,0.2404801100443823,2.6876974e-08,1.482475e-08,1.0875232e-08,2.6383134e-07,0.49397114,3.682887e-08,0.4939712,0.493971,2.860883e-09,1.9741817e-10,3.3561893e-09,2.4734614e-09,7147461.405152604
3,0.01,0.1,0.002,1,250,20.0,0.7184,0.5713781693279394,0.021085465,0.07541957497596741,0.06452824997564385,0.10944655,0.029062985,0.01896639,0.1736355,0.9858648,0.026001638,0.9991243,0.93204343,0.002624387,0.0029009888,0.009248132,0.0008749496,7147465.067404054
4,0.01,0.1,0.002,3,250,200.0,0.6896,0.6840740742538355,0.09528869,0.1397649645805359,0.09065183709885534,0.087131105,0.056715216,0.0071666315,0.2074462,0.9388304,0.074834555,0.99905574,0.8257615,0.0066132215,0.006321393,0.015641622,0.00094336807,7147469.572509967
5,0.01,0.1,0.002,8,250,2000.0,0.4944,0.6931815511650582,0.10039437,0.006970435380935669,0.23953852014651128,2.2673046e-08,1.2465151e-08,9.5944435e-09,2.2316786e-07,0.49863264,3.8295262e-08,0.4986327,0.49863252,2.4163027e-09,1.7177508e-10,2.8690652e-09,2.1179145e-09,7147473.420794493
6,0.01,0.1,0.02,1,250,20.0,0.7242,0.5611878753423715,0.020159163,0.0482582226395607,0.03947589562048743,0.18722212,0.054070383,0.038058087,0.26913244,0.9948371,0.0022193994,0.9978675,0.99024004,0.005131472,0.0021950079,0.009665176,0.0021279238,7147476.608127476
7,0.01,0.1,0.02,3,250,200.0,0.705,0.6181517095823441,0.060673766,0.10451681166887283,0.06726632513587902,0.16375901,0.09280642,0.009092952,0.28458598,0.9611916,0.033083666,0.9936024,0.89904964,0.036310084,0.030075908,0.091225415,0.0063567925,7147481.110812149
8,0.01,0.1,0.02,8,250,2000.0,0.4944,0.693318692289919,0.10045369,0.010821759700775146,0.24031510964741537,3.151136e-08,1.711612e-08,1.3237894e-08,3.0189108e-07,0.4947781,8.655052e-08,0.4947782,0.49477783,3.3610448e-09,2.0886769e-10,3.81694e-09,2.9539988e-09,7147484.17188649
9,0.01,0.01,0.0002,1,250,20.0,0.7252,0.5674262570610281,0.019781243,0.05332327261567116,0.05453477998336385,0.08362712,0.022976916,0.010359883,0.13355623,0.9511587,0.063078076,0.9994883,0.84430087,0.0034354154,0.0034354522,0.008479315,0.00051144476,7147488.536548972
10,0.01,0.01,0.0002,3,250,200.0,0.631,0.6274245542880439,0.059828956,0.025212256237864494,0.1403494936123265,0.01776901,0.010634365,0.0048362557,0.07179381,0.5791414,0.033387106,0.636757,0.5366128,0.0017486884,0.00043291546,0.0026241012,0.0011296913,7147491.419694352
11,0.01,0.01,0.0002,8,250,2000.0,0.4944,0.6933793946920763,0.100481056,0.012167930603027344,0.2405861878406031,2.1798245e-08,1.1664774e-08,9.074991e-09,1.8599769e-07,0.4934568,5.3646747e-08,0.49345687,0.49345666,2.3247497e-09,1.2593665e-10,2.5995381e-09,2.1021265e-09,7147497.175757976
12,0.01,0.01,0.002,1,250,20.0,0.7196,0.5592352397830066,0.01748965,0.06338808685541153,0.05714211653431485,0.1040266,0.026957182,0.018779298,0.15779789,0.9989333,0.0001826398,0.99930507,0.99849796,0.001065555,0.00018224628,0.0014997869,0.00069444615,7147501.616633338
13,0.01,0.01,0.002,3,250,200.0,0.7236,0.6179300498724795,0.058023334,0.10778654366731644,0.09194944719036649,0.07795222,0.04590245,0.009573874,0.17962815,0.90952677,0.07439134,0.9992067,0.82894367,0.0065065008,0.0046171905,0.012342812,0.0007926579,7147504.609820792
14,0.01,0.01,0.002,8,250,2000.0,0.4944,0.6931471805599454,0.10038059,0.0055999755859375,0.23926845135798286,0.2886751,0.0,0.28867513,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513,7147507.436588912
15,0.01,0.01,0.02,1,250,20.0,0.7254,0.5598405244166008,0.019172955,0.05854831635951996,0.04839202954729627,0.18673748,0.05508973,0.034259398,0.27470002,0.9958508,0.0018148208,0.99818015,0.99156314,0.0041288193,0.0017973561,0.008365989,0.0018165283,7147510.718209967
16,0.01,0.01,0.02,3,250,200.0,0.704,0.5825576348667778,0.03510763,0.049986567348241806,0.05468012148549388,0.1858805,0.07870858,0.013607183,0.26338843,0.9829568,0.012844905,0.9947369,0.9569479,0.01659606,0.012312976,0.041236833,0.0052354727,7147514.107619228
17,0.01,0.01,0.02,8,250,2000.0,0.4944,0.6931471805599454,0.10038059,0.0055999755859375,0.23926845135798286,0.2886751,0.0,0.28867513,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513,7147516.891906202
18,0.01,0.001,0.0002,1,250,20.0,0.7228,0.5548146756030595,0.014374119,0.05527016147971153,0.0539795630153043,0.095143154,0.021599093,0.014673391,0.1386246,0.9510423,0.053544644,0.9992586,0.8721845,0.0047637164,0.0036042766,0.010322285,0.00074088183,7147519.977287923
19,0.01,0.001,0.0002,3,250,200.0,0.7068,0.6866175511856154,0.095047206,0.11463861167430878,0.07968358982761929,0.023127465,0.013646497,0.0018474214,0.07329223,0.8891167,0.07230167,0.9781817,0.79152066,0.0022358587,0.0007468633,0.0037245275,0.0011190036,7147524.932757179
20,0.01,0.001,0.0002,8,250,2000.0,0.4944,0.6931969977792037,0.10040077,0.007529169321060181,0.2396448584090693,1.9599502e-08,1.0764062e-08,7.557985e-09,1.8345234e-07,0.49809882,4.1571155e-08,0.49809888,0.4980987,2.0863846e-09,2.0172723e-10,2.501525e-09,1.7696755e-09,7147529.228701964
21,0.01,0.001,0.002,1,250,20.0,0.7224,0.5640216906586722,0.019374387,0.06211748346686363,0.06373215808381866,0.09962048,0.02788332,0.016217332,0.14900047,0.9989643,0.0003501325,0.9993935,0.9980546,0.0010345206,0.00034927492,0.0019415311,0.0006060963,7147532.20361465
