,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Time
0,0.01,0.1,0.0002,1,1000,20.0,0.7374,0.5382206681248864,0.0068895365,0.03297572582960129,0.02733718972166608,0.07414183,0.018624775,0.0076775867,0.10610071,0.967153,0.05220253,0.9996057,0.86431396,0.0026792157,0.0029461028,0.008551263,0.00039412416,7067302.782219094
1,0.01,0.1,0.0002,3,1000,200.0,0.7326,0.5554561319960415,0.022355696,0.05007421597838402,0.030703212059825465,0.025130032,0.011871481,0.0055499845,0.056722,0.839403,0.0673414,0.8995319,0.71440077,0.002791071,0.0003553261,0.0034267076,0.0020578648,7067313.860329782
2,0.01,0.1,0.0002,8,1000,2000.0,0.4944,0.6931471805599454,0.10038059,0.0055999755859375,0.23926845135798286,0.2886751,0.0,0.28867513,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513,7067321.229141242
3,0.01,0.1,0.002,1,1000,20.0,0.7366,0.5457220075339899,0.009748324,0.04044963791966438,0.03006507890780995,0.10274343,0.025324617,0.013910359,0.14159851,0.99896264,0.0001894462,0.99927354,0.9984657,0.0010361392,0.00018903047,0.0015319191,0.000725941,7067332.610708556
4,0.01,0.1,0.002,3,1000,200.0,0.7236,0.5425905354405016,0.012243704,0.03596647083759308,0.039282139362744786,0.115676366,0.05093644,0.011576129,0.1911101,0.89762324,0.09060703,0.99817455,0.7270014,0.012700206,0.006301976,0.02282084,0.0017676157,7067343.027894869
5,0.01,0.1,0.002,8,1000,2000.0,0.4944,0.6932281190273499,0.100413956,0.008504897356033325,0.23983978309144804,2.5291595e-08,1.3776113e-08,1.0211244e-08,2.3430572e-07,0.49712482,3.319061e-08,0.4971249,0.49712473,2.693351e-09,1.9122966e-10,3.1232898e-09,2.3306697e-09,7067349.914603547
6,0.01,0.1,0.02,1,1000,20.0,0.733,0.5503864670391654,0.017121457,0.052226822823286057,0.05538500345309804,0.21093814,0.051846113,0.07623534,0.27237844,0.99197644,0.0045163976,0.9964658,0.98047525,0.0079395,0.0044181254,0.019147182,0.0035217258,7067364.333558275
7,0.01,0.1,0.02,3,1000,200.0,0.7286,0.5460609131698505,0.01477939,0.05207366868853569,0.04757352517244945,0.18053743,0.08101901,0.011727812,0.24622434,0.9899027,0.0033028792,0.994176,0.98238355,0.009985284,0.0032310623,0.017308798,0.005790198,7067373.370073275
8,0.01,0.1,0.02,8,1000,2000.0,0.4944,0.6931961757248957,0.100400425,0.007473021745681763,0.23963938123693296,2.2931689e-08,1.23181e-08,9.616614e-09,1.9030666e-07,0.49812627,3.9007794e-08,0.4981264,0.4981262,2.4453568e-09,1.3056695e-10,2.6968652e-09,2.1986262e-09,7067380.123389749
9,0.01,0.01,0.0002,1,1000,20.0,0.738,0.5352236255542187,0.005459954,0.0281318798661232,0.023945086586080293,0.059704736,0.01659631,0.008886287,0.095489286,0.9593348,0.050745044,0.999726,0.87138313,0.0024643173,0.0022027572,0.006029349,0.00027393614,7067394.918522018
10,0.01,0.01,0.0002,3,1000,200.0,0.7374,0.5420579735794167,0.014623984,0.054035913199186325,0.0647413321498556,0.009640037,0.0022036254,0.0040382245,0.014513803,0.7244275,0.014462398,0.7381484,0.70626503,0.0011190497,8.490533e-05,0.0013090933,0.000935034,7067403.94053911
11,0.01,0.01,0.0002,8,1000,2000.0,0.4944,0.6931471805599454,0.10038059,0.0055999755859375,0.23926845135798286,0.2886751,0.0,0.28867513,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513,7067411.291951447
12,0.01,0.01,0.002,1,1000,20.0,0.7406,0.545543427629657,0.0093928315,0.04297842085361481,0.026606516849599582,0.09263995,0.023322755,0.013156827,0.14081915,0.9834641,0.029510526,0.99934226,0.92353326,0.0023340418,0.0024391524,0.007741559,0.0006572927,7067421.885038421
