,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.1,1,5000,20.0,0.731,0.5672636942235191,0.024160676,0.08352407813072205,0.07905883352866006,0.057074770263643756,0.022079077819518237,0.007730814675550352,0.11475072274548095,0.9999999999083007,1.0455346298691526e-09,1.0,0.9999999880790711,1.274423317855035e-09,1.4530597572629335e-08,1.6567430824709355e-07,7.285499505507758e-41
1,0.01,0.1,0.1,3,5000,200.0,0.73,0.5311399097004004,0.00378838,0.027796238660812378,0.03320505405347722,0.03677562204707749,0.014343976251053174,0.0002889899781037515,0.0882536206990386,0.9999645897081266,0.0004037384449410801,1.0,0.9953966733813285,0.0004995237318673961,0.0056954316393662595,0.06493791323776579,5.180219973544845e-20
2,0.01,0.1,0.1,8,5000,2000.0,0.506,0.6930138153110543,0.10032797,0.00045373040484264493,0.2378684713970644,0.005406440519760829,0.002440188395531916,0.004234266262460197,0.04844005104965587,0.5055075461004789,0.0004383787672985248,0.5080927821993828,0.5046124503016471,0.00567478937698277,0.0037259051940080282,0.03527418596291946,0.004492712520541941
3,0.01,0.1,0.3,1,5000,20.0,0.7308,0.5734348990676743,0.03363598,0.09965365380048752,0.0955850605141146,0.08210198302993854,0.04165600133681378,0.013853533745764254,0.17272789895735313,0.9986916487885082,0.0023904155487090143,1.0,0.9866105539817362,0.01616844748269281,0.0277133956439217,0.10968966793956608,4.39153186264096e-19
4,0.01,0.1,0.3,3,5000,200.0,0.7344,0.533865309997963,0.006215162,0.045144036412239075,0.041504574445705655,0.06571448985320838,0.016030003457726354,0.012120996020085926,0.12464377661963241,0.9953600682283823,0.0034657969999965068,1.0,0.9850587059557437,0.04462128216820235,0.02433332648838677,0.09460742226064425,3.8183555420647475e-19
5,0.01,0.1,0.3,8,5000,2000.0,0.4944,0.693364117624853,0.100450985,0.011086164973676205,0.23974164471139736,0.010420541875796078,0.004392233197473865,0.007730645343446525,0.06685888521185293,0.49456491938462627,0.0006636758826963524,0.4963791589438915,0.49242975398898126,0.009842369600309752,0.002370984451524145,0.036124543996343184,0.008229123549638674
6,0.01,0.1,0.5,1,5000,20.0,0.7194,0.5769186963844549,0.035460915,0.11304455250501633,0.10821558003535102,0.08858972423752107,0.052683209124795564,0.0028643911240861034,0.20030727340146223,0.9982885998255359,0.0030523849351521055,1.0,0.9846118725836277,0.018260444301420115,0.028583406188536505,0.10268061032308476,2.2183518206842952e-13
7,0.01,0.1,0.5,3,5000,200.0,0.7276,0.5372877422380388,0.009498051,0.061211153864860535,0.05808550950994323,0.07568625373906757,0.025941360809798256,0.03984980567096511,0.15901277504486946,0.9588369593734926,0.007936594560946959,0.9809449934959411,0.9400503411889076,0.10869386966514227,0.009895067474038201,0.1298103157182286,0.07614706582297842
8,0.01,0.1,0.5,8,5000,2000.0,0.508,0.6929541114402762,0.10027082,0.004313768353313208,0.2382034728597624,0.009409362178536515,0.008661499086574924,0.0067944823454350895,0.27012197819837985,0.5023806150028339,0.0006625024864385601,0.5046335536241532,0.4994731332361698,0.009059064713804585,0.005450770071292871,0.036384013723912395,0.007122701951379774
9,0.01,0.01,0.1,1,5000,20.0,0.7342,0.5666293108290388,0.023670757,0.07885637134313583,0.07457596008887123,0.060380391278886295,0.02545829009038611,0.008740586497608406,0.11696089084687299,0.999911846082371,0.000578321191350198,1.0,0.9959062870591879,0.0012435640419351233,0.00815822427954711,0.05774892658153746,6.367001723149159e-35
10,0.01,0.01,0.1,3,5000,200.0,0.735,0.5360271775052635,0.0056980383,0.05176287889480591,0.053216073878785394,0.05006957557805071,0.017530356655449258,0.011989528870741357,0.10500942318984643,0.9988154489900917,0.0023571663195261906,1.0,0.99046061437577,0.01549766629381519,0.02943615424505938,0.09491569482890265,7.396595365579658e-20
11,0.01,0.01,0.1,8,5000,2000.0,0.5478,0.6917053081686596,0.09965382,0.009983032941818237,0.2363635956357939,0.06340239719088452,0.019654566541655972,0.0,0.12424542866774366,0.5037818749910586,0.006937334773498093,0.519438756108284,0.4841208859172184,0.09411574303871592,0.016615181229898808,0.1300794938541383,0.03465986376378309
12,0.01,0.01,0.3,1,5000,20.0,0.7218,0.5700605313595158,0.028411368,0.09607313573360443,0.08991839805652926,0.0776578105112251,0.043281645176089595,0.0036623761220844404,0.1626802948291131,0.9997547385778564,0.001100682598837039,1.0,0.9920590741932392,0.0030120726069862947,0.012912142629508185,0.0790108921633142,3.1951721938778344e-26
13,0.01,0.01,0.3,3,5000,200.0,0.7396,0.5342605548573354,0.004749149,0.059758059680461884,0.054147046225216044,0.08116324223144175,0.030900247811608498,0.005451765764754265,0.17890364576957526,0.9615954008141264,0.008429410570391734,0.9796861699223518,0.931568648070097,0.12467474813152371,0.014368801539135214,0.17064086495458847,0.08554900752250551
14,0.01,0.01,0.3,8,5000,2000.0,0.5042,0.6930436073741976,0.10034439,0.0023788809776306152,0.23796072859277556,0.010980602205892632,0.012193670069493321,0.0036611722131945183,0.06744405944562867,0.5031151096880272,0.0015263447759897321,0.5079576180875301,0.4995461727678776,0.014072033904655909,0.015392404030130192,0.050242592963993325,0.0039340037721575394
15,0.01,0.01,0.5,1,5000,20.0,0.721,0.5777597211263887,0.035272755,0.10927560180425644,0.10193988975992034,0.08966848807216461,0.05236586348770829,0.0018091754670559509,0.18238231476882732,0.9975097264931179,0.0029516068330148796,1.0,0.9873821227252484,0.027398355368571565,0.028591714450700547,0.0925155756147649,7.06450444889492e-20
