,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,0.1,1,1000,20.0,0.7258,0.5709919021061003,0.020037824,0.08636201918125153,0.07648065905233453,0.06102008637863769,0.03214130806579195,0.003565650625061245,0.1553117823354418,0.9999871990543145,0.00014582513396273924,1.0,0.9983373266458512,0.00018057829474605962,0.0020571165898303065,0.023454891925334943,0.0,0 days 00:00:18.928464,6810978.257605177
1,0.01,0.1,0.1,3,1000,200.0,0.729,0.547634072060316,0.007238762,0.04291510209441185,0.03696757663663157,0.05854041867087999,0.025086293380344512,0.00015167594898039566,0.15976596384670733,0.9953472731248115,0.006632071143725917,1.0,0.9731554739177227,0.04139220596063794,0.04923238372814835,0.15266825728573835,1.2163103987085238e-35,0 days 00:00:19.773437,6810998.04916596
2,0.01,0.1,0.1,8,1000,2000.0,0.4958,0.6934331852612612,0.10047107,0.008337084203958511,0.2394139264773352,0.004970927896250992,0.00719587275680292,0.0030033949914463525,0.3665094340543031,0.4975186045502241,0.0005004592023732494,0.5000529889762402,0.49497621700167654,0.00504486117901436,0.005454730915376475,0.03569000034306088,0.003468692387864699,0 days 00:00:26.389955,6811024.688268461
3,0.01,0.1,0.3,1,1000,20.0,0.7306,0.5692893420413732,0.025953466,0.08257663995027542,0.07678009046127628,0.0862086513572126,0.046064858489182375,0.005806030803520443,0.17939095372700908,0.9995480620082435,0.001365123740683962,1.0,0.9950028075525188,0.006374687368278046,0.019257230924729186,0.07047895215194513,1.35918767289771e-32,0 days 00:00:21.854860,6811046.561779588
4,0.01,0.1,0.3,3,1000,200.0,0.7392,0.5474147298444831,0.013277176,0.07547114789485931,0.07171583784159813,0.07249292260722849,0.028654224516452366,0.007795508127526217,0.15789741441455626,0.9894530715472423,0.004453479761641015,0.9999999934434891,0.9774807122349739,0.06258372501920657,0.015596856489618808,0.09809230258993101,8.183714105287005e-08,0 days 00:00:22.224694,6811068.80483851
5,0.01,0.1,0.3,8,1000,2000.0,0.4944,0.6935471222646945,0.1005568,0.01501774787902832,0.2399639882694704,0.02172446732111064,0.005969546844436545,0.016511597376817663,0.05401726967876522,0.4904685814415033,0.00180015527939666,0.49464477494359016,0.4836816792190075,0.02179116875027981,0.0065021844298021846,0.053155979434882435,0.017818297880245058,0 days 00:00:26.112219,6811095.164096845
6,0.01,0.1,0.5,1,1000,20.0,0.7128,0.5835452609796475,0.03787878,0.12089889496564865,0.11468613505472967,0.09700604236025481,0.05881958248340539,0.0014068214504294413,0.22336730733240023,0.992176348492503,0.0077820724430544734,1.0,0.9678185080736875,0.05866692187155921,0.045523329126448804,0.1498339410101452,2.0787941153986946e-17,0 days 00:00:20.982561,6811116.165873559
7,0.01,0.1,0.5,3,1000,200.0,0.7346,0.5492601724970254,0.014029096,0.06113198772072792,0.05340451309939454,0.08805700551418973,0.03408177946773663,0.027536585741309672,0.18871037313574068,0.9655365553892903,0.013881360001622253,0.993086999563966,0.9268696519741921,0.15954882384133165,0.03502702618569604,0.2415302743719343,0.07340964601503681,0 days 00:00:23.857918,6811140.044232896
8,0.01,0.1,0.5,8,1000,2000.0,0.4942,0.6935896508979386,0.10055312,0.014809640124440193,0.23914663367380928,0.03493571486413996,0.006567801018792384,0.019817616617923826,0.17798346898373657,0.4911539045189723,0.002320529590410327,0.49775167018175126,0.48463652938604357,0.034314667166184316,0.005976807538536112,0.052782498333182055,0.02309048844541169,0 days 00:00:28.211328,6811168.502955449
9,0.01,0.01,0.1,1,1000,20.0,0.7136,0.5689839979750161,0.02311878,0.08575587719678879,0.08441103120257686,0.07335730772379091,0.0352808979953115,0.018278792445827592,0.1714572312805141,0.9995305694715042,0.0015185924104472595,1.0,0.9889576382935047,0.006112152662831271,0.018423709980858585,0.08948174340861074,8.622001385752054e-27,0 days 00:00:17.440506,6811185.962612339
10,0.01,0.01,0.1,3,1000,200.0,0.7382,0.5436222198659019,0.0058051706,0.03904297947883606,0.03285081678244824,0.06736384811176713,0.0270024364262912,0.004262868615833327,0.17670706481565462,0.9891982677086042,0.0064625673154834196,1.0,0.9669227907247842,0.09381251460497102,0.03660771752347432,0.17380948924618778,1.0582167429563223e-41,0 days 00:00:19.488735,6811205.469918721
11,0.01,0.01,0.1,8,1000,2000.0,0.699,0.610412214714147,0.057313953,0.12343758344650269,0.14715064987351723,0.08156928177162721,0.04043028630384608,0.0011470942855417293,0.26490121430045727,0.9915054110026101,0.005407174461482139,0.9999999666213989,0.9784372660876001,0.0716036514259695,0.03429469032549792,0.13601485713977737,4.3083495421159897e-07,0 days 00:00:28.327728,6811234.04829655
12,0.01,0.01,0.3,1,1000,20.0,0.7254,0.5696619131805415,0.026753759,0.09101402014493942,0.08225737992932627,0.08886095960621394,0.043749194476795025,0.0157626962346299,0.18882786057346534,0.9993044332619292,0.0015183230660074424,1.0,0.9942184740749311,0.009573582990646838,0.02079009754119562,0.07090911915399309,6.714976038255757e-33,0 days 00:00:17.902789,6811251.970365337
13,0.01,0.01,0.3,3,1000,200.0,0.7374,0.5411376100692392,0.007377897,0.05390753224492073,0.045843851008878125,0.0866045952989527,0.0347479877432058,0.0014735873966920568,0.1641437451240791,0.9915762664400614,0.008296441170639888,1.0,0.962703387439251,0.057838439259760906,0.03970715312680024,0.14567230731950281,3.8415657965068297e-19,0 days 00:00:20.772004,6811272.760988972
14,0.01,0.01,0.3,8,1000,2000.0,0.5058,0.6931109717548039,0.100378536,1.8358230590820312e-05,0.23709524275770016,0.01894751569598143,0.009973231791698407,0.012068639572047651,0.06311481783369849,0.5056372082577302,0.001300569878894818,0.5100109794735909,0.501448904722929,0.018601265563346146,0.009401425516297609,0.051663968243770175,0.012610461408044624,0 days 00:00:29.490123,6811302.498119687
15,0.01,0.01,0.5,1,1000,20.0,0.7178,0.5777832244628819,0.03456198,0.11113783717155457,0.10664025243034192,0.10637507728616036,0.06000658794887837,0.00737628653356044,0.21742106742762327,0.9939827431797121,0.006361721051691314,1.0,0.9736140136420727,0.05214376368167307,0.04433712084314334,0.13626412936924923,9.058646958951173e-20,0 days 00:00:17.937457,6811320.454944035
16,0.01,0.01,0.5,3,1000,200.0,0.694,0.6461817316393758,0.07653634,0.14209240674972534,0.18600293722262212,0.09644395387067714,0.056432959314614554,0.02446652204260946,0.25016687794144127,0.7937679897410881,0.05749686156386431,0.8846712754666806,0.6898501385748387,0.2570110741539282,0.01487081225520465,0.273770459253449,0.21612604393082088,0 days 00:00:17.259775,6811337.733516614
17,0.01,0.01,0.5,8,1000,2000.0,0.5066,0.6934199504308073,0.100502856,0.00315532716922462,0.23488012913575007,0.04795917866444025,0.013432865282320142,0.02613184650478598,0.4324041790419886,0.5090759771801532,0.0033676630221520206,0.521112318187952,0.5008213061094284,0.04762452712891037,0.007605912301335104,0.07126983953751467,0.031070287745748992,0 days 00:00:25.827775,6811363.808299754
18,0.01,0.001,0.1,1,1000,20.0,0.7214,0.5692567600427898,0.020732682,0.07959945499897003,0.07523928879906962,0.0657216566876398,0.034938560708472635,0.006444082380943368,0.15654984709645545,0.9997963584010626,0.0009690196601193623,1.0,0.9949988193714261,0.0028725206217185477,0.013669070883030765,0.07053363785698,1.3560674760949842e-43,0 days 00:00:20.834109,6811384.662542182
19,0.01,0.001,0.1,3,1000,200.0,0.7358,0.5446345128867704,0.008550491,0.043360259383916855,0.0400170308304907,0.05112072381972525,0.020759698197433812,5.94599577040885e-07,0.1384396136445398,0.9996608165849287,0.0013013696169660925,1.0,0.9910881706513465,0.004500651753971206,0.01668197380363626,0.08880084000257345,1.042416518726807e-27,0 days 00:00:19.349462,6811404.030898403
20,0.01,0.001,0.1,8,1000,2000.0,0.4964,0.693862237154922,0.10059641,0.00934106670320034,0.23609271642079183,0.06720452190281082,0.014158828341693032,0.030310587597975013,0.19197417733132469,0.49695630611937774,0.004757844212755437,0.5072431002557277,0.4837628911435604,0.06732152786100795,0.014474614073489985,0.1029184646076032,0.03187284253338711,0 days 00:00:27.487729,6811431.768944198
21,0.01,0.001,0.3,1,1000,20.0,0.7016,0.5778622324792988,0.030192243,0.1086382269859314,0.10310999997665712,0.07661614716215288,0.045340605369182656,0.003546978143423263,0.17099621920081637,0.9999045018737132,0.0006022058594351258,1.0,0.9959997934103012,0.0013449609494862033,0.00849500026439577,0.05642985402085997,3.5620495816892824e-28,0 days 00:00:18.772296,6811450.561373332
22,0.01,0.001,0.3,3,1000,200.0,0.7338,0.5573262843424853,0.017223122,0.07833173125982285,0.08433994938494944,0.0879981499403005,0.03528692049252888,0.0022075208596249126,0.1902469462491297,0.8775731953004231,0.013845803215380785,0.9101961328089238,0.8377309539914131,0.19024908820529635,0.007324024010747074,0.20693875182994514,0.16847328852909652,0 days 00:00:19.777248,6811470.357591871
23,0.01,0.001,0.3,8,1000,2000.0,0.4944,0.6934665050201118,0.10052365,0.013675570487976074,0.2401389356683714,0.013762165591491703,0.0042058008347579025,0.010742743076230148,0.05150260460217967,0.491875979791467,0.0011263164650667178,0.4952844287455082,0.48809233769774435,0.013555845917144442,0.0036855399501443324,0.03714905067638067,0.011738509088262529,0 days 00:00:29.015020,6811499.623340118
