,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.1,1,1000,20.0,0.7172,0.5683608655523789,0.022437098,0.08045478165149689,0.08053960182478259,0.06482835610796264,0.03364556754645878,0.007087987565486542,0.16130981737716285,0.9999999964741562,2.9531068232891914e-08,1.0,0.9999996757507325,4.9714877881929556e-08,4.161757894158231e-07,4.569947798459885e-06,4.4943475823084915e-43
1,0.01,0.1,0.1,3,1000,200.0,0.7386,0.541519577586911,0.007470511,0.055248089134693146,0.05431750539878776,0.05911345385383381,0.02928177791249326,1.5600137743076723e-06,0.15540570556417724,0.9951101827925214,0.006110384248571364,1.0,0.9719379505142569,0.04635181294547352,0.04903928379014171,0.1596060836728204,2.786772494009241e-26
2,0.01,0.1,0.1,8,1000,2000.0,0.705,0.6119961232487677,0.056168847,0.09532131999731064,0.10880107162108253,0.12475781993167416,0.04899926441072891,0.014073792901551014,0.22812266777136722,0.9409089255867006,0.013976837524382326,0.9719653941690922,0.9013372853398323,0.17571865795526825,0.019896719121353337,0.23351001508086866,0.12178394799577294
3,0.01,0.1,0.3,1,1000,20.0,0.715,0.574553772485432,0.028822135,0.1053578108549118,0.09712053970208,0.0855144692641225,0.04432124142463828,0.014515608438490474,0.19144592706062927,0.9990814099043177,0.002176612821115589,1.0,0.9888381539285183,0.011325613008454754,0.025151127007352857,0.09454759466522072,5.945497860223551e-32
4,0.01,0.1,0.3,3,1000,200.0,0.736,0.5387781910523681,0.0063299066,0.05518917739391327,0.045129245400126826,0.08022044908074832,0.02651811168605644,0.008754756368782998,0.1554126503921489,0.995313461860785,0.004922257145937227,1.0,0.9782930759713053,0.04780981155737308,0.03931359023482192,0.1356743123213546,3.996321993931943e-16
5,0.01,0.1,0.3,8,1000,2000.0,0.494,0.6932467996710239,0.10042334,0.009313702583312988,0.23992695227970906,0.0012985118564086443,0.006561696114255476,0.0,0.05012436881928299,0.49630864160794474,0.0004366666866958346,0.49874998301267626,0.4962311387062073,0.0010933129724689924,0.006159941660333569,0.03553267160524228,0.0
6,0.01,0.1,0.5,1,1000,20.0,0.7194,0.5782003023310521,0.034395073,0.10709984600543976,0.10010214669813941,0.09726724347270577,0.053576601995994094,0.0,0.19369334510919395,0.9979735216833652,0.003286704230499726,1.0,0.9864331050589681,0.022144311480431188,0.032282997655176934,0.10990784883843803,3.982030233020179e-16
7,0.01,0.1,0.5,3,1000,200.0,0.7314,0.5352484261434663,0.006780446,0.03318765014410019,0.03941000881565342,0.09489635896891284,0.032345944318540584,0.01633286886227844,0.175907114837285,0.9805058528561024,0.011320479212718632,0.9999941116571427,0.9344499917863871,0.11996669689248267,0.04322221565949343,0.24114008130421738,6.414937384570745e-05
8,0.01,0.1,0.5,8,1000,2000.0,0.5042,0.6931660995648022,0.10038035,0.004459977149963379,0.23818525798430273,0.015517417071454497,0.0014750593207059559,0.012214585724808448,0.05035041021531007,0.5012128276836414,0.0010387674919788634,0.504483295083046,0.4984788438677788,0.01531666973674963,0.0008896693711804886,0.01755372796740135,0.013460340285501912
9,0.01,0.01,0.1,1,1000,20.0,0.733,0.5720773494335721,0.023509098,0.0834798738360405,0.07307036809732745,0.07186345690928458,0.026754420958185955,0.0060114276704513565,0.13839912136667096,0.9999038310033055,0.0005604875934620415,1.0,0.9951003547664732,0.0013565732583052312,0.00790663583486074,0.06911800052097833,0.0
10,0.01,0.01,0.1,3,1000,200.0,0.7182,0.5578953004657924,0.017811215,0.0853787213563919,0.07689793045369517,0.09032323586910093,0.03045114147825508,0.011752538937063864,0.21985189602662902,0.9573298009761045,0.027841224091468043,1.0,0.9086879869550466,0.14393388640803664,0.06121372260291618,0.22290169246319785,1.1408477244936616e-24
11,0.01,0.01,0.1,8,1000,2000.0,0.5056,0.6937958219679774,0.100501426,0.007070148829370737,0.23542976588120293,0.026042434680817707,0.006063662809142637,0.020030708365212205,0.12780378985223126,0.5127729289829731,0.001976731019220329,0.5188867180049419,0.5055134008824825,0.02681096476827381,0.007139663126618844,0.055592661325327766,0.02187725559870901
12,0.01,0.01,0.3,1,1000,20.0,0.728,0.5732665390985728,0.029966498,0.09585551917552948,0.0883301697712166,0.0922600987399496,0.04535435955134566,0.01948926987575529,0.19670977035160342,0.994848811475211,0.008722559280504968,1.0,0.9639186087982671,0.04037560027546912,0.05387008664297412,0.17791155852575638,3.604801305429535e-22
13,0.01,0.01,0.3,3,1000,200.0,0.6742,0.6039573849565981,0.04846054,0.15394049882888794,0.15778565912654233,0.10540509059300668,0.032611638892492106,0.05707202014705245,0.2428391835528567,0.8370378397875107,0.017084611457554903,0.8833263126015664,0.7915222939848899,0.24988107352284547,0.009647773874300882,0.27197455368111256,0.22145798349397527
14,0.01,0.01,0.3,8,1000,2000.0,0.4944,0.6939488290396217,0.10076323,0.020784348249435425,0.2415312960158808,0.015358616221052217,0.007536404720168584,0.01065497640991513,0.06184353327202483,0.4847133362396406,0.0012356094957018007,0.4883068133890629,0.48026303470134735,0.014611855449684089,0.006329637422398627,0.05188556647641472,0.01145466471609107
15,0.01,0.01,0.5,1,1000,20.0,0.7052,0.583218862133006,0.035721235,0.12019127607345581,0.11360541832854579,0.09570029933310438,0.05781026904002371,0.0006207117923723041,0.21043583476032543,0.9967003602894166,0.004382931110992644,1.0,0.9786698884051294,0.03375389301097211,0.037190636184675725,0.1366612053695384,2.9978880065885997e-21
16,0.01,0.01,0.5,3,1000,200.0,0.735,0.5469868728794623,0.011964759,0.07225959748029709,0.07490938427110741,0.11660924394424607,0.03793813798229493,0.026913105521637223,0.20388998993774854,0.9535261674250395,0.02064840130657871,0.9921167896687985,0.8984876153524965,0.1424219308290602,0.02946482707736154,0.20335443373173326,0.05494718589753154
17,0.01,0.01,0.5,8,1000,2000.0,0.4944,0.6931131350379742,0.10033391,0.018271759152412415,0.23966438041140864,0.030827493490727782,0.01006712149696304,0.01969511199227238,0.35707723715245077,0.488050961235968,0.0023029307491539983,0.4939180825650692,0.4805950427055359,0.030641627778135914,0.00470877550007254,0.05638869369363018,0.023857244493806974
18,0.01,0.001,0.1,1,1000,20.0,0.7106,0.579128015304504,0.024241766,0.09425295144319534,0.0874956158112509,0.05474734326138471,0.025590179538322218,0.001388664144916326,0.11780161579157036,0.9999999997615814,2.718390045449613e-09,1.0,0.9999999690055847,3.3722561517031112e-09,3.840491254862896e-08,4.3788712123742635e-07,0.0
19,0.01,0.001,0.1,3,1000,200.0,0.7382,0.5478428232948002,0.0076148226,0.056368857622146606,0.0479698815145026,0.05231305538246426,0.022188233300781606,4.2954396337765364e-05,0.16057487441723378,0.9990547963306308,0.0020866792050562607,1.0,0.9909082837402821,0.012444037438932428,0.02636844001999996,0.09046148981747612,1.1647111562449075e-40
20,0.01,0.001,0.1,8,1000,2000.0,0.494,0.693715993620683,0.10065388,0.018883423879742622,0.24012945674171277,0.030396047402246877,0.014716753030653602,0.014855134234753679,0.44080040424658107,0.4872248004403071,0.002638512249828939,0.4963635802268982,0.47987530842423437,0.033627570970028914,0.014390321107988498,0.06481184671193736,0.0153763515648387
21,0.01,0.001,0.3,1,1000,20.0,0.7242,0.5698149071869084,0.028115371,0.09432992339134216,0.08922371412029097,0.08414766066476922,0.04730107952818227,0.007570701422896395,0.19277256813758706,0.9993424482598022,0.001522457910369978,1.0,0.9950063829298597,0.009258998018266266,0.02143855943879064,0.07044363994042431,2.872776783372917e-27
22,0.01,0.001,0.3,3,1000,200.0,0.7344,0.5487355241274211,0.011501647,0.07755115628242493,0.07291457593117084,0.083890557711751,0.03284943442223171,9.239669997785944e-05,0.17416031127595447,0.984221137385703,0.006389575714854929,0.9978238466382027,0.9688738269358873,0.0914152021999393,0.023208656154927558,0.13553886210370655,0.02702530917968404
23,0.01,0.001,0.3,8,1000,2000.0,0.4944,0.6939273608885415,0.10077458,0.022108912467956543,0.24017409544100593,0.04704545058215298,0.009296242406559393,0.033666344579056394,0.089056824637869,0.4835055110977533,0.003405811091458094,0.4921743813157082,0.475550758689642,0.04709972936598657,0.009742668771182192,0.07417665634501813,0.03570356893290693
24,0.01,0.001,0.5,1,1000,20.0,0.7076,0.5843229430085648,0.037523683,0.11285880953073502,0.11363671493341752,0.09284764621954297,0.05306919655206135,0.006251147766530449,0.20381534945750732,0.9956531278049716,0.006726592512371406,1.0,0.9694177561998367,0.03686087746612788,0.041886199591336874,0.1498217879195969,2.6412938408109956e-13
25,0.01,0.001,0.5,3,1000,200.0,0.7264,0.5440338702338191,0.011316075,0.05371394753456116,0.059850384839974145,0.10825813387730414,0.03334269346096585,0.03768259271801972,0.2068787668012301,0.9902402962749062,0.005791708309244726,0.9999907660484314,0.9712700237333775,0.06627328698994174,0.026052161922664695,0.11968790568627123,0.00010130849468468461
26,0.01,0.001,0.5,8,1000,2000.0,0.494,0.6955118036279391,0.10153708,0.03418519347906113,0.24315386670937367,0.04047834976896435,0.005528907886251589,0.031959937062427286,0.2582034321711642,0.4719474628768288,0.0031839326711920633,0.48082866936922075,0.46474053636193274,0.04036010253633107,0.003565141500793156,0.05696232247668889,0.03458459472247249
27,0.001,0.1,0.1,1,1000,20.0,0.727,0.5659680749630978,0.025369862,0.09376202523708344,0.08667375804891417,0.08557361713108864,0.03610343051700163,0.02407849971057059,0.17453830946947801,0.9970671103135091,0.004817013959159593,1.0,0.9800059369213138,0.030816915847061914,0.043706034080441665,0.13995586960200943,2.152193861990654e-21
28,0.001,0.1,0.1,3,1000,200.0,0.7296,0.5490754962624654,0.01201528,0.037368983030319214,0.032438694305113314,0.038152737545327685,0.01991044658811792,0.0009258969698262829,0.10875320706005545,0.999999986235912,1.523664767303944e-07,1.0,0.9999982625246048,1.9346701679691507e-07,2.1490527635171697e-06,2.45063150060824e-05,1.8738774224268953e-29
29,0.001,0.1,0.1,8,1000,2000.0,0.7228,0.5495840953329396,0.013555876,0.04385659843683243,0.05045718809148339,0.0373073358656039,0.02235970710051606,0.0,0.1264523378282147,0.9999999999908301,1.0455346103947057e-10,1.0,0.9999999988079071,1.670727676372729e-10,1.7733710096129163e-09,2.022280979238916e-08,1.2192701057723696e-27
30,0.001,0.1,0.3,1,1000,20.0,0.7224,0.583421043607206,0.037816845,0.10961240530014038,0.1020543670546038,0.1034223577750289,0.03495305856742613,0.03880547241064041,0.1996574001793162,0.9968635461390944,0.003914407417068968,1.0,0.980774668813392,0.03286707727371837,0.036156753330158865,0.12468584308549714,5.699287708805896e-25
31,0.001,0.1,0.3,3,1000,200.0,0.731,0.5422118594512422,0.0072200224,0.04572579637169838,0.04163989557537789,0.06513551230395613,0.027433290202976298,0.0053163402842437806,0.14548844893334925,0.9990410278428656,0.002986368196209752,1.0,0.9809127258215986,0.009235195752983726,0.025940807640668518,0.12150242290058322,2.0234839339280552e-26
32,0.001,0.1,0.3,8,1000,2000.0,0.7342,0.5373167435075972,0.008199548,0.04036809876561165,0.03651406242146695,0.06418795675819397,0.03241713066959938,0.00012323800395001416,0.15604874224672954,0.9999999685700123,1.4792736385974002e-07,1.0,0.9999988588690758,4.1418155780017324e-07,2.010792029625639e-06,1.5576566615674303e-05,4.686860557883188e-18
33,0.001,0.1,0.5,1,1000,20.0,0.7248,0.6041169640572769,0.052797545,0.1346835047006607,0.13514167280902695,0.09957376518977797,0.03841515804848835,0.03903036249785504,0.18638838932638693,0.9781458479402012,0.018258517605621794,0.9999998837709427,0.9296698085963726,0.10287791373070856,0.05026952168674202,0.181582496988739,9.456910240748513e-07
34,0.001,0.1,0.5,3,1000,200.0,0.7412,0.5390582106216494,0.0069425497,0.05312850698828697,0.04794774434601496,0.08615686257429366,0.0308151879041274,0.014159800670740085,0.1749122762530696,0.9997819887052865,0.0009002985086307138,1.0,0.9949991289220361,0.003031502441415496,0.012583919715120916,0.07053224201251138,4.677009035629562e-16
35,0.001,0.1,0.5,8,1000,2000.0,0.7266,0.5469757426841204,0.011483758,0.06234410032629967,0.06135980256523545,0.08155156915673538,0.03194880679194125,0.002178643840216242,0.18171442293538556,0.9999984957277774,5.890342991897322e-06,1.0,0.9999466747045517,1.8911577859904234e-05,7.716018414879749e-05,0.0006717167406282677,3.275461047233585e-20
36,0.001,0.01,0.1,1,1000,20.0,0.7288,0.5674359842353908,0.024404269,0.08104434609413147,0.07554600921680758,0.07484959862081453,0.03736641520782571,0.007073054766150154,0.1750156578490046,0.9997164341944024,0.0010835772909307453,1.0,0.994838372170926,0.0039708134604057,0.015207301651132479,0.07055906958055068,1.2474204368245382e-33
37,0.001,0.01,0.1,3,1000,200.0,0.735,0.5406435306024503,0.008143714,0.04109644889831543,0.03926717520314342,0.0375214698236039,0.016695554615345776,0.0008644631034808574,0.09840375236310471,0.9999772614458432,0.00024113169058828833,1.0,0.9972516749799252,0.0003096691706667223,0.0032940930022693528,0.037543200822297076,2.243576561736485e-28
38,0.001,0.01,0.1,8,1000,2000.0,0.7352,0.5422622238784549,0.007246804,0.036945946514606476,0.030758800046678178,0.038529063222367335,0.01984545047452074,0.0,0.1010108069265291,1.0,0.0,1.0,1.0,4.606504171477027e-12,2.4734375290213284e-11,2.2232633037870498e-10,3.184952512383634e-35
39,0.001,0.01,0.3,1,1000,20.0,0.7174,0.5888354588823885,0.042063016,0.11047745496034622,0.11212237435092756,0.10243082546100526,0.033405192024430534,0.03953129356072877,0.1902384192163427,0.9920906971450725,0.008308507200070075,1.0,0.9606041193342572,0.06410574239437695,0.05238586733408218,0.181720802770763,2.8319301863566076e-14
40,0.001,0.01,0.3,3,1000,200.0,0.7306,0.5406189340089536,0.0067204284,0.0324496291577816,0.035696105964086754,0.06838242618190853,0.030718348114123103,0.00474914865834217,0.1615954254699118,0.9999732705767339,0.0001930208649210129,1.0,0.9980030396580696,0.0003747995571867755,0.0027226304461937644,0.028168559986465832,3.6356937198449907e-20
41,0.001,0.01,0.3,8,1000,2000.0,0.7136,0.5600739098575039,0.019438962,0.06661704927682877,0.08025789605560761,0.05859385414127348,0.03735944149696351,2.210199382035629e-08,0.17223661551911706,0.9999975371016905,7.948881243741253e-06,1.0,0.99992874532938,2.7249409618821084e-05,0.00010707838447195921,0.0009773256414252502,3.5513403616331736e-12
