,lr,p_dropout,layers,n_MC_inference,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,1,50,250,20.0,0.728,0.5684289025903095,0.019110817,0.06903181225061417,0.06715599049737284,0.08167836975775263,0.03876781355999282,0.002219929394168426,0.23520511374430217,1.0,0.0,1.0,1.0,1.0530389445584954e-11,1.1910625344114968e-10,1.3580912571305583e-09,0.0,0 days 00:00:13.692030,1077965.315493423
1,0.01,0.1,1,200,250,20.0,0.712,0.5687360068310732,0.020833114,0.09885570406913757,0.08962276002576183,0.08064791074767837,0.039465411840527695,0.013787039483441997,0.1841949237496478,0.9996404819487968,0.0013690820972530901,1.0,0.990018473738902,0.004721274576004039,0.017276145886483397,0.09931510882622933,6.248699103659288e-35,0 days 00:00:43.856346,1078009.254619832
2,0.01,0.1,1,500,250,20.0,0.7116,0.5751851025784175,0.01980236,0.09390269219875336,0.0833498455267174,0.07802779203508362,0.038749477273188664,0.005876191973032854,0.1738231248114416,0.9998281207354269,0.0005423568653653689,1.0,0.9974236300960183,0.003704583044892115,0.011692925263662252,0.04552579118268855,1.5660587386813643e-42,0 days 00:01:47.314908,1078116.629860039
3,0.01,0.1,3,50,250,200.0,0.7048,0.5844666412512022,0.0210849,0.09422628581523895,0.07509821499397587,0.07423396189462324,0.037223873733538304,0.0008292843391794282,0.21000471800326556,0.9961565412964958,0.009430989641926332,1.0,0.9443165612220764,0.02379855750076664,0.05396106797152354,0.2204221770725158,0.0,0 days 00:00:14.056467,1078130.73966707
4,0.01,0.1,3,200,250,200.0,0.6842,0.5888446206891084,0.036178514,0.1032932698726654,0.10995649970413723,0.05984187143655364,0.032548108305708215,0.005190141668012212,0.18023802141371464,0.9979766270839251,0.0035381763021419856,1.0,0.9804610806703568,0.021912449954347962,0.03298683047574343,0.1220631586290633,3.9444944581981225e-27,0 days 00:00:43.108431,1078173.896868661
5,0.01,0.1,3,500,250,200.0,0.7092,0.5652698227839273,0.01875137,0.06516299396753311,0.0641132877077682,0.07689548080616158,0.028358018506422514,0.016191097858145258,0.13909838812553393,0.9929688212394141,0.004701703198806024,1.0,0.9812421693131328,0.07182098230602262,0.03639157131772926,0.13132744780593306,1.1246363140753033e-23,0 days 00:01:47.371034,1078281.32017709
6,0.01,0.1,8,50,250,2000.0,0.673,0.6071690453668385,0.04961864,0.140829399228096,0.1526338489364607,0.1708768200251825,0.06915023470954042,0.007032966243111975,0.31065938450464126,0.9555287494254899,0.025294105836501456,0.999997398853302,0.8821759945037502,0.18587942344376174,0.07026516928388762,0.3191733113606123,1.2818150863338627e-05,0 days 00:00:21.218973,1078302.994442965
7,0.01,0.1,8,200,250,2000.0,0.4944,0.7656205768558167,0.14441913,0.18609991669654846,0.2745628983292503,0.4609454055566277,0.021002372022825035,0.052891741379503004,0.4980927255290943,0.32267926097919386,0.03211115666033914,0.40152354329824447,0.23650504797697067,0.4658574851909491,0.012298817439057273,0.4891248112839376,0.4236961129460123,0 days 00:00:50.139552,1078353.600857546
8,0.01,0.1,8,500,250,2000.0,0.4944,0.7009185578241839,0.10315899,0.17666110396385193,0.25107472021093197,0.18626565158658046,0.055763232809462195,0.002456939493024565,0.2863700337655385,0.4424631835196103,0.013906895021199869,0.4755950768724996,0.40365155577659606,0.2850636576483107,0.010770934470784655,0.31068840043009266,0.252144927020174,0 days 00:02:11.980194,1078486.033779992
9,0.01,0.3,1,50,250,20.0,0.6886,0.6056638123646271,0.040269073,0.1138823851943016,0.10256123656441998,0.09912723272350862,0.04215653277438395,0.002004448703625261,0.2370111648615294,0.9981874626067723,0.005716400091943636,1.0,0.9653395043313503,0.012123393715912915,0.037172599904304895,0.16982046793925712,0.0,0 days 00:00:12.923797,1078499.0063714
10,0.01,0.3,1,200,250,20.0,0.7138,0.5791479347650477,0.03066582,0.10110209882259369,0.0957232502829058,0.08665571179513458,0.04212149685713139,0.011596600922472208,0.19011740339509078,0.9995264872957135,0.0017169222862950147,1.0,0.9891796559730938,0.005549361629101083,0.0189925236820093,0.09840602120845685,9.916256823734079e-28,0 days 00:00:44.598949,1078543.663566553
11,0.01,0.3,1,500,250,20.0,0.7264,0.5746929212241211,0.03146764,0.09763336926698685,0.09086930727472137,0.0757187718376042,0.04113996607550716,0.012057071250182377,0.16777277930885695,0.9997655972942215,0.0007679739756196784,1.0,0.9952855018675327,0.003948534474804007,0.011771980474274015,0.06502064773462546,5.553439829141858e-21,0 days 00:01:45.784422,1078649.493603998
12,0.01,0.3,3,50,250,200.0,0.6988,0.5583684404473476,0.018219378,0.08396705985069275,0.08902678126201573,0.10138354820070807,0.0436579974814169,0.004026868231443453,0.23631519379570853,0.9861441078738612,0.015736913867249874,1.0,0.9254042089662107,0.07481875791717423,0.06900387677921994,0.23697578399727898,3.1370398822133543e-21,0 days 00:00:15.427473,1078664.980111665
13,0.01,0.3,3,200,250,200.0,0.636,0.6242243063904018,0.059020653,0.12618204951286316,0.1591374134342892,0.09169843740132988,0.06013437977766065,0.009141962383518139,0.24244993612848625,0.9549323803221901,0.033484638006727754,0.9991762101650238,0.8523470437526703,0.16203577157390542,0.0609281524517686,0.2938315033085226,0.005870081450406826,0 days 00:00:44.466852,1078709.500439809
14,0.01,0.3,3,500,250,200.0,0.6814,0.5702319105916865,0.02296264,0.11551541090011597,0.11352894853295366,0.09385465407021283,0.041558989586277774,0.03000112254265221,0.1812659590248135,0.995160251318425,0.0027677895820851835,0.9999775503873825,0.9867644246816635,0.056309656672364025,0.021548910486555415,0.10280451360166996,0.0002671035632472467,0 days 00:01:51.218910,1078820.771387213
15,0.01,0.3,8,50,250,2000.0,0.5018,0.693097514764754,0.10029546,0.003790093120187521,0.23226087789645028,0.035597058793526586,0.018824320738465607,0.018431886526163704,0.3762915288647051,0.5088757046415255,0.006282669168480171,0.5214998501539231,0.491183335185051,0.0348248047980602,0.017122696467195806,0.10284495179365855,0.02092831510609245,0 days 00:00:16.162865,1078837.381309074
16,0.01,0.3,8,200,250,2000.0,0.4896,0.6932932397353414,0.100434445,0.009638845920562744,0.2384905419777853,0.026506626500729432,0.022369992147752003,0.0,0.086605798369824,0.49627153616226644,0.0026562474574353375,0.5031624040007592,0.4856844222545624,0.02704603519158984,0.02195802058092759,0.07084162521709107,0.0,0 days 00:00:55.085827,1078892.946628593
17,0.01,0.3,8,500,250,2000.0,0.4944,0.6934895602757539,0.10053922,0.014229238033294678,0.24011789000143835,0.021733937829877467,0.014579057108448418,0.0,0.06940939526050165,0.4913014530507418,0.0011793191341870062,0.49441094815731046,0.4874566653370857,0.021208964815577883,0.014872641304480906,0.048991241161686176,0.0,0 days 00:02:13.357155,1079026.802949279
