,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,0.1,1,1000,20.0,0.7212,0.5709784560418011,0.023807937,0.08230306953191757,0.08157816186656783,0.060560026808200315,0.02997664013580876,0.00972132933837338,0.13179535814351137,0.9999999859195489,7.598432970315981e-08,1.0,0.9999992382526398,1.89487414213848e-07,1.0502075560804264e-06,1.0747044709327244e-05,0.0,0 days 00:00:17.648949,6831873.729923874
1,0.01,0.1,0.1,3,1000,200.0,0.7324,0.5418958124117398,0.008782503,0.037609223276376724,0.0373908069755511,0.03998597901678957,0.0166736973103264,4.869862377673025e-05,0.11689458871029759,0.9991787273574335,0.0017773937141064417,1.0,0.9912769393250346,0.011306559020191908,0.024002435146928097,0.08679464120141211,2.203203493405163e-28,0 days 00:00:22.744458,6831896.495946073
2,0.01,0.1,0.1,8,1000,2000.0,0.5056,0.6928878317240363,0.100246705,0.001276850700378418,0.23650128271689247,0.022945706433895957,0.017122102858498963,0.0053129138397462645,0.08458889612900604,0.5071569384355098,0.002295673515283093,0.515036141127348,0.5026774951815605,0.026939061413946513,0.01817313724857873,0.06967075552171346,0.006264591475653044,0 days 00:00:28.413755,6831925.141794998
3,0.01,0.1,0.3,1,1000,20.0,0.7276,0.5724900233172272,0.028962282,0.09275000542402267,0.08697313010802099,0.08033897581355193,0.042048356814751484,0.009743119409800475,0.16669458706369836,0.9993454305030831,0.001505605739772995,1.0,0.9930210363864899,0.00888163687049391,0.02001543317437841,0.07053330993445314,2.472235070784429e-31,0 days 00:00:19.292342,6831944.451298119
4,0.01,0.1,0.3,3,1000,200.0,0.7172,0.5536475997830923,0.013710446,0.07555243372917175,0.07461378080768118,0.07981034719557438,0.028197402448761268,0.0196743110313216,0.2136451107531034,0.9633765571129996,0.011842480829367261,0.9842652532458306,0.9264479425086841,0.12174076510849252,0.037819245771120565,0.23827805751745723,0.07788157522339391,0 days 00:00:19.943648,6831964.414872393
5,0.01,0.1,0.3,8,1000,2000.0,0.4944,0.6934828019950108,0.100543015,0.015539318323135376,0.23986029827704258,0.025390860198176202,0.010918578567754475,0.01576814381693791,0.07407603115547999,0.49034837367557566,0.0021763522868956113,0.49531558975577356,0.48484299689531324,0.027847245259346967,0.012285705227477538,0.06454449998376993,0.016237951639552207,0 days 00:00:26.466487,6831991.113266908
6,0.01,0.1,0.5,1,1000,20.0,0.7038,0.5849708596033395,0.039050214,0.12279607355594635,0.11775277481188605,0.09793295692550266,0.05797654102143653,0.007652800057382524,0.2270062473967372,0.9933288819509414,0.008267026699487449,1.0,0.9653541169222444,0.05115168157022103,0.04751648341587537,0.16492654537339071,1.1259076254051398e-16,0 days 00:00:19.818290,6832010.949188356
7,0.01,0.1,0.5,3,1000,200.0,0.7344,0.541678224006335,0.009031635,0.06346374750137329,0.06130002992858718,0.1031870952663015,0.03365604702804498,0.021553847545121164,0.18354510443300515,0.9868573864030942,0.009040266870294657,0.9999869674444198,0.9512453327198451,0.09118247025701016,0.03913040293803991,0.20710886006509333,0.00018349029037815904,0 days 00:00:20.930608,6832031.899999371
8,0.01,0.1,0.5,8,1000,2000.0,0.4944,0.6935505753281173,0.10051478,0.012467630207538605,0.23784577741732427,0.036165778847210686,0.017041048859037154,0.02056878388194888,0.15910810453480356,0.49384818483416293,0.0030236509094877205,0.4999674805998802,0.4857928498834372,0.03331787935952386,0.0140510889971428,0.08017100722945622,0.02097548296244145,0 days 00:00:26.869168,6832059.001352984
9,0.01,0.01,0.1,1,1000,20.0,0.7292,0.5687325293647415,0.021166831,0.0794437974691391,0.07420181542446445,0.06234223177544158,0.030909973741117855,0.009862736677214818,0.14351684895420766,0.9998742001274458,0.0008720299528287678,1.0,0.9918399640917778,0.0015136841079223871,0.010028669758397335,0.0811913052179839,0.0,0 days 00:00:19.035281,6832078.054222449
10,0.01,0.01,0.1,3,1000,200.0,0.7304,0.5481687419412852,0.011471638,0.05214130878448486,0.05430890387755426,0.053130165399752016,0.02034920675780806,0.0044674581163600385,0.142682085211332,0.9978609625320158,0.003450793094869813,1.0,0.9840748692533178,0.02347203338760065,0.03374905037525018,0.11556933971064313,6.18357635915169e-27,0 days 00:00:21.320923,6832099.395566232
11,0.01,0.01,0.1,8,1000,2000.0,0.4944,0.6926568479476064,0.09995113,0.013119651935994625,0.23931175930129972,0.011934080735782325,0.011317953980808934,0.0,0.21013264224205833,0.49315572402754415,0.0013679146984778643,0.49630152627825735,0.4884406937658787,0.013031157839677582,0.012543154681039994,0.05052617486490472,0.006286514644734902,0 days 00:00:30.508426,6832130.136478376
