,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,0.1,1,1000,20.0,0.7186,0.5720504319171065,0.023862801,0.08381123840808868,0.08158346117248366,0.06334257470169716,0.02758217573921139,0.00976839666794674,0.13271593256913408,0.9999970714610356,2.5719020974860905e-05,1.0,0.9997183462977409,4.1312182855087456e-05,0.0003628118671967625,0.003973220196149568,1.0063525294777352e-38,0 days 00:00:17.710720,6817962.858315033
1,0.01,0.1,0.1,3,1000,200.0,0.7336,0.5475816765828122,0.010173795,0.03872678428888321,0.03687872155607402,0.04608457241406813,0.020051503686984003,0.0004391968294700078,0.12193650663905606,0.999466606603219,0.0014025514024041403,1.0,0.9922660014778376,0.007277568161753689,0.018677383222874284,0.07700865342692066,9.857161284729315e-26,0 days 00:00:21.424322,6817984.301061765
2,0.01,0.1,0.1,8,1000,2000.0,0.4944,0.6925274486943764,inf,0.016897862777113914,0.23956116909267705,0.01866403745817664,0.002892313199072567,0.0,0.10802701371638344,0.48965518734776053,0.001245047261551367,0.4935959157347679,0.48686510041356085,0.018648045784358993,0.0020460237443426133,0.03893297601532424,0.015534915505868007,0 days 00:00:28.963234,6818013.514638106
3,0.01,0.1,0.3,1,1000,20.0,0.7204,0.5765611902575336,0.029851636,0.09705504029989243,0.09010249029209445,0.08442260896411646,0.041449517827187414,0.010078419880053782,0.17895141488747754,0.9994457852975107,0.0014067552194230383,1.0,0.9932701190561056,0.007149855008438238,0.017770433297047132,0.06950641338674238,8.962918747013881e-34,0 days 00:00:17.738584,6818031.27199954
4,0.01,0.1,0.3,3,1000,200.0,0.6738,0.5989640370867272,0.044828564,0.14669685065746307,0.14322252217640707,0.08161443541459028,0.050959596625085285,0.0004976590610608194,0.23373142331999874,0.9754264347690802,0.023982702175369717,1.0,0.8961313453316688,0.11518415188295372,0.06156971607130679,0.2574363870826199,1.2727849588837368e-14,0 days 00:00:18.497796,6818049.788106837
5,0.01,0.1,0.3,8,1000,2000.0,0.5004,0.6931426889620369,0.100337185,0.004843175411224365,0.2369636735211832,0.03810551346373167,0.009909151128057299,0.025150138119636345,0.08417261717360816,0.5004921130469571,0.0028799718144796355,0.5071230424940586,0.493396220356226,0.03784138237015861,0.011238729393391754,0.06961493990360397,0.027453089704868833,0 days 00:00:27.269955,6818077.308599481
6,0.01,0.1,0.5,1,1000,20.0,0.6818,0.5954846473010228,0.041965,0.13717550039291382,0.12888624589850733,0.08578294884340627,0.05346324906205226,0.0,0.19399782289184508,0.9960010529016503,0.005150573158414235,1.0,0.9795261554419994,0.03640478991068569,0.03756940472094416,0.11846005964488357,2.26439394364645e-15,0 days 00:00:18.289522,6818095.617460249
7,0.01,0.1,0.5,3,1000,200.0,0.7216,0.5470617785649612,0.012055812,0.05900287628173828,0.06527628868518007,0.08506119733592092,0.03243176600048094,0.025299052651659416,0.18242221972224704,0.9748921863470059,0.012691058676205002,0.9963962151110173,0.9283612753696897,0.12147515436572018,0.03221228759116455,0.20096648446876422,0.0384389570944087,0 days 00:00:23.862396,6818119.498307353
8,0.01,0.1,0.5,8,1000,2000.0,0.4942,0.6943646086997831,0.10092992,0.026495162397623062,0.24107917918076344,0.0425513185495453,0.00634784314931073,0.028105968741136533,0.2511328863098637,0.48021116322823443,0.0027448011960392957,0.4858084854483604,0.46964703775942324,0.041963986177508954,0.004907734789119172,0.06336958921493822,0.03423159043462351,0 days 00:00:26.426996,6818146.174485278
9,0.01,0.01,0.1,1,1000,20.0,0.729,0.5646147850747067,0.020153908,0.07667400687932968,0.0741139724951012,0.06738750213170265,0.032957172736555684,0.008022063806347516,0.16608411437504797,0.999828279345968,0.0008665244098434521,1.0,0.9950061073229881,0.002422415996856392,0.012223824205081777,0.07044752456087093,4.4966485868400847e-41,0 days 00:00:18.923363,6818165.117498854
