,lr,p_dropout,layers,n_MC_inference,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,1,50,250,20.0,0.6888,0.6050852038229415,0.03250761,0.09190262854099274,0.08994984716137479,0.08085163128821052,0.043388350089307456,0.0005158578326863926,0.2214942779346034,0.9996555150298964,0.002494032665527092,1.0,0.9799964070011629,0.002410780357173034,0.017453349401344236,0.1399999165534972,0.0,0 days 00:00:13.436147,1428696.882471526
1,0.01,0.1,1,200,250,20.0,0.7286,0.5765165186498572,0.022837665,0.08282501250505447,0.07232680531253646,0.07287093022693,0.02968572593474668,0.009063720154420718,0.15141163902103866,0.9996961154570254,0.0013439788664106375,1.0,0.9900004955658005,0.003967002156642308,0.01687003337628881,0.09949380946204978,4.614554300015438e-40,0 days 00:00:44.932701,1428741.877933358
2,0.01,0.1,1,500,250,20.0,0.7076,0.5747146539441301,0.024639683,0.07083173096179962,0.07696086622139048,0.08006405125524325,0.04171196148997589,0.006329121748431506,0.1892673195857124,0.999274402252579,0.001508967974574167,1.0,0.9920000014171484,0.011861629424491456,0.022159469125742903,0.08908421387234058,1.0014680061298124e-37,0 days 00:01:56.612586,1428858.548156586
3,0.01,0.1,3,50,250,200.0,0.725,0.5842195947939006,0.021594275,0.09152375906705856,0.06675476979126761,0.09583024996183657,0.05851653439975123,0.0007399444161662995,0.33637397575158623,0.9531752393761506,0.04388091513305372,1.0,0.8293561567366123,0.15458461427790263,0.10560880196089378,0.34150777121113535,6.938263806259623e-34,0 days 00:00:14.404525,1428872.989846949
4,0.01,0.1,3,200,250,200.0,0.7202,0.5617535518441813,0.020237977,0.07763922959566116,0.07275978473832438,0.08977626790444206,0.04946239644368327,0.014552044475870923,0.29041253401071326,0.9663634555873701,0.03470243415370319,1.0,0.89220035482198,0.1358086909628374,0.09144185250367902,0.28527124832116524,2.219228442881415e-25,0 days 00:00:45.688187,1428918.72044286
5,0.01,0.1,3,500,250,200.0,0.6828,0.6093193715023207,0.041094635,0.13274186849594116,0.11661974513938259,0.0806419399502562,0.05050734887234119,0.016119178689707313,0.247183981015453,0.9514030906652028,0.033622106635243974,0.9999995049238205,0.9017587971687316,0.1665503881060307,0.07476028721277275,0.25426983953521076,9.02322259869709e-06,0 days 00:01:53.964006,1429032.735758909
6,0.01,0.1,8,50,250,2000.0,0.5064,1.141100885145798,0.19249155,0.3682754933834076,0.3695254943322165,0.32013262785526303,0.05726160089002111,0.0,0.45825756949558394,0.8786881725982979,0.048362969240180055,1.0,0.7,0.31601542037280844,0.061971044192537204,0.45825756949558394,0.0,0 days 00:00:17.463192,1429050.686552181
7,0.01,0.1,8,200,250,2000.0,0.661,0.6760332347932042,0.09110956,0.08561329543590546,0.21722954003920386,0.16651015876941988,0.024903348184058448,0.039527082439712986,0.32157436882334184,0.5957218943505578,0.022370411460645803,0.6541274109948426,0.5413404354961422,0.20816922688157785,0.02557499281519907,0.26480093754739303,0.14511429238145698,0 days 00:00:53.558930,1429104.77468213
8,0.01,0.1,8,500,250,2000.0,0.5056,0.6931352972204341,0.10036546,0.0010985136032104492,0.2377575412403567,0.01797675510706494,0.0038036042076454862,0.014410797346649212,0.042466501300525476,0.5045091094993628,0.0008152895053073449,0.506468090236187,0.5013709037303925,0.017677893304580704,0.0033253178512797034,0.028473083146819848,0.01513621698952255,0 days 00:02:19.691173,1429244.963906237
9,0.01,0.3,1,50,250,20.0,0.7212,0.5754378369408645,0.028954959,0.08946872502565384,0.08327187297155687,0.09810977503667943,0.048027773657352155,0.01894900903635364,0.24669574268371194,0.9974147100113459,0.007478264185678608,1.0,0.9599945248576252,0.016796758976325175,0.04653513467808162,0.1959591677424265,2.0366608982444687e-45,0 days 00:00:15.817999,1429260.854991143
10,0.01,0.3,1,200,250,20.0,0.723,0.5854943545946016,0.031372685,0.09030121564865112,0.0780510925661547,0.09909717963804009,0.04147604319509909,0.004167504313834637,0.19794185910853312,0.9993214531353338,0.0018400115227580785,1.0,0.9884390663728118,0.008157453683454576,0.02030961570474536,0.09561672158588681,5.544853163916075e-44,0 days 00:00:46.024982,1429306.923299425
11,0.01,0.3,1,500,250,20.0,0.701,0.5826010211034894,0.034231357,0.10624746978282928,0.10199321832766364,0.09173105190794724,0.04232104445153574,0.026156470433997873,0.18401382697130356,0.9995125220382721,0.0009520034878406614,1.0,0.9953697154521942,0.008781345183787943,0.016087866123947334,0.06149106403666307,2.2156963925498357e-18,0 days 00:01:54.304640,1429421.26198645
12,0.01,0.3,3,50,250,200.0,0.7228,0.5776768739903874,0.026789578,0.0629018247127533,0.04223879682715825,0.10933821819248228,0.056528261066794885,1.7000770266320626e-05,0.31136510750295626,0.9975480818427527,0.00618437462563971,1.0,0.9715431535243988,0.01577768305046353,0.03805705470556207,0.13936669089824474,4.136313314558813e-40,0 days 00:00:21.009532,1429442.308036475
13,0.01,0.3,3,200,250,200.0,0.7058,0.603403389554755,0.050882667,0.08073396980762482,0.1114619756828768,0.1026152697465282,0.05560520490725343,0.00912300707926498,0.21955521996320793,0.962247614643841,0.024690424277160523,0.9998301416635513,0.9130071753263473,0.14127959695542835,0.0550626917544342,0.2248658524590298,0.0017552278707942443,0 days 00:00:46.597408,1429488.954478701
14,0.01,0.3,3,500,250,200.0,0.7138,0.5894654457333675,0.0437502,0.11494104564189911,0.11534141423215696,0.10864600416603837,0.05237790230774235,0.017922200467682295,0.2598213306500727,0.9664807404722159,0.02251809678672537,0.9984589757323266,0.9186976043879986,0.14254031163227077,0.051898002565867775,0.23135895617394056,0.03369114630738577,0 days 00:01:54.452401,1429603.442737721
15,0.01,0.3,8,50,250,2000.0,0.5074,0.6929303146122565,0.10031824,0.013991779647767544,0.2325985349993927,0.025903951126585525,0.010409218900389677,0.01260156901150583,0.233424742149685,0.5199721716321432,0.00393635233239039,0.5312505894899369,0.5057985734939575,0.025111107098211804,0.006264540429763081,0.07666370417260804,0.01737809151009483,0 days 00:00:18.498876,1429622.444961443
16,0.01,0.3,8,200,250,2000.0,0.4944,0.70223063709801,0.10506216,0.06875821948051453,0.2521054607461912,0.05379810645898377,0.02087587453661524,0.0,0.11943715500319643,0.4381842699477887,0.004941735696440885,0.4544906374812126,0.4268629884719877,0.06523121597864179,0.020970223308281796,0.12096576038423683,0.0,0 days 00:00:56.542616,1429679.517845289
