,lr,p_dropout,layers,n_MC_inference,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
0,0.01,0.1,1,50,1000,20.0,0.7126,0.5805990309317373,0.024047712,0.09748400747776031,0.0856734987031443,0.057818627677647644,0.030264663808597183,0.0006224995988793782,0.17135587474888003,0.9999999999816601,2.0910692207890872e-10,1.0,0.9999999976158143,1.2191354676948328e-10,1.3197436633274283e-09,1.5038356337979146e-08,0.0,0 days 00:00:36.386996,1030679.937846985
1,0.01,0.1,1,200,1000,20.0,0.7138,0.5748069082768651,0.021114267,0.09412170946598053,0.08423378224482367,0.058413780612579604,0.030986952171535603,0.00460028872850716,0.13422643148500507,0.9999998650665466,1.5306381576855648e-06,1.0,0.9999825474619866,1.9024023100098384e-06,2.1592255354737476e-05,0.00024619706498357476,0.0,0 days 00:01:05.789018,1030745.772993229
2,0.01,0.1,1,500,1000,20.0,0.7178,0.5737777018838486,0.023013003,0.09329868853092194,0.08165283184161018,0.06340757175580083,0.030085539381140433,0.009894365996211336,0.13512070949034988,0.9999742641858326,0.00020155540098295278,1.0,0.99800765039213,0.0005731424268957226,0.004502367066839077,0.04450571936632172,2.623239230278915e-39,0 days 00:02:09.322929,1030875.144884276
3,0.01,0.1,3,50,1000,200.0,0.7184,0.5475140234618033,0.011152712,0.076459601521492,0.07153071627542741,0.0649029568259873,0.023529284593345863,0.0011245952107908981,0.1838817810476735,0.9924325626354952,0.010915877870192868,1.0,0.9508683553338051,0.04699387584110477,0.06232604543408787,0.1944946600140673,7.253065767726799e-35,0 days 00:00:30.099677,1030905.294367058
4,0.01,0.1,3,200,1000,200.0,0.7374,0.5401312472030457,0.0072812494,0.05333436653017998,0.04147324989715199,0.06723800614678548,0.03189698125206474,0.0008635744980428604,0.17712655017413523,0.957722115490872,0.00959545743683928,0.9763091073930263,0.9292892251908779,0.1327088898077384,0.015982721676877993,0.17105275425633917,0.09777430370402375,0 days 00:01:23.327904,1030988.668830183
5,0.01,0.1,3,500,1000,200.0,0.73,0.5476300700617306,0.013413891,0.06717665493488312,0.06091280987668689,0.07598732574697684,0.03611866132117711,0.00012106756148136979,0.2106651312471374,0.9615810102263322,0.005264411621557369,0.9744101136028767,0.948192371070385,0.12235195083325982,0.008744660400040651,0.14138057600008463,0.09921403526410072,0 days 00:02:30.822068,1031139.560290151
6,0.01,0.1,8,50,1000,2000.0,0.4944,0.6985677611346738,0.10307864,0.05584511533379555,0.2488966416191084,0.01844615211791007,0.02305248501378101,0.0,0.13093604488691482,0.46198202675967714,0.015184298517076238,0.5086634385585785,0.43042561164859533,0.08783013340241257,0.04483642357325746,0.17735362382527098,0.0,0 days 00:00:40.683174,1031180.797271385
7,0.01,0.1,8,200,1000,2000.0,0.4958,0.6959100922932182,0.10080835,0.011140028014779091,0.239081868327759,0.016489328883576276,0.0085696957517492,0.010693966002243345,0.13720260574453522,0.49576183999272494,0.0014439551867860341,0.5011783377826213,0.4909996059536934,0.01724417115069096,0.009442174794947819,0.05179715948476727,0.011440703311849253,0 days 00:01:35.648164,1031277.001133507
8,0.01,0.1,8,500,1000,2000.0,0.4966,0.6929226985917003,0.100213274,0.010018736124038696,0.23859737988819907,0.042136370972962696,0.011439454588499376,0.010747361117298756,0.08232452267399556,0.4963459363726216,0.0019496020378215481,0.5014531015157699,0.4919299916680903,0.04594974554003782,0.01235488547469464,0.07500201896004463,0.010836663015925075,0 days 00:02:39.230988,1031436.770951258
9,0.01,0.3,1,50,1000,20.0,0.7112,0.5743435268641941,0.02712633,0.10119280219078064,0.095047783781193,0.07894464902442891,0.04414650580155845,0.006328139503612986,0.19986432211835808,0.9994959831201614,0.002887431319377474,1.0,0.9800408197706565,0.0035280685209567804,0.020211683408197876,0.13970783418226304,0.0,0 days 00:00:39.759168,1031476.571390801
