,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
0,0.01,0.1,1,0.5,1000,20.0,0.4898,0.6954817256633608,0.00061591837,0.02148248627781868,0.01946660192608833,0.1719089,0.008054554,0.15693401,0.21468753,0.7548137,0.1382291,0.929453,0.58532447,0.35425004,0.08047847,0.46590236,0.23075922,0 days 00:06:09.906506,7698194.472119326
1,0.01,0.1,1,0.1,1000,20.0,0.4862,0.6964954129456721,0.0009226347,0.02847662940621376,0.024407795119285584,0.0543348,0.007573914,0.038733296,0.096512,0.8201248,0.1405762,0.99711543,0.59935486,0.26086438,0.14470252,0.42897832,0.0098486645,0 days 00:06:56.904020,7698611.543364456
2,0.01,0.1,1,0.2,1000,20.0,0.4846,0.6960291370441273,0.0007950132,0.026461157947778702,0.02202118818163872,0.08799841,0.004992068,0.077954814,0.11560674,0.86808205,0.06995584,0.9999878,0.7994714,0.2495521,0.12777255,0.34486675,3.7677244e-05,0 days 00:06:45.964255,7699017.676333093
3,0.01,0.1,3,0.5,1000,200.0,0.4894,0.6945911243845003,0.00033194735,0.01321522518992424,0.013970588093996046,0.17025591,0.010051193,0.15103996,0.22040659,0.561097,0.04060718,0.6250346,0.5073222,0.36720905,0.027312491,0.4077111,0.3173876,0 days 00:06:58.115191,7699435.959932937
4,0.01,0.1,3,0.1,1000,200.0,0.4966,0.6969772393724648,0.0012531251,0.026001228019595146,0.027242847168445588,0.05454784,0.014000946,0.03906328,0.13791743,0.72877574,0.057297207,0.811598,0.64817536,0.29969382,0.020415492,0.34277844,0.27547318,0 days 00:06:41.235531,7699837.360523719
5,0.01,0.1,3,0.2,1000,200.0,0.4938,0.695889566973173,0.0008699343,0.022292934358119965,0.023998294240236282,0.08713726,0.016572991,0.06787007,0.19078177,0.6934355,0.09121885,0.7726488,0.5187568,0.27984506,0.014174163,0.30447137,0.250247,0 days 00:07:17.107315,7700274.634199192
6,0.01,0.1,8,0.5,1000,2000.0,0.4974,0.6933165369409191,3.9362105e-05,0.010934591293334961,0.005685322690010071,0.25116026,0.0042330977,0.24237306,0.27371848,0.58035964,0.013264426,0.6066467,0.5553751,0.3978794,0.0043773456,0.40710315,0.38753536,0 days 00:12:37.349753,7701032.149656179
7,0.01,0.1,8,0.1,1000,2000.0,0.4944,0.6950968090600403,0.00066656154,0.030797481536865234,0.025197278326749804,0.12060996,0.00171353,0.11841283,0.1672987,0.5736363,0.011436967,0.58635676,0.55309093,0.24511026,0.010270572,0.25651398,0.21928652,0 days 00:12:37.396507,7701789.711149141
8,0.01,0.1,8,0.2,1000,2000.0,0.4944,0.6988326257015005,0.002371293,0.053363632410764694,0.046883036971092217,0.16255985,0.013599949,0.12802696,0.20550984,0.56892836,0.009912453,0.58315766,0.5536795,0.33317155,0.010771266,0.354138,0.31987855,0 days 00:13:22.021027,7702591.893373374
9,0.01,0.01,1,0.5,1000,20.0,0.4878,0.6960480838481496,0.0007521637,0.027767028659582138,0.021859658116102222,0.17335403,0.005744573,0.15827428,0.21342589,0.74502563,0.16939183,0.9621822,0.5152047,0.35067165,0.1104306,0.49093112,0.16786589,0 days 00:07:48.974087,7703061.027321227
