,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
0,0.01,0.1,1,0.5,5000,20.0,0.5008,0.6932970313100497,0.00012068639,0.0024356190115213394,0.008770295000076294,0.16775693,0.0041244254,0.15916601,0.18802454,0.3963896,0.23002887,0.76474154,0.08652975,0.3356701,0.061837025,0.4367457,0.22877567,0 days 00:37:13.279882,7742119.286582616
1,0.01,0.1,1,0.1,5000,20.0,0.4992,0.6935895030835983,0.0002228763,0.0038136146031320095,0.0122055588722229,0.04999074,0.0040441155,0.043476712,0.07732946,0.45228472,0.25772104,0.80496806,0.05328524,0.29350418,0.051333144,0.39321598,0.21954542,0 days 00:38:20.612699,7744420.069665304
2,0.01,0.1,1,0.2,5000,20.0,0.4984,0.6932536862860986,0.00013500244,0.001719133579172194,0.008798007476329806,0.08674003,0.0027208521,0.078964226,0.10194206,0.40329668,0.2389345,0.696038,0.01753246,0.24963243,0.108146004,0.37624222,0.030506916,0 days 00:34:12.357975,7746472.590769705
3,0.01,0.1,3,0.5,5000,200.0,0.5154,0.6930619109747764,4.1033163e-05,0.0019638538360595703,0.00516723182797432,0.17153157,0.002288021,0.16186756,0.1817251,0.36631587,0.08695106,0.46412864,0.20923439,0.2970964,0.02281939,0.33661252,0.25804514,0 days 00:39:23.967597,7748836.72019917
4,0.01,0.1,3,0.1,5000,200.0,0.5106,0.6930124134013168,7.297491e-05,0.00016289138875436038,0.00723868968486786,0.047548607,0.00382675,0.042080227,0.08371285,0.45496482,0.099233575,0.5469773,0.27538082,0.23416117,0.034224894,0.28550184,0.16684349,0 days 00:37:53.408356,7751110.292293408
5,0.01,0.1,3,0.2,5000,200.0,0.4936,0.693147113241939,8.0195794e-05,0.0029396824538707733,0.006989216142892838,0.08579386,0.0041082087,0.076992415,0.110465474,0.39143372,0.08811329,0.45752516,0.21794744,0.29953083,0.019029811,0.3340207,0.26312405,0 days 00:34:55.478032,7753205.939436574
6,0.01,0.1,8,0.5,5000,2000.0,0.5056,0.6931152819806281,6.726297e-05,0.002192974090576172,0.007792606604099273,0.214383,0.012410578,0.17767842,0.2572976,0.537964,0.0015590609,0.5414686,0.53572834,0.40512943,0.0021935082,0.4085042,0.39983803,0 days 00:53:59.454111,7756445.554024404
7,0.01,0.1,8,0.1,5000,2000.0,0.5056,0.6944857885288,0.00097438414,0.026245618239045143,0.03184563955068588,0.118901975,0.0012603904,0.11805407,0.16734374,0.55515486,0.01504972,0.575935,0.52958626,0.21167113,0.020007161,0.24987932,0.1744573,0 days 00:57:13.454273,7759879.173874595
8,0.01,0.1,8,0.2,5000,2000.0,0.4902,0.6932925508629645,2.2324388e-05,0.009545385837554932,0.0039732381939887994,0.1799891,0.0013813438,0.17545165,0.18814054,0.38603014,0.023787409,0.42030844,0.35534972,0.3282411,0.007930209,0.3468952,0.31081975,0 days 00:50:48.598941,7762927.938435814
9,0.01,0.01,1,0.5,5000,20.0,0.5026,0.693177470791646,0.00010902126,0.0035302485339343548,0.007726496243476868,0.17020117,0.0047397665,0.15934043,0.19822817,0.39232087,0.2724563,0.7320794,0.005085041,0.3179279,0.15296285,0.46093115,0.016346727,0 days 00:41:11.182542,7765399.287098336
10,0.01,0.01,1,0.1,5000,20.0,0.4946,0.6933691796663672,0.00018382516,0.0013601394603028893,0.010571287763118744,0.05067071,0.004394287,0.041101582,0.082782716,0.34815735,0.22044998,0.62500864,0.02897724,0.2905741,0.0981833,0.40655872,0.110554986,0 days 00:32:11.275490,7767330.723978752
11,0.01,0.01,1,0.2,5000,20.0,0.5102,0.6931628556624438,0.0001435349,0.00015409383922815323,0.009421976721286774,0.09031203,0.0049089734,0.080534324,0.12016168,0.42733946,0.20561276,0.7037287,0.11825538,0.3397464,0.059312962,0.4303957,0.23229733,0 days 00:22:01.042398,7768651.909923919
12,0.01,0.01,3,0.5,5000,200.0,0.5148,0.6930839903455613,2.1803638e-05,0.002747952938079834,0.0036224568426609038,0.16916572,0.0019993286,0.16433127,0.17696013,0.40879938,0.043182686,0.48559102,0.3622301,0.25759247,0.014030022,0.282567,0.22939175,0 days 00:21:14.923459,7769926.937324822
13,0.01,0.01,3,0.1,5000,200.0,0.5096,0.6929491014415913,4.4056986e-05,0.0016935905441641808,0.005608997285366059,0.046496533,0.0022135768,0.042396355,0.06455682,0.4023951,0.08469618,0.48984796,0.2511806,0.2116556,0.02515651,0.25272685,0.17190488,0 days 00:21:51.646806,7771238.690889067
14,0.01,0.01,3,0.2,5000,200.0,0.5122,0.6930449714563534,3.4464432e-05,0.0017066597938537598,0.00477372899055481,0.085698545,0.0030877246,0.07835545,0.11337933,0.5191281,0.07478839,0.5933766,0.38491017,0.2482747,0.038189735,0.29391757,0.17949443,0 days 00:19:27.456160,7772406.252120478
15,0.01,0.01,8,0.5,5000,2000.0,0.4944,0.7046161670173675,0.0053528543,0.07508033514022827,0.0694798920214176,0.21694624,0.00787045,0.20316274,0.26223522,0.40597928,0.026115473,0.45629573,0.382041,0.39049137,0.007990825,0.40256897,0.37484464,0 days 00:36:47.253975,7774613.611672955
16,0.01,0.01,8,0.1,5000,2000.0,0.4956,0.693612222905482,0.0001452691,0.007762044668197632,0.010346464705467222,0.17747018,0.015734734,0.1253724,0.20463581,0.4929342,0.035294186,0.5385504,0.4462653,0.26289803,0.019289136,0.28913268,0.23379853,0 days 00:30:17.325069,7776431.040500455
17,0.01,0.01,8,0.2,5000,2000.0,0.4944,0.694967085585864,0.00062089285,0.029331065714359283,0.023732612282037734,0.2090167,0.007020933,0.17845388,0.23065594,0.42613667,0.03742244,0.49388257,0.37632734,0.3558995,0.015903391,0.3770591,0.3283742,0 days 00:35:37.789167,7778568.934239869
18,0.01,0.001,1,0.5,5000,20.0,0.4926,0.6935492541761591,0.00017897098,0.011836780235171318,0.010824621361494063,0.17449807,0.0061807605,0.15833777,0.20318826,0.34280518,0.21141039,0.6731552,0.154766,0.3738419,0.0633836,0.4750016,0.30676332,0 days 00:22:37.791170,7779926.832065932
19,0.01,0.001,1,0.1,5000,20.0,0.4928,0.6935199777022658,0.00016279041,0.001472928561270237,0.009741882395744323,0.050153986,0.004764666,0.04284369,0.0814891,0.3782732,0.24145737,0.6770606,0.051688634,0.2909338,0.09697585,0.40619388,0.12932847,0 days 00:24:55.947105,7781422.883501654
