,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
0,0.01,0.1,1,0.5,250,20.0,0.5032,0.7002450893522395,0.00440469,0.04274958372116089,0.05161005481481552,0.16684881,0.015674995,0.13621399,0.24076945,0.7809643,0.17638959,0.9985603,0.5587405,0.3080387,0.16913901,0.48666307,0.004113025,0 days 00:02:04.211533,7684699.575564925
1,0.01,0.1,1,0.1,250,20.0,0.5036,0.7056723425350415,0.007673255,0.0642889142036438,0.06796295656859874,0.05528565,0.008654101,0.04060313,0.10740889,0.8128981,0.21866442,0.9999983,0.53847754,0.21044712,0.21222411,0.47822437,7.1357645e-06,0 days 00:01:56.684157,7684816.447818314
2,0.01,0.1,1,0.2,250,20.0,0.5034,0.704082373394275,0.006822988,0.05839119106531143,0.06444888685941697,0.08176112,0.009540075,0.059115876,0.13832246,0.8463154,0.19271795,1.0,0.5508601,0.17622083,0.21672623,0.46066922,2.6656007e-08,0 days 00:02:03.808267,7684940.429641036
3,0.01,0.1,3,0.5,250,200.0,0.5016,0.7033568972362071,0.006213513,0.045593902468681335,0.05616985257565975,0.17696229,0.034678172,0.10319055,0.2944218,0.57698977,0.13326597,0.7074948,0.35076302,0.42685264,0.045916088,0.47401473,0.35853112,0 days 00:02:16.490486,7685077.109708943
4,0.01,0.1,3,0.1,250,200.0,0.505,0.7162933935279698,0.01328365,0.0834079459309578,0.08964966820180416,0.07742274,0.030328397,0.021131529,0.24139231,0.6418393,0.37989166,1.0,0.09648016,0.19931984,0.1395304,0.40688065,0.0,0 days 00:02:00.539391,7685197.831254052
5,0.01,0.1,3,0.2,250,200.0,0.5058,0.714191366925444,0.012327486,0.07429268211126328,0.08046647066175938,0.097314104,0.03067714,0.028708471,0.21735844,0.621412,0.33888042,0.9999436,0.14307867,0.2582002,0.13638362,0.3774683,0.000252095,0 days 00:02:14.270217,7685332.290626381
6,0.01,0.1,8,0.5,250,2000.0,0.5056,0.6945263557926135,0.0007227664,0.01639365404844284,0.021994190311431884,0.38006216,0.003501867,0.35881713,0.3992375,0.62137675,0.02594588,0.6683036,0.58767605,0.42939734,0.0064715445,0.4349929,0.4171743,0 days 00:05:04.673490,7685637.159032032
7,0.01,0.1,8,0.1,250,2000.0,0.5056,0.6969851100815955,0.0023960297,0.04442146047949791,0.050020932710170746,0.27229586,0.00845524,0.25126863,0.31295478,0.55932575,0.050368175,0.6266845,0.48256588,0.35012478,0.020489035,0.3778931,0.31399837,0 days 00:05:04.028243,7685941.344860017
8,0.01,0.1,8,0.2,250,2000.0,0.489,0.6937608585891089,0.0003075461,0.003397023305296898,0.014801835608482363,0.2622657,0.009364117,0.2409549,0.2895413,0.55202156,0.04904639,0.6296879,0.4880576,0.36999977,0.016278394,0.39885727,0.34868816,0 days 00:05:20.613743,7686262.130026727
9,0.01,0.01,1,0.5,250,20.0,0.5046,0.7008813791152523,0.0047885845,0.0472097285091877,0.05367473708391189,0.16816413,0.009827565,0.14644863,0.21875642,0.8473588,0.13317496,0.9999921,0.650891,0.27373517,0.16786352,0.4683173,3.4628883e-05,0 days 00:02:29.727755,7686412.049190872
10,0.01,0.01,1,0.1,250,20.0,0.5052,0.7071376243073709,0.008368958,0.06576886028051376,0.0708533339112997,0.056305554,0.011172487,0.035380244,0.13037093,0.8515104,0.18339615,0.9999998,0.59546715,0.18229611,0.22388719,0.47258273,9.321783e-07,0 days 00:02:27.944311,7686560.158195967
11,0.01,0.01,1,0.2,250,20.0,0.5058,0.7053852913061817,0.0074712923,0.06030060350894928,0.06546008193194866,0.09362487,0.014196509,0.06351486,0.16883057,0.799755,0.24602434,0.99999875,0.4855662,0.18208155,0.22285609,0.46630707,3.7852667e-06,0 days 00:02:25.405397,7686705.728233059
12,0.01,0.01,3,0.5,250,200.0,0.5042,0.7023818278034513,0.0057443124,0.05511227995157242,0.06037935945987701,0.1736721,0.032616727,0.09883685,0.2908321,0.61489093,0.1513139,0.809755,0.4091626,0.42099485,0.06391677,0.4802809,0.32096216,0 days 00:02:25.526843,7686851.418746163
