,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time
0,0.01,0.1,1,0.5,1000,20.0,0.7288,0.5798425282100069,0.035891254,0.11512108147144318,0.10963660727848837,0.1703316,0.020753367,0.019820822,0.20814432,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:19.143170
1,0.01,0.1,1,0.1,1000,20.0,0.7258,0.5674597083980639,0.020084394,0.0809749886393547,0.0777808183293564,0.0573795,0.016947864,0.000917726,0.09403137,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:24.127383
2,0.01,0.1,1,0.2,1000,20.0,0.7234,0.5682502478938303,0.02419981,0.09154089540243149,0.08597033621778319,0.098014854,0.021336611,0.003746804,0.13383082,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:24.557755
3,0.01,0.1,3,0.5,1000,200.0,0.7368,0.5612734252295976,0.025902508,0.0929928794503212,0.09265646664013694,0.17126825,0.023311302,0.117263004,0.23211929,0.99999833,4.662466e-06,1.0,0.9999735,6.285359e-06,1.735615e-05,9.734721e-05,0.0,0 days 00:01:44.061051
4,0.01,0.1,3,0.1,1000,200.0,0.7406,0.5419981835742117,0.008487285,0.05085894465446472,0.049341308872006634,0.06587429,0.017293341,0.012814045,0.12268126,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:50.181948
5,0.01,0.1,3,0.2,1000,200.0,0.7378,0.5449014619292585,0.011597968,0.05950431525707245,0.058880523520313,0.088593245,0.015778279,0.014434334,0.15510868,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:40.414059
6,0.01,0.1,8,0.5,1000,2000.0,0.673,0.6568667059334253,0.080921814,0.20892827212810516,0.21005557757725546,0.30425453,0.016980985,0.2129666,0.37233597,0.6163077,0.0,0.6163077,0.6163077,0.37890226,0.0,0.3789023,0.3789023,0 days 00:02:12.201667
7,0.01,0.1,8,0.1,1000,2000.0,0.7264,0.6159684784118532,0.06013152,0.16614125669002533,0.16495111038496327,0.25493044,0.022505632,0.19789349,0.34245133,0.72193,7.421646e-09,0.7219301,0.72193,0.34635437,0.0,0.34635437,0.34635437,0 days 00:02:26.269557
8,0.01,0.1,8,0.2,1000,2000.0,0.687,0.6329274352048422,0.07047474,0.16547709703445435,0.176369251627825,0.25356346,0.020578204,0.17938004,0.31840768,0.6893354,0.016205706,0.70666015,0.6635839,0.31739148,0.0052864095,0.32273066,0.30843863,0 days 00:02:29.638541
9,0.01,0.01,1,0.5,1000,20.0,0.726,0.5786743300241364,0.035241667,0.11606672406196594,0.11266893085350821,0.18045284,0.024363047,0.030168166,0.23059043,1.0,0.0,1.0,1.0,1.0252311e-09,5.145986e-09,2.6656007e-08,0.0,0 days 00:01:17.706276
10,0.01,0.01,1,0.1,1000,20.0,0.7288,0.5656391400523357,0.018719736,0.07549989968538284,0.07287859539499114,0.0612666,0.018556967,0.0009805082,0.11209837,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:27.990010
11,0.01,0.01,1,0.2,1000,20.0,0.7276,0.5662528820849343,0.02313708,0.08885964751243591,0.08403850529899427,0.10204243,0.023247007,0.0040851715,0.14353356,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:26.589574
12,0.01,0.01,3,0.5,1000,200.0,0.7336,0.5760352996795562,0.03561973,0.11660075932741165,0.11418715265502762,0.18009834,0.02324916,0.1334099,0.27067584,0.93303126,0.021538556,0.9665104,0.8988058,0.20270751,0.031475436,0.2474481,0.14977005,0 days 00:01:32.275791
13,0.01,0.01,3,0.1,1000,200.0,0.7372,0.5411471813311588,0.006931379,0.05219774693250656,0.04703646965210865,0.063790366,0.014700903,0.013662819,0.11837079,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:47.454505
14,0.01,0.01,3,0.2,1000,200.0,0.7338,0.550125025457097,0.015505603,0.07183080166578293,0.06819657902082037,0.09774963,0.012876123,0.017450199,0.14785834,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:29.049726
15,0.01,0.01,8,0.5,1000,2000.0,0.5996,0.6531877103720078,0.07731339,0.1689583957195282,0.20807024179210493,0.36307994,0.016790796,0.23574863,0.42590776,0.6268959,0.020077374,0.6668959,0.6168959,0.43316713,0.007007758,0.43665752,0.41920564,0 days 00:02:29.919264
16,0.01,0.01,8,0.1,1000,2000.0,0.7142,0.6401757970368186,0.074837856,0.15423335134983063,0.18080728036870786,0.26733863,0.018169643,0.22719108,0.34660706,0.6515067,0.024589632,0.68150675,0.63150674,0.30789858,0.0132732745,0.3186944,0.29170486,0 days 00:02:32.393369
17,0.01,0.01,8,0.2,1000,2000.0,0.6202,0.6608918051509941,0.0851819,0.17220059037208557,0.1973520500968916,0.2586788,0.011653123,0.23097304,0.3202935,0.629251,0.024589662,0.649251,0.599251,0.30217016,0.010568169,0.31506357,0.2935745,0 days 00:02:27.911415
18,0.01,0.001,1,0.5,1000,20.0,0.725,0.5786534814005494,0.035139553,0.10961271822452545,0.10883240064790078,0.17524937,0.02553641,0.045167804,0.22539705,1.0,0.0,1.0,1.0,4.100924e-10,3.2934309e-09,2.6656007e-08,0.0,0 days 00:01:26.431899
19,0.01,0.001,1,0.1,1000,20.0,0.725,0.5625499595524286,0.018673675,0.07562839239835739,0.07320143082400392,0.07369115,0.022603052,0.007992024,0.13110128,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:21.573569
20,0.01,0.001,1,0.2,1000,20.0,0.7274,0.5687463437421064,0.023538357,0.08525791764259338,0.08208134476949999,0.09958295,0.021882834,0.003090017,0.14565657,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:21.955044
21,0.01,0.001,3,0.5,1000,200.0,0.7332,0.5672698048160567,0.028434591,0.10545462369918823,0.1038753739278538,0.17735708,0.019275118,0.081553765,0.24726309,0.9866447,0.01642015,1.0,0.9666115,0.05972692,0.073433146,0.14931722,0.0,0 days 00:01:42.786244
22,0.01,0.001,3,0.1,1000,200.0,0.7388,0.5415405802944695,0.008678756,0.05547989904880524,0.05205370617990921,0.066975445,0.017919349,0.014378797,0.12752086,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:46.832781
23,0.01,0.001,3,0.2,1000,200.0,0.7372,0.5460506752211124,0.013065881,0.06630711257457733,0.06466752744128534,0.09854545,0.013506728,0.03891935,0.1541349,1.0,3.6358493e-08,1.0,0.9999998,4.178973e-08,1.4544513e-07,9.582903e-07,0.0,0 days 00:01:53.167347
24,0.01,0.001,8,0.5,1000,2000.0,0.575,0.6530176044531293,0.08316123,0.14207372069358826,0.1674770656596644,0.33966365,0.012612625,0.29199135,0.38257906,0.7600816,0.006453158,0.7653302,0.75220823,0.35953298,0.0020809849,0.36122558,0.35699394,0 days 00:02:19.095893
25,0.01,0.001,8,0.1,1000,2000.0,0.6998,0.6559300709886758,0.08209924,0.19518133997917175,0.20200015209426708,0.39203525,0.011436076,0.26442435,0.41902468,0.60573745,0.012458902,0.6305298,0.5991378,0.41292202,0.009825388,0.41786358,0.3933475,0 days 00:02:19.677662
26,0.01,0.001,8,0.2,1000,2000.0,0.7164,0.6322065639932727,0.06924256,0.15712903439998627,0.17821124340405295,0.23913945,0.0239805,0.18002374,0.3282113,0.66737145,0.020077351,0.70737135,0.6573714,0.3242008,0.0122333355,0.33029392,0.29982844,0 days 00:02:24.178439
27,0.001,0.1,1,0.5,1000,20.0,0.7266,0.590016009921886,0.043242916,0.12666286528110504,0.12470981636156867,0.18402,0.023161666,0.014642759,0.21685883,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:54.324056
28,0.001,0.1,1,0.1,1000,20.0,0.7292,0.5692648101702764,0.024737852,0.08942636847496033,0.084164980803035,0.064129435,0.012793581,0.0015666649,0.09023528,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:02:26.819994
29,0.001,0.1,1,0.2,1000,20.0,0.7286,0.5752809217277277,0.03172717,0.10504570603370667,0.0975447566311581,0.101357855,0.01545486,0.0071563018,0.12551744,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:02:08.237220
30,0.001,0.1,3,0.5,1000,200.0,0.7342,0.5572188827554181,0.02347646,0.07662907242774963,0.08200809825768302,0.17324537,0.015953805,0.13119638,0.2311209,0.945181,0.11005825,1.0,0.7250198,0.07970082,0.16001216,0.4048103,2.6656007e-08,0 days 00:01:34.387344
31,0.001,0.1,3,0.1,1000,200.0,0.732,0.5401656475683511,0.0080348905,0.035614263266325,0.036556437906227805,0.05988581,0.016354637,0.02102042,0.12073192,0.9999995,1.4134778e-06,1.0,0.9999918,2.1200776e-06,6.2568947e-06,3.625224e-05,0.0,0 days 00:01:23.633426
32,0.001,0.1,3,0.2,1000,200.0,0.7348,0.543130169473173,0.011672966,0.04652729257941246,0.04973117468317578,0.087644815,0.013573287,0.0359313,0.14205475,0.9863009,0.027504597,1.0,0.9308093,0.041568536,0.083468325,0.21271674,0.0,0 days 00:01:21.565227
33,0.001,0.1,8,0.5,1000,2000.0,0.7326,0.5610151466356031,0.025694184,0.09539446234703064,0.09394421633591483,0.1715899,0.022065291,0.12633266,0.24212319,0.9985062,0.002497951,1.0,0.9903477,0.004508899,0.0072536543,0.026190668,1.7500895e-07,0 days 00:01:57.278795
34,0.001,0.1,8,0.1,1000,2000.0,0.7296,0.5583929802324324,0.025245497,0.08407468348741531,0.08205608716269562,0.10671052,0.05020647,0.054211974,0.22205207,0.999992,1.9277868e-05,1.0,0.99990165,3.573077e-05,8.619713e-05,0.00043978414,5.3312014e-08,0 days 00:02:06.516906
35,0.001,0.1,8,0.2,1000,2000.0,0.7356,0.5526989649539477,0.020326225,0.06861069798469543,0.06999788007249662,0.11626666,0.03741575,0.047488634,0.2018319,0.9999995,1.1817908e-06,1.0,0.999993,1.478988e-06,4.3315395e-06,2.5306721e-05,0.0,0 days 00:01:54.745229
36,0.001,0.01,1,0.5,1000,20.0,0.7246,0.5890833899860448,0.04254769,0.12562966346740723,0.12327854554166626,0.18071607,0.020047178,0.021735854,0.20937485,1.0,2.4048882e-08,1.0,0.9999998,2.3990406e-08,8.666818e-08,5.864322e-07,0.0,0 days 00:01:56.231973
37,0.001,0.01,1,0.1,1000,20.0,0.727,0.5728440386227525,0.027563766,0.09400109201669693,0.08932178736736605,0.06926852,0.019800588,0.0023205837,0.101553716,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:02:10.079216
38,0.001,0.01,1,0.2,1000,20.0,0.7298,0.5792956985230818,0.034743067,0.10621576756238937,0.10181208087017368,0.10789285,0.025163915,0.0059997756,0.1435703,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:58.271033
39,0.001,0.01,3,0.5,1000,200.0,0.737,0.5564140194422543,0.023430023,0.07783366739749908,0.08280197527518103,0.16944431,0.0170231,0.12699746,0.22841327,0.987723,0.024693618,1.0,0.9320626,0.044038,0.08839109,0.22164927,0.0,0 days 00:01:20.751702
40,0.001,0.01,3,0.1,1000,200.0,0.7286,0.5406891117722573,0.008139755,0.030405733734369278,0.0326387880634291,0.058841564,0.014043136,0.018210927,0.1231018,1.0,2.1368672e-07,1.0,0.9999987,2.4961176e-07,7.9867124e-07,4.965159e-06,0.0,0 days 00:01:28.932325
41,0.001,0.01,3,0.2,1000,200.0,0.735,0.5418785924170642,0.011309816,0.04508732631802559,0.04867740025927852,0.0870506,0.014478191,0.042988002,0.16198583,0.9998543,0.00033481256,1.0,0.99852896,0.00056346756,0.0012749524,0.0054248045,0.0,0 days 00:01:35.909645
42,0.001,0.01,8,0.5,1000,2000.0,0.7388,0.5602594078820674,0.0261652,0.08746805787086487,0.09203717404117415,0.18151906,0.021418,0.13948914,0.26277977,0.9991731,0.0013696965,0.99999964,0.99411887,0.0020889011,0.0031672283,0.012883852,1.4045918e-06,0 days 00:01:41.305777
43,0.001,0.01,8,0.1,1000,2000.0,0.7374,0.5521030421282167,0.019801592,0.0699465423822403,0.06784496363510917,0.09296073,0.051008098,0.03318154,0.20110229,1.0,1.4843292e-08,1.0,0.9999999,1.681379e-08,5.6437553e-08,3.7318412e-07,0.0,0 days 00:02:02.264784
44,0.001,0.01,8,0.2,1000,2000.0,0.735,0.5541978648627804,0.02140735,0.07577788829803467,0.07635008668711017,0.11104886,0.04155131,0.052184768,0.21551043,0.9999195,0.00018290203,1.0,0.9992018,0.00035888542,0.0008150349,0.0035497916,0.0,0 days 00:01:56.788405
45,0.001,0.001,1,0.5,1000,20.0,0.731,0.5909725306705461,0.044198748,0.13006968796253204,0.12581626380791494,0.17854683,0.019825598,0.020995038,0.20698099,1.0,2.6239482e-08,1.0,0.9999998,2.5835822e-08,9.227577e-08,6.1308816e-07,0.0,0 days 00:01:53.068276
46,0.001,0.001,1,0.1,1000,20.0,0.726,0.5718527422726507,0.026372144,0.093333899974823,0.08739289390554258,0.061274353,0.010497105,0.0022123272,0.07846159,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:02:08.276171
47,0.001,0.001,1,0.2,1000,20.0,0.7276,0.5785992345043238,0.03385455,0.10536129772663116,0.1010063051860554,0.10488782,0.022630664,0.004548063,0.1359493,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:55.010389
48,0.001,0.001,3,0.5,1000,200.0,0.7362,0.5574640911239929,0.023787351,0.07433830201625824,0.08292164320459197,0.17566685,0.0170917,0.13068838,0.22933844,0.96137756,0.077508986,1.0,0.80400705,0.069915056,0.1402354,0.35727784,2.6656007e-08,0 days 00:01:22.408528
