,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.0002,1,5000,20.0,0.4346,0.7031465694194765,0.093311496,0.07067583501338959,0.20402638135232154,0.24402568,0.03872737,0.12572397,0.28867513,0.59453523,0.17959796,0.9408766,0.42582557,0.14157827,0.12118867,0.28867513,0.025297862
1,0.01,0.1,0.0002,3,5000,200.0,0.7092,0.5657147448183595,0.020646255,0.040567271411418915,0.046740773388521124,0.025083933,0.009973542,0.0060381647,0.052402638,0.8560962,0.06895784,0.9286428,0.76797855,0.00125969,0.00011504344,0.0015054122,0.001009153
2,0.01,0.1,0.0002,8,5000,2000.0,0.5056,0.6931325101455904,0.08820968,0.004898190498352051,0.23275203427352134,3.6136353e-08,1.8808091e-08,1.3751933e-08,2.1732114e-07,0.5105008,3.996679e-08,0.5105009,0.51050067,3.0160192e-09,1.6264685e-10,3.3495084e-09,2.714276e-09
3,0.01,0.1,0.002,1,5000,20.0,0.4944,0.8262805353878184,0.17976166,0.1531168520450592,0.15466498363144818,0.21633008,0.08334301,0.04816936,0.28867513,0.33989632,0.16956072,0.5,0.11079837,0.13193376,0.12975049,0.28867513,0.009407279
4,0.01,0.1,0.002,3,5000,200.0,0.715,0.6478753022031054,0.065322526,0.16146346926689148,0.19157938648738088,0.02647887,0.01548404,0.008739281,0.12415491,0.56543905,0.033701967,0.6306099,0.537592,0.0018478909,0.000118653676,0.0020922048,0.0015779639
5,0.01,0.1,0.002,8,5000,2000.0,0.5056,0.6930896435745397,0.088169724,0.0016134977340698242,0.23319863182582085,3.9033573e-08,2.0342076e-08,1.4696e-08,2.379624e-07,0.50399035,4.098738e-08,0.5039904,0.50399023,3.2592224e-09,1.8617047e-10,3.6511436e-09,2.868711e-09
6,0.01,0.1,0.02,1,5000,20.0,0.6736,0.6328133805306022,0.062232338,0.12096823751926422,0.15762712062873072,0.19577642,0.029956175,0.08373566,0.23685431,0.85066235,0.12814924,0.9970472,0.6674311,0.015911682,0.009998922,0.029890945,0.0029440934
7,0.01,0.1,0.02,3,5000,200.0,0.498,0.7273971284474655,0.10828258,0.12398534268140793,0.2203039747563762,0.06782619,0.042530727,0.017188065,0.22561078,0.40511137,0.08862056,0.5811305,0.35075194,0.0059665134,0.003400496,0.013676996,0.0034177855
8,0.01,0.1,0.02,8,5000,2000.0,0.5056,0.6930850277858485,0.088173695,0.0005097389221191406,0.23304280147828282,2.981747e-08,1.56438e-08,1.110451e-08,1.9307387e-07,0.50613344,3.784312e-08,0.50613356,0.5061334,2.4938354e-09,1.5802351e-10,2.8672047e-09,2.173173e-09
9,0.01,0.01,0.0002,1,5000,20.0,0.7152,0.5844487891841346,0.032955434,0.08495745062828064,0.11042702097125474,0.10732365,0.039239373,0.030893104,0.19513167,0.77303535,0.14009216,0.98808265,0.6351826,0.010890639,0.008004635,0.028105237,0.0026845543
10,0.01,0.01,0.0002,3,5000,200.0,0.5912,0.681459168778989,0.083617166,0.039611246436834335,0.19623401251711076,0.0019468362,0.0008416273,0.00061672844,0.0052660624,0.555636,0.043584675,0.60831344,0.4978069,0.00017068941,3.375967e-05,0.00024310271,0.00011647012
