,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Time
0,0.01,0.1,0.0002,1,5000,20.0,0.7312,0.5336525772417968,0.0024028388,0.020647550001740456,0.01798767496474211,0.07011817,0.017769199,0.008236199,0.09536548,0.9996441,5.6621207e-05,0.99974966,0.99950147,0.0003557462,5.658106e-05,0.0004982904,0.0002502643,7073688.187222972
1,0.01,0.1,0.0002,3,5000,200.0,0.7268,0.5400401306215435,0.005894975,0.033450085669755936,0.03391476695776109,0.027516099,0.0073748077,0.0093476195,0.040853508,0.81916493,0.016044969,0.83514726,0.79042023,0.0022858502,0.00022523764,0.0028878232,0.0019267007,7073728.261679726
2,0.01,0.1,0.0002,8,5000,2000.0,0.5056,0.6932049378216707,0.08825326,0.007754325866699219,0.23257943970240774,7.802819e-08,4.167953e-08,2.986632e-08,5.4596455e-07,0.51335955,4.6348166e-08,0.5133596,0.51335937,6.5040076e-09,3.593831e-10,7.201679e-09,5.747669e-09,7073793.631820396
3,0.01,0.1,0.002,1,5000,20.0,0.7318,0.5373932586830988,0.004827811,0.03764863312244415,0.018613182170466827,0.10499278,0.02578923,0.016866094,0.13674544,0.9991712,0.00017494318,0.9994442,0.99872935,0.00082805695,0.00017463426,0.0012690263,0.0005555171,7073836.515488218
4,0.01,0.1,0.002,3,5000,200.0,0.7234,0.5438484242578455,0.008027514,0.020139137282967567,0.02290315215118353,0.10054047,0.032806076,0.03174523,0.1456675,0.9306893,0.03517933,0.9649557,0.864006,0.008026441,0.0022955681,0.013609094,0.006060802,7073867.128309484
5,0.01,0.1,0.002,8,5000,2000.0,0.5056,0.6931207553426644,0.08817743,0.004279613494873047,0.23340338429488366,5.443947e-08,2.8776192e-08,1.9632013e-08,3.428614e-07,0.50134,4.6644324e-08,0.5013401,0.5013399,4.537062e-09,3.1028383e-10,5.2107e-09,3.9293377e-09,7073919.726061908
6,0.01,0.1,0.02,1,5000,20.0,0.7334,0.541672658364256,0.0099805705,0.03980366885662079,0.033841318598167344,0.19990551,0.043398082,0.06932537,0.2627083,0.9964544,0.00061187806,0.9974612,0.99495643,0.003532671,0.00060739164,0.00501819,0.002532364,7073960.392902742
7,0.01,0.1,0.02,3,5000,200.0,0.7308,0.5355360944417323,0.004471509,0.027969736605882645,0.03147066604696338,0.18571955,0.05846011,0.036794905,0.24181677,0.9957421,0.00077613775,0.99685144,0.9936493,0.0042391485,0.0007691058,0.0063105053,0.0031386693,7073995.989510071
8,0.01,0.1,0.02,8,5000,2000.0,0.5056,0.6930853411744091,0.08817423,0.0006678104400634766,0.23303362278021994,6.6894884e-08,3.5430507e-08,2.5718677e-08,4.3236074e-07,0.5062633,3.9620748e-08,0.5062634,0.5062632,5.5768754e-09,3.153812e-10,6.285164e-09,4.9405844e-09,7074065.323590817
9,0.01,0.01,0.0002,1,5000,20.0,0.734,0.5336331670149318,0.0017174623,0.02379526197910309,0.016884302201644823,0.06039832,0.015722455,0.00540351,0.08384337,0.9997318,3.7028287e-05,0.9997948,0.99963254,0.00026811953,3.7007132e-05,0.00036733353,0.00020518927,7074113.472123014
10,0.01,0.01,0.0002,3,5000,200.0,0.7322,0.5353943709768259,0.0047754413,0.019624857231974602,0.013497927056216939,0.041267,0.012644876,0.011146265,0.065657794,0.9306807,0.021029381,0.9522708,0.8967568,0.0026091805,0.000398498,0.0035396751,0.0019555367,7074168.372089396
11,0.01,0.01,0.0002,8,5000,2000.0,0.4944,0.6931471805599454,0.08818668,0.0055999755859375,0.23351449203767005,0.2886751,0.0,0.28867513,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513,7074194.574571463
12,0.01,0.01,0.002,1,5000,20.0,0.7278,0.5360200006591976,0.003380528,0.02286665514111519,0.01255123436577742,0.09077611,0.023236647,0.012831879,0.12180279,0.9993814,0.00011626172,0.99956477,0.9990771,0.0006182118,0.000116109244,0.0009220565,0.0004350448,7074227.373825062
13,0.01,0.01,0.002,3,5000,200.0,0.7292,0.5353377473111747,0.0040394226,0.014630360528826714,0.016416927173511432,0.112231374,0.034537088,0.027984362,0.15483557,0.9383559,0.023309276,0.9607906,0.8979658,0.008117399,0.0009090843,0.010307231,0.006526858,7074266.934149939
14,0.01,0.01,0.002,8,5000,2000.0,0.5056,0.6930920119633178,0.088169925,0.0019382238388061523,0.23322360768593972,2.0983732e-08,1.0985819e-08,8.02789e-09,1.3629456e-07,0.50365674,4.8383214e-08,0.5036568,0.5036566,1.7522268e-09,1.02595314e-10,1.9547755e-09,1.5391775e-09,7074316.852549821
