,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.0002,1,250,20.0,0.729,0.5583522727551293,0.018602235,0.05507021024823189,0.055893159603850294,0.14052263,0.031277657,0.020654056,0.18633558,0.9855969,0.026227983,0.99928695,0.9328539,0.0034845083,0.004334354,0.013175487,0.0007125332
1,0.01,0.1,0.0002,3,250,200.0,0.5056,0.7128489361438191,0.096983224,0.0995294600725174,0.23384700186528387,0.0074656936,0.0049036723,0.0021429865,0.078257285,0.60573745,0.0045184125,0.60930765,0.59696996,0.000605367,0.000120313285,0.000843286,0.00040568708
2,0.01,0.1,0.0002,8,250,2000.0,0.4944,0.693416479433349,0.08830081,0.012903869152069092,0.23418286683239167,2.3780961e-08,1.2475601e-08,8.764113e-09,1.4886189e-07,0.49271598,3.874213e-08,0.49271604,0.49271587,1.9838073e-09,1.2600734e-10,2.2759046e-09,1.7299081e-09
3,0.01,0.1,0.002,1,250,20.0,0.7296,0.5492066736544798,0.014999253,0.05889003351330757,0.055497668832318235,0.13898823,0.026399296,0.028410012,0.17051129,0.9794842,0.038064845,0.99905497,0.90316254,0.002992167,0.002913464,0.00953858,0.00094414386
4,0.01,0.1,0.002,3,250,200.0,0.6558,0.6511759890815674,0.067813054,0.1205536350607872,0.19026894744910422,0.014759408,0.005469585,0.003910677,0.02464919,0.56498414,0.039437894,0.6219349,0.52215374,0.001362149,0.00039193,0.0019795701,0.000735629
5,0.01,0.1,0.002,8,250,2000.0,0.4944,0.6936076022139765,0.08838822,0.01617613434791565,0.23452420160450163,2.6760553e-08,1.3903137e-08,1.0135258e-08,1.635967e-07,0.48942816,3.8830887e-08,0.48942825,0.48942807,2.2371514e-09,1.2491298e-10,2.492072e-09,1.9804642e-09
6,0.01,0.1,0.02,1,250,20.0,0.6462,0.6341616994048175,0.056470104,0.08638940751552582,0.1568243887809676,0.18687943,0.035912063,0.07332669,0.23347194,0.8185316,0.1779062,0.99610436,0.57411444,0.013276484,0.0065124105,0.021558033,0.0038805043
7,0.01,0.1,0.02,3,250,200.0,0.4944,0.798115731115026,0.15446112,0.20961877703666687,0.26384736759342375,0.087537475,0.035698008,0.024233392,0.1980235,0.2979597,0.040344205,0.3444052,0.22818959,0.00814213,0.0021335057,0.011815391,0.0045591593
8,0.01,0.1,0.02,8,250,2000.0,0.4944,0.6936187545259076,0.08839339,0.016342222690582275,0.23454259952582543,2.0442988e-08,1.0555414e-08,7.768739e-09,1.2302431e-07,0.4892568,3.3807208e-08,0.48925686,0.48925668,1.7126732e-09,1.0405634e-10,1.9186868e-09,1.490101e-09
9,0.01,0.01,0.0002,1,250,20.0,0.5478,0.699048389191985,0.09198054,0.15990819036960602,0.17056993248738472,0.194231,0.0281355,0.10365267,0.2346472,0.5288774,0.1460988,0.67413294,0.31762505,0.03006462,0.008190681,0.046411444,0.021457352
10,0.01,0.01,0.0002,3,250,200.0,0.4944,0.6916082523572419,0.08703955,0.050033219158649445,0.22779432439483827,0.004599873,0.002570635,0.0013356049,0.020257413,0.4769986,0.0092174765,0.48632982,0.4611359,0.00037992178,9.639258e-05,0.00060133974,0.0002525003
11,0.01,0.01,0.0002,8,250,2000.0,0.5056,0.6930851332241258,0.0881705,0.0005674362182617188,0.23312226345814888,1.8469644e-08,9.734323e-09,7.212191e-09,1.2132055e-07,0.5050205,4.866699e-08,0.50502056,0.5050203,1.5425815e-09,8.76721e-11,1.7318393e-09,1.3650521e-09
12,0.01,0.01,0.002,1,250,20.0,0.6666,0.6295742360558245,0.05973986,0.11539558321237564,0.15703006933607283,0.14701328,0.034529503,0.04453198,0.2097742,0.76516527,0.12987064,0.9986684,0.63738704,0.013004391,0.006327973,0.021405537,0.0013298626
