,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.0002,1,250,20.0,0.7272,0.6049104994805533,0.04638487,0.1319240778684616,0.14055103346385187,0.18294333,0.02824573,0.07543113,0.2177624,0.8852079,0.13817523,0.9972852,0.68816227,0.01075061,0.009164975,0.02637205,0.0027074507
1,0.01,0.1,0.0002,3,250,200.0,0.6854,0.6150680792718112,0.047316052,0.0922221690416336,0.10327055152706924,0.01175343,0.0061142365,0.0029461812,0.038372654,0.7065609,0.14350085,0.90275097,0.5807661,0.00078823586,0.00011961486,0.0010392601,0.00061169866
2,0.01,0.1,0.0002,8,250,2000.0,0.4944,0.6931826432946268,0.088200286,0.007039815187454224,0.23363476249255363,2.5275419e-08,1.31474005e-08,9.322622e-09,1.531466e-07,0.49859354,4.239118e-08,0.49859363,0.49859342,2.1100726e-09,1.3307369e-10,2.4303317e-09,1.831535e-09
3,0.01,0.1,0.002,1,250,20.0,0.6834,0.6416339882567724,0.065388724,0.1223205178976059,0.16831882847823326,0.20278169,0.026071625,0.08414104,0.23693293,0.835724,0.1288687,0.99627155,0.68237597,0.019531803,0.010717748,0.034615096,0.0037145799
4,0.01,0.1,0.002,3,250,200.0,0.5248,0.6917595399693061,0.088338815,0.09109898656606674,0.2122732707349223,0.028528662,0.014001814,0.011200217,0.12722173,0.61617386,0.021926621,0.640118,0.57965356,0.0023978462,0.00017488797,0.002827756,0.002060183
5,0.01,0.1,0.002,8,250,2000.0,0.4944,0.6932465828966696,0.088226505,0.009016335010528564,0.23381303890623278,2.5309246e-08,1.3065204e-08,9.772173e-09,1.4456587e-07,0.4965967,3.5977763e-08,0.49659678,0.4965966,2.1135163e-09,1.1602038e-10,2.337423e-09,1.8722934e-09
6,0.01,0.1,0.02,1,250,20.0,0.4882,0.6862467775934638,0.084095456,0.0802713930606842,0.19539044647492593,0.25205797,0.0417252,0.12206756,0.28867513,0.6694311,0.1846612,0.9859737,0.5,0.13363478,0.12753002,0.28867513,0.013430546
7,0.01,0.1,0.02,3,250,200.0,0.4944,0.6965983632477648,0.08996111,0.04946243017911911,0.2327700433699054,0.01557952,0.008668239,0.005424837,0.09576996,0.45892692,0.009421972,0.4748676,0.44885683,0.0013175089,0.00025121032,0.0019478939,0.001048157
8,0.01,0.1,0.02,8,250,2000.0,0.4944,0.6933946720283845,0.08829104,0.012440741062164307,0.23414047997869675,2.9560848e-08,1.5395639e-08,1.1526688e-08,1.789534e-07,0.49314615,3.927166e-08,0.4931463,0.4931461,2.4739106e-09,1.5963002e-10,2.8442388e-09,2.141097e-09
9,0.01,0.01,0.0002,1,250,20.0,0.7226,0.5653226540275001,0.022401737,0.06789549440145493,0.07185483997739975,0.1429292,0.028608315,0.02880553,0.17922167,0.9255159,0.10908346,0.9992511,0.7129623,0.008372502,0.008462882,0.025829291,0.0007483119
