r,a1,n_a1,x1,x2,p_c0,p_r_given_c0,p_c0_given_r,p_c1,p_r_given_c1,p_c1_given_r,p_r
0.1,0.0,0,0.1,0.0,0.5,0.010746845560911177,0.9998148491020181,0.5,1.990156585353922e-06,0.00018515089798185524,0.0053744178587482655
1.013939457675292,0.0,0,1.013939457675292,0.0,0.5,0.0803501596708082,0.9813172956347372,0.5,0.0015297379201498625,0.01868270436526279,0.040939948795479034
1.0280732238308652,0.0,0,1.0280732238308652,0.0,0.5,0.08108727314994285,0.9808028804704005,0.5,0.0015871100156661017,0.019197119529599477,0.041337191582804474
1.0424040070215566,0.0,0,1.0424040070215566,0.0,0.5,0.08182577486790671,0.9802745859563616,0.5,0.001646525689673283,0.01972541404363827,0.04173615027879
1.0569345535579884,0.0,0,1.0569345535579884,0.0,0.5,0.08256550444774705,0.9797320534890086,0.5,0.0017080519330163269,0.020267946510991362,0.04213677819038169
1.0716676480328635,0.0,0,1.0716676480328635,0.0,0.5,0.08330629670905926,0.979174916083685,0.5,0.001771757620857328,0.020825083916315098,0.04253902716495829
1.0866061138545973,0.0,0,1.0866061138545973,0.0,0.5,0.08404798160979426,0.9786027982286655,0.5,0.0018377135485749588,0.02139720177133457,0.04294284757918461
1.101752813788387,0.0,0,1.101752813788387,0.0,0.5,0.08479038418975471,0.9780153157395599,0.5,0.0019059924673301986,0.021984684260440073,0.04334818832854245
1.117110650504824,0.0,0,1.117110650504824,0.0,0.5,0.08553332451591579,0.9774120756143697,0.5,0.001976669119217374,0.02258792438563027,0.04375499681756658
1.132682567136154,0.0,0,1.132682567136154,0.0,0.5,0.08627661762971049,0.9767926758894377,0.5,0.002049820271914451,0.023207324110562148,0.044163218950812475
1.1484715478402894,0.0,0,1.1484715478402894,0.0,0.5,0.08702007349642403,0.976156705496548,0.5,0.002125524752741268,0.023843294503452055,0.044572799124582646
1.1644806183726861,0.0,0,1.1644806183726861,0.0,0.5,0.08776349695684647,0.9755037441214439,0.5,0.002203863482028978,0.024496255878556097,0.04498368021943772
1.18071284666619,0.0,0,1.18071284666619,0.0,0.5,0.08850668768133756,0.9748333620640591,0.5,0.0022849195056983056,0.02516663793594095,0.04539580359351793
1.197171343418967,0.0,0,1.197171343418967,0.0,0.5,0.08924944012646227,0.9741451201007612,0.5,0.002368778026938442,0.025854879899238875,0.045809109076700355
1.2138592626906282,0.0,0,1.2138592626906282,0.0,0.5,0.08999154349436007,0.9734385693489378,0.5,0.0024555264368723282,0.02656143065106221,0.0462235349656162
1.2307798025066652,0.0,0,1.2307798025066652,0.0,0.5,0.09073278169501592,0.9727132511342663,0.5,0.0025452543440878848,0.02728674886573372,0.0466390180195519
1.2479362054713112,0.0,0,1.2479362054713112,0.0,0.5,0.09147293331160528,0.9719686968610305,0.5,0.0026380536029083222,0.028031303138969496,0.0470554934572568
1.265331759388943,0.0,0,1.265331759388943,0.0,0.5,0.09221177156909045,0.9712044278858694,0.5,0.0027340183402680294,0.02879557211413064,0.04747289495467924
1.282969797894148,0.0,0,1.282969797894148,0.0,0.5,0.09294906430624966,0.9704199553953609,0.5,0.0028332449810537794,0.029580044604639158,0.04789115464365172
1.3008537010905712,0.0,0,1.3008537010905712,0.0,0.5,0.09368457395132535,0.9696147802878688,0.5,0.0029358322717639358,0.030385219712131196,0.04831020311154464
1.3189868961986702,0.0,0,1.3189868961986702,0.0,0.5,0.09441805750148252,0.9687883930601012,0.5,0.0030418813023312236,0.03121160693989878,0.048729969401906874
1.3373728582124962,0.0,0,1.3373728582124962,0.0,0.5,0.09514926650627194,0.9679402736988522,0.5,0.003151495525947211,0.03205972630114784,0.04915038101610957
1.3560151105656337,0.0,0,1.3560151105656337,0.0,0.5,0.09587794705529828,0.9670698915784238,0.5,0.0032647807767191613,0.03293010842157627,0.04957136391600872
1.3749172258064197,0.0,0,1.3749172258064197,0.0,0.5,0.09660383977029668,0.9661767053642483,0.5,0.003381845284982168,0.033823294635751656,0.04999284252763943
1.3940828262825782,0.0,0,1.3940828262825782,0.0,0.5,0.0973266798018258,0.965260162923257,0.5,0.0035027996900816633,0.03473983707674298,0.05041473974595373
1.4135155848353955,0.0,0,1.4135155848353955,0.0,0.5,0.09804619683078958,0.9643197012415654,0.5,0.0036277570504333364,0.03568029875843462,0.050836976940611456
1.433219225503574,0.0,0,1.433219225503574,0.0,0.5,0.09876211507500358,0.9633547463500749,0.5,0.0037568328506593814,0.036645253649925096,0.05125947396283148
1.453197524236896,0.0,0,1.453197524236896,0.0,0.5,0.09947415330102533,0.9623647132586142,0.5,0.003890145005591678,0.03763528674138588,0.0516821491533085
1.4734543096198354,0.0,0,1.4734543096198354,0.0,0.5,0.1001820248414726,0.961349005899272,0.5,0.004027813860924162,0.03865099410072808,0.052104919351198375
1.4939934636052576,0.0,0,1.4939934636052576,0.0,0.5,0.10088543761805556,0.9603070170796028,0.5,0.004169962190288093,0.03969298292039729,0.052527699904171825
1.514818922258346,0.0,0,1.514818922258346,0.0,0.5,0.10158409417055322,0.9592381284464115,0.5,0.004316715188515408,0.040761871553588395,0.05295040467953432
1.5359346765108974,0.0,0,1.5359346765108974,0.0,0.5,0.10227769169196671,0.9581417104608563,0.5,0.004468200460846676,0.04185828953914376,0.05337294607640669
1.5573447729261345,0.0,0,1.5573447729261345,0.0,0.5,0.10296592207008487,0.9570171223856311,0.5,0.004624548007831502,0.04298287761436893,0.05379523503895819
