x1,x2,r,a1,p_c0,p_r_given_c0,p_c0_given_r,p_c1,p_r_given_c1,p_c1_given_r,p_r
-20.0,-20.0,28.284271247461902,3.9269908169872414,0.5,0.003952431932030424,0.9398899033173929,0.5,0.0002527754205329976,0.06011009668260711,0.002102603676281711
-19.595959595959595,-20.0,28.000029151529127,3.937194544481196,0.5,0.004141587527603876,0.9377126949329053,0.5,0.00027510380011693783,0.0622873050670947,0.0022083456638604068
-19.19191919191919,-20.0,27.718761918043096,3.9476064526128454,0.5,0.0043372329687543535,0.9354859848542705,0.5,0.00029910903847518906,0.0645140151457296,0.002318171003614771
-18.78787878787879,-20.0,27.440561024658837,3.9582306504175095,0.5,0.004539375726107637,0.9332108311695031,0.5,0.0003248795680780033,0.06678916883049694,0.00243212764709282
-18.383838383838384,-20.0,27.165520678298982,3.9690712244291317,0.5,0.004748001845902992,0.9308884879196763,0.5,0.00035250364698767085,0.06911151208032379,0.002550252746445331
-17.97979797979798,-20.0,26.89373784720799,3.9801322258321767,0.5,0.004963074216214967,0.9285204138223706,0.5,0.00038206859629881485,0.07147958617762931,0.0026725714062568913
-17.575757575757574,-20.0,26.625312286653084,3.991417656412795,0.5,0.005184530820928468,0.9261082805616951,0.5,0.0004136599411539011,0.07389171943830497,0.0027990953810411844
-17.171717171717173,-20.0,26.360346557385135,4.002931453253136,0.5,0.005412282995303095,0.9236539805464266,0.5,0.00044736045266995404,0.07634601945357335,0.002929821723986525
-16.767676767676768,-20.0,26.098946035908945,4.014677472116742,0.5,0.005646213698640987,0.9211596340330596,0.5,0.00048324908938903013,0.07884036596694052,0.0030647313940150083
-16.363636363636363,-20.0,25.8412189155489,4.026659469478403,0.5,0.005886175821266525,0.9186275955064147,0.5,0.0005213998384017806,0.08137240449358524,0.003203787829834153
-15.959595959595958,-20.0,25.587276197234274,4.038881083158918,0.5,0.0061319905447107135,0.9160604592071309,0.5,0.0005618804581028747,0.08393954079286908,0.0033469355014067942
-15.555555555555555,-20.0,25.337231668869734,4.051345811534003,0.5,0.006383445775636052,0.9134610636929141,0.5,0.0006047511266262523,0.08653893630708587,0.003494098451131152
