,x1,x2,r_x,a_x,P_red_and_x,P_blue_and_x,P_x,P_red_given_x,P_blue_given_x
2076,13.383838383838388,-14.898989898989898,20.027656625149852,5.444266875322823,1.5015402508279923e-06,1.370039492175433e-07,1.6385442000455355e-06,0.9163867845531809,0.08361321544681914
2077,13.888888888888893,-14.898989898989898,20.36863114149069,5.462713813248913,1.363301072250784e-06,1.2325108428129806e-07,1.4865521565320821e-06,0.9170892970423415,0.08291070295765846
2078,14.393939393939398,-14.898989898989898,20.7163073757512,5.480547472587609,1.0069371492923844e-06,7.850638134723668e-08,1.085443530639621e-06,0.9276734540939453,0.07232654590605474
2079,14.898989898989903,-14.898989898989898,21.07035358081127,5.497787143782138,7.954089374843868e-07,4.813720769747382e-08,8.435461451818606e-07,0.9429347072801857,0.057065292719814274
2080,15.404040404040408,-14.898989898989898,21.430454049774877,5.514452267496079,6.55704840433423e-07,3.9500773241126875e-08,6.952056136745498e-07,0.9431811647314768,0.05681883526852327
2081,15.909090909090914,-14.898989898989898,21.796308714181908,5.530562288186214,4.5871080516629704e-07,3.138118470586897e-08,4.90091989872166e-07,0.9359687867698994,0.06403121323010061
2082,16.41414141414142,-14.898989898989898,22.167632674095703,5.546136530434041,3.2275510296358477e-07,3.2606217880733126e-08,3.553613208443179e-07,0.9082448877574446,0.09175511224255539
2083,16.919191919191924,-14.898989898989898,22.54415567744005,5.56119409574897,2.5716219345745764e-07,1.79720016224205e-08,2.7513419507987814e-07,0.9346791422374714,0.06532085776252854
2084,17.42424242424243,-14.898989898989898,22.925621563416172,5.575753777613681,2.0227207591040304e-07,1.1426494412561371e-08,2.1369857032296441e-07,0.9465298509236987,0.053470149076301335
2085,17.929292929292934,-14.898989898989898,23.311787682513682,5.589833992645545,1.7286173311127365e-07,8.061485395590736e-09,1.809232185068644e-07,0.9554425050464991,0.04455749495350082
2086,18.43434343434344,-14.898989898989898,23.702424303550135,5.6034527258819935,1.286849364232701e-07,6.224384378686237e-09,1.3490932080195632e-07,0.9538624585633821,0.0461375414366179
2087,18.939393939393945,-14.898989898989898,24.097314016332923,5.616627488349903,7.894462309459277e-08,4.137871818248535e-09,8.30824949128413e-08,0.9501956239688105,0.04980437603118948
2088,19.44444444444445,-14.898989898989898,24.4962511369248,5.629375285240059,5.535306486309904e-08,2.7889580779581696e-09,5.814202294105721e-08,0.9520319738309494,0.04796802616905055
2089,19.949494949494955,-14.898989898989898,24.899041121097973,5.641712593170355,4.746665069008884e-08,1.9721280516470387e-09,4.943877874173588e-08,0.9601096932036028,0.03989030679639709
2090,20.45454545454546,-14.898989898989898,25.30549999036315,5.653655345180461,4.049063678608737e-08,1.6851632417908288e-09,4.21758000278782e-08,0.9600443088055962,0.03995569119440381
2091,20.959595959595966,-14.898989898989898,25.715453773941352,5.665218922252661,2.411376674554156e-08,9.071212721868387e-10,2.50208880177284e-08,0.9637454405477494,0.03625455945225059
2092,21.46464646464647,-14.898989898989898,26.128737969187554,5.6764181502960875,1.7128992859545703e-08,6.453353187280232e-10,1.7774328178273727e-08,0.963692843281872,0.03630715671812802
2093,21.969696969696976,-14.898989898989898,26.545197022258385,5.687267301663286,1.3540427923583149e-08,5.413062627770348e-10,1.4081734186360183e-08,0.961559687492088,0.0384403125079121
