index,x1,x2,r_x,a_x,P_red_and_x,P_blue_and_x,P_x,P_red_given_x,P_blue_given_x
0,-25.0,-25.0,35.35533905932738,3.9269908169872414,4.1296895583472305e-11,6.267564147701018e-13,4.1923651998242407e-11,0.9850500520613906,0.014949947938609397
1,-24.49494949494949,-25.0,35.0000364394114,3.937194544481196,5.255292880772185e-11,8.901848026241526e-13,5.3443113610346e-11,0.9833433207295051,0.016656679270494874
2,-23.98989898989899,-25.0,34.64845239755387,3.9476064526128454,7.33519249907975e-11,1.3210257083830648e-12,7.467295069918057e-11,0.9823091802853109,0.017690819714689016
3,-23.484848484848484,-25.0,34.300701280823546,3.9582306504175095,9.735613574777639e-11,1.7358455610025054e-12,9.90919813087789e-11,0.9824824820527761,0.017517517947223858
4,-22.97979797979798,-25.0,33.956900847873726,3.969071224429132,1.3148501475340273e-10,2.349459571960704e-12,1.3383447432536343e-10,0.9824450345562761,0.017554965443723865
5,-22.474747474747478,-25.0,33.617172309009995,3.9801322258321767,1.5915614718003064e-10,3.3368962757614928e-12,1.6249304345579214e-10,0.9794643745677067,0.020535625432293224
6,-21.96969696969697,-25.0,33.28164035831636,3.991417656412795,2.2465871605417347e-10,4.738016525677447e-12,2.2939673257985093e-10,0.979345754089901,0.020654245910098946
7,-21.464646464646464,-25.0,32.95043319673142,4.002931453253137,3.033860427363058e-10,5.822043657641108e-12,3.092080863939469e-10,0.9811711144894719,0.0188288855105281
8,-20.95959595959596,-25.0,32.62368254488618,4.014677472116742,3.991272931983102e-10,7.884052581889699e-12,4.070113457801999e-10,0.9806294034217234,0.019370596578276614
9,-20.454545454545453,-25.0,32.301523644436124,4.026659469478403,4.707442568419351e-10,1.2035890971578052e-11,4.827801478135132e-10,0.9750696232517264,0.0249303767482735
10,-19.949494949494948,-25.0,31.984095246542843,4.038881083158918,6.797480274170715e-10,1.4178698409792917e-11,6.939267258268644e-10,0.9795674415149555,0.0204325584850446
11,-19.444444444444443,-25.0,31.671539586087164,4.051345811534003,8.72075064087176e-10,1.7941250866279113e-11,8.900163149534551e-10,0.9798416606922342,0.020158339307765814
12,-18.939393939393938,-25.0,31.364002340127957,4.064056991297429,1.1406372664220329e-09,2.3528441372775942e-11,1.164165707794809e-09,0.979789439583009,0.020210560416990885
13,-18.434343434343432,-25.0,31.061632569060514,4.077017773771349,1.4010045749806254e-09,3.561548714859302e-11,1.4366200621292183e-09,0.9752088335061901,0.024791166493809934
14,-17.929292929292927,-25.0,30.764582638878647,4.090231099772079,1.8286081103229659e-09,4.01005802989765e-11,1.8687086906219422e-09,0.9785410211338879,0.02145897886611222
15,-17.424242424242422,-25.0,30.47300812290722,4.103699673057278,2.3820382085109234e-09,5.7478940722651666e-11,2.439517149233575e-09,0.976438394482814,0.023561605517185998
16,-16.919191919191917,-25.0,30.18706768135072,4.117425932400796,2.7553318166583166e-09,7.208801375956841e-11,2.827419830417885e-09,0.9745039583495763,0.025496041650423736
17,-16.41414141414141,-25.0,29.906922917000877,4.131412022364388,3.919001527303589e-09,9.415882047051329e-11,4.013160347774102e-09,0.976537488584841,0.023462511415158985
18,-15.909090909090908,-25.0,29.632738205466584,4.145659762861183,5.058839257266788e-09,1.1457993580250308e-10,5.173419193069292e-09,0.977852184111428,0.02214781588857194
19,-15.404040404040405,-25.0,29.36468049833523,4.160170617634058,5.971826748221582e-09,1.6046174105845938e-10,6.132288489280041e-09,0.9738333019819656,0.026166698018034427
20,-14.898989898989898,-25.0,29.102919097750366,4.174945661802933,7.246054091364641e-09,1.8948133829485115e-10,7.435535429659493e-09,0.9745167863044493,0.025483213695550688
21,-14.393939393939393,-25.0,28.847625400999654,4.189985548668161,9.179882772404687e-09,2.5266393130929675e-10,9.432546703713983e-09,0.9732136039983971,0.02678639600160289
22,-13.888888888888888,-25.0,28.598972613852776,4.205290475992353,1.121633392749043e-08,3.191916369899545e-10,1.1535525564480384e-08,0.9723296840524723,0.027670315947527654
23,-13.383838383838382,-25.0,28.35713543157534,4.220860152019709,1.3442196715078198e-08,3.982505354374912e-10,1.3840447250515689e-08,0.9712256021623397,0.028774397837660382
24,-12.87878787878788,-25.0,28.122289686773616,4.236693761529698,1.4834318072836179e-08,4.75704583073127e-10,1.5310022655909306e-08,0.9689285513310775,0.03107144866892253
25,-12.373737373737374,-25.0,27.89461196349978,4.252789932259912,1.8315392799959698e-08,6.278262352302042e-10,1.89432190351899e-08,0.9668574684131603,0.03314253158683969
26,-11.868686868686869,-25.0,27.67427917736865,4.2691467020704215,2.276794638883563e-08,7.336321532018226e-10,2.3501578542037455e-08,0.9687837073629089,0.031216292637091126
27,-11.363636363636363,-25.0,27.461468121805847,4.285761487257814,2.6248431273965626e-08,8.603457363158745e-10,2.71087770102815e-08,0.9682632036115251,0.031736796388474944
