,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
17,0.01,0.01,8,0.2,5000,2000.0,0.6944,0.6202399026014196,0.05512345,0.13870832324028015,0.15642866432346528,0.24733798,0.02735654,0.13499631,0.34503505,0.7127552,0.031745117,0.76275516,0.66275513,0.31469622,0.023069907,0.34695557,0.274932,0 days 00:25:22.071003,6744118.509706805
18,0.01,0.001,1,0.5,5000,20.0,0.731,0.5637627530969787,0.021396136,0.08801563829183578,0.08865183922626202,0.1721761,0.019325778,0.039864242,0.20729046,0.9907891,0.018497156,1.0,0.9525881,0.041192453,0.082721785,0.21203269,0.0,0 days 00:17:36.695957,6745175.341821366
19,0.01,0.001,1,0.1,5000,20.0,0.733,0.544129602760096,0.008283677,0.047459956258535385,0.03955565363742535,0.060279395,0.013987754,0.005665227,0.08952727,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:16:25.450664,6746160.929938622
20,0.01,0.001,1,0.2,5000,20.0,0.7312,0.5495322452705316,0.012191582,0.06434624642133713,0.057141359761135026,0.09946283,0.020000882,0.012169317,0.13224651,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:17:45.926697,6747226.999187597
21,0.01,0.001,3,0.5,5000,200.0,0.7308,0.5563629978583966,0.016184455,0.08135305345058441,0.08204262151397888,0.16939981,0.009724507,0.10543534,0.19430853,1.0,0.0,1.0,1.0,4.100924e-10,3.2934309e-09,2.6656007e-08,0.0,0 days 00:16:26.845935,6748213.987885451
22,0.01,0.001,3,0.1,5000,200.0,0.7302,0.5356261441679416,0.0033841282,0.035148825496435165,0.028714310095982,0.062976785,0.009370308,0.023505863,0.100065,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:18:44.915840,6749339.043294961
23,0.01,0.001,3,0.2,5000,200.0,0.7316,0.540254953507467,0.0066199997,0.052661698311567307,0.049242441090719145,0.09143102,0.009200824,0.044776652,0.12132892,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:18:14.042660,6750433.228610854
24,0.01,0.001,8,0.5,5000,2000.0,0.7278,0.6575674568411443,0.07058922,0.1553315818309784,0.20318203411378088,0.3231345,0.008787018,0.21218939,0.35879564,0.61812073,0.0,0.6181208,0.6181208,0.36241767,0.0,0.36241764,0.36241764,0 days 00:27:44.654604,6752098.023478418
25,0.01,0.001,8,0.1,5000,2000.0,0.6912,0.6530756096805499,0.068565324,0.17125116288661957,0.19686096769251055,0.20573995,0.018237995,0.15439866,0.28903416,0.6091162,0.026938137,0.65850663,0.58503044,0.24891524,0.010978946,0.26118886,0.23273653,0 days 00:27:29.404235,6753747.571921174
26,0.01,0.001,8,0.2,5000,2000.0,0.6566,0.6430851335536685,0.06437463,0.1344657838344574,0.17840791965700814,0.29319447,0.01652948,0.23013729,0.34818912,0.6833658,0.037561327,0.7233658,0.62336576,0.33274436,0.021058714,0.363325,0.3090421,0 days 00:25:03.917010,6755251.62331813
27,0.001,0.1,1,0.5,5000,20.0,0.731,0.5706076137149034,0.025581311,0.10057450830936432,0.10019946752168361,0.17715925,0.020247377,0.02596238,0.20204318,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:22:34.708724,6756606.474099722
28,0.001,0.1,1,0.1,5000,20.0,0.7306,0.5483892147220162,0.010314328,0.05731777101755142,0.04958708599187558,0.051860865,0.012908635,0.0017239955,0.077266835,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:27:05.696915,6758232.315820004
29,0.001,0.1,1,0.2,5000,20.0,0.7306,0.5525914971344379,0.014328393,0.0693097785115242,0.06315909506656353,0.08844478,0.01796414,0.007568107,0.11588041,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:25:03.218552,6759735.671133278
30,0.001,0.1,3,0.5,5000,200.0,0.7318,0.5560049358021231,0.015714059,0.07755877077579498,0.07865255144216243,0.17384976,0.0100125335,0.12737253,0.21713805,0.99998015,4.7064208e-05,1.0,0.99975663,5.228468e-05,0.00012171488,0.0006234682,0.0,0 days 00:16:17.676143,6760713.481628455
31,0.001,0.1,3,0.1,5000,200.0,0.7304,0.5354547888721668,0.0032285939,0.028643149882555008,0.02319881252847735,0.059688695,0.009584313,0.01709837,0.10856212,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:16:40.259161,6761713.880850142
32,0.001,0.1,3,0.2,5000,200.0,0.7302,0.5400101522281466,0.005900671,0.043597739189863205,0.041024836154059816,0.08855543,0.005921935,0.040573884,0.11199277,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:16:38.782068,6762712.80135775
33,0.001,0.1,8,0.5,5000,2000.0,0.7322,0.5678324092723183,0.022480167,0.10006346553564072,0.10224680849589532,0.17575823,0.021974208,0.15074508,0.28445792,0.867607,0.0065985583,0.8806874,0.860165,0.33116326,0.009793522,0.34363422,0.31325796,0 days 00:14:40.930293,6763593.868085535
34,0.001,0.1,8,0.1,5000,2000.0,0.732,0.5413360690615391,0.008203388,0.04753641039133072,0.04723998528249685,0.0826343,0.029100824,0.03130808,0.15477747,0.99999976,6.1856207e-07,1.0,0.99999636,9.1450613e-07,2.7675296e-06,1.6393444e-05,0.0,0 days 00:11:46.615114,6764300.620831051
35,0.001,0.1,8,0.2,5000,2000.0,0.7334,0.5487519594619882,0.012820294,0.06690903007984161,0.06570933367140715,0.10852319,0.020885453,0.07542431,0.16594978,1.0,2.0991585e-08,1.0,0.9999999,2.4810593e-08,8.0221675e-08,5.3312016e-07,0.0,0 days 00:10:42.260685,6764943.021761117
36,0.001,0.01,1,0.5,5000,20.0,0.7312,0.5675644680447433,0.023711834,0.09572054445743561,0.09590252670325462,0.17347805,0.022474933,0.031308733,0.20573619,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:12:53.891058,6765717.049436937
37,0.001,0.01,1,0.1,5000,20.0,0.731,0.5472240220823381,0.009615449,0.05601324886083603,0.04706143829800312,0.050733782,0.011707006,0.0023374304,0.07912599,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:16:12.104671,6766689.300871871
